<1>	(0.000-0.959)	Espanya ?	Spain ?
<31>	(99.293-102.447)	good A_M kuya Francis at tita Sylvia .	good A_M brother Francis and Tita Sylvia .
<32>	(102.447-115.670)	gusto ko pong <hes> mag <hes> patingin sa mata kasi malabo na po ang paningin ko <hes> at naluluha po ako .	I want to check my eyes because my vision is now blurred and I am teary .
<33>	(115.670-118.730)	Jon po ng Novaliches Quezon City .	Jon of Novaliches Quezon City .
<34>	(118.730-120.095)	okay Jon .	okay Jon .
<35>	(120.095-123.150)	sige at walang problema 'yan .	sure and that is no problem .
<36>	(123.150-126.830)	puwede kang pumunta do'n sa Sabado July eighteen .	you can go there on Saturday July eighteen .
<37>	(126.830-140.832)	samantalahin na natin ito kasi do'n sa aming eye center sa Pampanga every Saturday we have like two hundred to two fifty kung minsan one hundred fifty gano'n na nagpapa-check-up .	let us take advantage of this because there in our eye center in Pampanga every Saturday we have like two-hundred to two fifty if sometimes one-hundred fifty like that who do check-up .
<38>	(140.832-147.767)	alam mo Ka Francis eighty to ninety percent of the time ay glasses lang talaga ang kailangan .	you know Ka Francis eighty to ninety percent of the time only glasses is really needed .
<39>	(147.767-149.117)	ayon oo oo .	there yes yes .
<40>	(149.117-153.719)	so hindi talaga kailangan ng operasyon or gano'n .	so an operation or something like that is not really needed .
<41>	(153.719-155.900)	eyeglasses lang .	only eyeglasses .
<42>	(155.900-166.920)	kaya mas maganda itong may tie-up kami sa Physicians for Peace na sila ang nag-che-check up no'n at kung anong eyeglasses ang kailangan .	so it is better that we have this tie-up with Physicians for Peace where they do the check up there and what eyeglasses are needed .
<43>	(166.920-167.591)	okay .	okay .
<44>	(167.591-176.470)	so do'n sa mga gustong magpa -- may problema sa mata sa paningin ho punta na kayo kaagad sa Sabado July eighteen .	so those who like to -- have problems with the eye on vision you immediately go on Saturday July eighteen .
<45>	(176.470-180.740)	<hes> agahan ninyo para maka- -- mailista kaagad kayo .	be early so you -- list immediately .
<46>	(180.740-182.550)	first come first served po 'yan .	that's first come first served .
<47>	(182.550-185.650)	hindi tayo mag-uunahan ho ilalagay natin sa ayos .	let's not race let's put it in order .
<48>	(185.650-187.660)	<hes> may kanya-kanyang kategorya .	there will be different categories .
<49>	(187.660-189.392)	kung sa mata sa mata ang pasyente .	if it's the eye then it's the eye that the patient should have checked .
<50>	(189.392-191.733)	kung sa laboratory laboratory .	if laboratory laboratory .
<51>	(191.733-195.413)	kung sa <hes> bibig o sa labi .	if mouth or lips .
<52>	(195.413-196.718)	lahat 'yan ho .	all of those .
<53>	(196.718-205.220)	<hes> ayusin nating mabuti 'yan sapagkat maaga pong darating ang ating mga espesyalista para nang sa gano'n ay mas maraming maserbisyuhan .	let's order it properly because the specialists will arrive early to serve more .
<54>	(205.220-205.952)	okay .	okay .
<55>	(205.952-206.964)	o punta na lamang ~ %incomplete	or just go to %incomplete
