<1>	Rules of Engagement: Shoot or Hold?	rules of engagement: shoot or hold?
<23>	Tinapik ko si Cpl Jonjie Cuevas, ang aking Radio Man na taga Mindoro, para tawagan si Batcom gamit ang aming radyo na kung tatawagin ay 'Pito-pito' (PRC 77).	I tapped Corporal Jonjie Cuevas, my radio man from Mindoro, to call Batcom using our radio, which is called "seven-seven" (PRC 77).
<24>	Binigay ko ang aming grid coordinates at ang sitwasyon sa kinaroroonan.	I gave our grid coordinates and the situation in our location.
<25>	"Eagle this is Bullseye, nakikita namin posibleng mga kalaban. More or less 20 ang nasa masjid, nakasandal ang mga baril at ang isa ay nakaalerto bilang gwardya. Oobserbahan pa naming mabuti ang kanilang aksyon."	"Eagle this is Bullseye. we can see possible enemies. more or less 20 are in the mosque. the guns are at rest and one is alert as a guard. we will still observe their actions thoroughly."
<26>	Pagkatapos na makausap ang aking Commander na nasa Tactical Command Post, inipon ko ang lahat na mga Company Commanders na kasama para sa aking final briefing.	after speaking with my commander who was in the tactical command post, I gathered all the company commanders who are with us for my final briefing.
<27>	"Di pa sigurado kung mga Abu Sayyaf ang armadong iyan.	"it is not yet certain if those armed men are Abu Sayyaf.
<28>	Ang gagawin natin ay lapitan namin ang mga taong iyan bilang Main Effort at mapayapang kumpiskahin ang mga armas.	what we will do is to approach those people, as our main effort, and peacefully confiscate the weapons.
<29>	Bantayan nyo ang bawat sector at iyong akmang makipagbarilan lamang ang puntiryahin.	guard each sector and target only those who are positioned to fire.
<30>	Ipakita nating mas marami tayo at nakahanda tayong lumaban kung kailangan."	let us show that we are larger in number and we are ready to fight when needed."
<31>	Pagkatapos ko silang makausap, ang mga Team Leaders ko naman sa kumpanya ang aking binigyan ng specific instructions.	after speaking to them, it was the team leaders in the company whom I gave specific instructions to.
<32>	"Ang sniper ang take charge sa gwardya.	"the sniper would take charge of the guard.
<33>	Kung ipuntirya nya ang baril at tipong mamumutok, bigyan ng 1 round sa ulo.	if he points his gun and seems positioned to fire, give him 1 round in the head.
<34>	Skirmishers line ang dalawang section palapit sa kanila.	two sections will form a skirmishers line towards them.
<35>	I-secure ang lahat ng mga armas na nakasandal habang kakausapin ko ang pinaka-lider nila.	secure all weapons that are at rest as I speak to their actual leader.
<36>	Hangga't maaari, iwasang paputukan ang mga bahayan."	as much as possible, avoid firing at the houses."
<37>	Ang aming 'Pintakasi' Marami na ring karanasan ang mga Musang sa pakikipaglaban sa mga teroristang Abu Sayyaf simula 1990s at maging sa MNLF noong 1970s.	our collective effort. the Musangs have many experiences in fighting Abu Sayyaf terrorists since the 1990' and even with the MNLF in the 1970's.
<38>	Natuto na rin ang karamihan sa amin pagkatapos na nalagasan sa tinatawag na 'pintakasi' na kung saan ay nilalamok ang buong patrol kapag buong barangay ang nagtulong-tulong para labanan ang mga sundalo na pumasok sa kanilang lugar.	most of us have also learned after losing people in what is called "collective effort", where in the entire patrol is mobbed when the whole barangay helps each other to fight the soldiers that entered their area.
<39>	Hindi na pinag-uusapan doon kung sino ang Abu Sayyaf, MNLF o ordinaryong mamamayan sa panahon ng bakbakan sa kanilang komunidad.	there, it is not discussed which ones are Abu Sayyaf, MNLF or ordinary people in a time of battle in their community.
<40>	Naranasan din ito ng 10th SRC sa Al-Barka (Tipo-tipo) noong 1999 at sa Upper Manggas noong 1997.	this was also experienced by the 10th SRC in Al-Barka (Tipo-tipo) in 1999 and in Upper Manggas in 1997.
<41>	Ang 1st SRC naman ay nasubukan ang makipaglaban sa mas nakararaming Abu Sayyaf at nakikisawsaw na mga kababaryong armado sa Sitio Crusher, Bgy Caro, Kapayawan noong 1995 na kung saan ay nanaig ang mga Musang at nagawaran ng Medal for Valor si Captain Cirilito Sobejana, ang magiting nilang Company Commander.	meanwhile, the 1st SRC experienced fighting with a greater number of Abu Sayyaf and armed villagers who were joining in at Sitio Crusher, Barangay Caro, Kapayawan in 1995, where in the Musangs emerged victorious and Captain Cirilito Sobejana, their brave company commander, was awarded a medal for valor.
<42>	Bilang ground commander, responsibilidad ko na mapigilan ang pintakasi at sa halip ay gamitin ito laban sa aming kaaway. Ang inaalala ko lang parati ay ang maiwasan ang makapatay ng mga ordinaryong sibilyan na napilitan lang din na lumaban dahil sa pagkamatay ng mga kaanak nila. Ayaw ko naman na ako pa maging dahilan na merong ma-inspire na kabataan na mag-Abu Sayyaf!	as ground commander, it is my responsibility to prevent collective effort and use this instead against our enemies. what I always put in mind is to avoid killing ordinary civilians, who were also forced to fight because of the death of their relatives. I don't want to be the reason for young people to be inspired to become an Abu Sayyaf!
<43>	Nang mapansin kong tapos na ang kanilang pagdarasal, inalerto ko ang aking mga tauhan sa aming susunod na hakbang.	when I noticed that their worship was finished, I alerted my men about our next step.
<44>	Iyon ang pinaka-kritikal na bahagi dahil lalapitan namin sila at ma-expose pati ako sa enemy fires.	that was the most critical part because we would approach them and even I will be exposed to enemy fires.
<45>	Depende sa gwardyang may hawak ng baril kung tuluyan nga kaming magkabarilan at magpapatayan. Depende rin iyon sa reaksyon ng mga may-ari ng mga nakasandal na armas.	it depends on the guard who is holding the gun if we would totally engage in combat and kill each other. it also depends on the reaction of the owners of the weapons at rest.
<46>	Depende rin iyon sa aming ipapakitang aksyon habang papalapit sa kanilang grupo.	it also depends on the action that we will show while approaching their group.
<47>	Nanalangin ako sa Diyos at humingi ng proteksiyon bago ko tinapik ang balikat ni Cpl Arnold Panganiban, ang Team Leader ng leading elements na aking sasamahan.	I prayed to God and asked for protection before I tapped the shoulder of Corporal Arnold Panganiban, the team leader of the leading elements that I would accompany.
<48>	Pumunta ako sa harapan at sabay-sabay na kaming tumayo para lapitan ang gwardya at ang mga taong kalalabas sa masjid.	I went in front and we all stood up at the same time to approach the guard and the people who just came out of the mosque.
<49>	Dalawampung metro ang layo ng mga damong pinagtaguan namin mula sa kanila.	the distance of the grasses, where we were hiding behind, was twenty meters away from them.
<50>	"Let's go, walang iwanan!"	"let's go, nobody gets left behind!"
<51>	Naka-unlock na ang aking chamber-loaded na AUG Steyr.	my chamber-loaded AUG Steyr was already unlocked.
<52>	Nilalagnat akong muli habang naglalakad palapit sa mga bagong dasal na kalalakihan.	I was having a fever again while walking towards the men who just came from worship.
<53>	Di maipinta ang hitsura ng kanilang mukha na nabigla sa kanilang nakikita.	the looks on their faces cannot be described, which were surprised with what they were seeing.
