<1>	(0.000-3.280)	<no-speech>	<no-speech>
<23>	(104.810-122.670)	naval forces western Mindanao ay <hes> twenty four hours na nagbabantay sa karagatan ng Sulu and <sta> Tawi-Tawi para siguruhin na walang makakalabas sa <hes> <sta> Sulu na mga <hes> A_S_G members particularly iyong mga armed or mga wounded nila .	naval forces western Mindanao is monitoring the Sulu and Taw-Tawi seas twenty-four hours to make sure that no one leaves Sulu that are A_S_G members particularly the armed or their wounded .
<24>	(122.670-126.170)	<no-speech>	<no-speech>
<25>	(126.170-127.653)	<no-speech>	<no-speech>
<26>	(127.653-138.320)	<sta> maam Jess kasama rin sa <hes> misyon ng <hes> navy at marines dito sa <hes> karagatan ng Sulu <sta> ay mahinto iyong <hes> kidnapping operations ng Abu Sayyaf <sta> at masawata na rin iyong iba pang criminal activities dito .	Ma'am Jess part of the mission of the navy and marines here in Sulu sea is to stop the kidnapping operations of Abu Sayyaf and to end other criminal activities here .
<27>	(138.320-144.180)	samantala maam Jess dalawang Abu Sayyaf pa ang nadagdag sa listahan ng mga nasawi sa on-going military operation .	meanwhile Ma'am Jess two Abu Sayyaf was added to the list of casualties in the on-going military operation .
<28>	(144.180-148.410)	<sta> nangyari ito nang magkaengkuwentro ang army at ang Abu Sayyaf sa bayan ng Patikul .	this happened when the army and the Abu Sayyaf had an encounter in the town of Patikul .
<29>	(148.410-148.879)	<sta> maam Jess .	Ma'am Jess .
<30>	(148.879-168.271)	<hes> Jun hindi naman sa minimenos natin iyong kakayahan ng ating armed forces 'no kasi <hes> naki- -- <sta> kapuri-puri 'yong <hes> -- 'yong kanilang pagsisikap 'no -- 'no na sugpuin itong problema o <hes> <sta> hindi -- siguraduhin na walang makatakas na Abu Sayyaf kaya lang <breath> ang laki-laki ng karagatan diyan di ba ?	Jun not that we're undermining the ability of our Armed Forces because -- they're commendable -- their hard work -- to end this problem or not -- make sure that no Abu Sayyaf escapes however the sea is vast right ?
<31>	(168.271-185.140)	tapos iisa iyong barko natin na <sta> nandiyan na trying to <hes> serve as a blocking force tapos <hes> kahit may helicopter ito at may rubber boat ay parang kaya ba nitong patrolya iyong palibot ng <hes> Sulu Province ?	and there's one ship trying to serve as a blocking force and even though there's a helicopter and rubber boat can it patrol the whole surroundings of Sulu Province ?
<32>	(185.140-195.630)	<sta> kasi in <int> the past 'di ba may mga ganiyan na ring incident na parang quinaratine 'yong -- 'yong buong Sulu <hes> parang naka-lock down pero nakakatakas pa rin .	because in the past there have been similar incidents that quarantines the -- the entire Sulu there was a lock down but there are still those who escaped .
<33>	(195.630-202.550)	<hes> di ba 'yong mga <sta> nangidnap nga sa Davao no'ng tumakas eh hindi naman nahabol ng <hes> ating <hes> armed forces .	those who kidnapped in Davao isn't it when they escaped the armed forces weren't able to catch them .
<34>	(202.550-208.360)	<sta> eh papa'no kaya -- anong kasiguraduhan na effective itong <hes> ganitong <hes> ginagawa ngayon ?	how much more if -- what assurance do we have that what we're doing now is effective ?
<35>	(208.360-211.830)	<no-speech>	<no-speech>
<36>	(211.830-214.267)	<no-speech>	<no-speech>
<37>	(214.267-217.205)	<sta> <hes> ma'am Jess <hes> nandito lang tayo ngayon sa B_R_P Tarlac .	Ma'am Jess we're just here in B_R_P Tarlac now .
<38>	(217.205-220.685)	ito kasi 'yong nagsisilbi na parang <hes> <sta> nerve center .	this serves as the nerve center .
<39>	(220.685-230.404)	ito iyong parang <hes> mother ship nitong naval blockade dito <sta> pero marami pang nakalatag ma'am Jess dito sa area na ito ng <hes> Sulu sea na iba pang mga <hes> <sta> navy vessel .	this is like the mother ship of this naval blockade here but many various navy vessel are spread over Ma'am Jessa here in this area of Sulu sea .
<40>	(230.404-240.138)	hindi na lang natin <hes> sasabihin kung ilan at kung saan partikular nakalatag 'yan para hindi na rin makaapekto <sta> sa <hes> operasyon na isinasagawa dito nga sa may <hes> karagatan na ito .	we just won't say how many and where particularly are they laid out as to not affect the operation being conducted here by this sea .
<41>	(240.138-245.380)	pero ito lang masasabi ko maam Jess without really going into specifics kung ano iyong capability <sta> ng barko na ito .	but I can only say this Ma'am Jess without really going into specifics what is the capability of this ship .
<42>	(245.380-246.691)	napaka-high tech na niya .	it is very high tech .
<43>	(246.691-254.224)	<hes> marami tayong naririnig na kuwento kung paano mino-monitor <sta> 'yong galaw ng mga sasakyang pandagat kahit na mapaumaga man <sta> o gabi .	we hear many stories about how the movement of marine vehicles are monitored whether at morning or night .
<44>	(254.224-257.644)	pero masasabi natin napaka-advance na nitong klaseng barko na ito .	but we can say that this kind of ship is very advanced .
<45>	(257.644-262.459)	kaya kung bantay at bantay rin naman <sta> siyempre nando'n pa rin bente-kuwatro oras 'yong pagbabantay nila .	so if about guarding and guarding of course it's there they are on guard twenty-four hours .
<46>	(262.459-268.833)	pero siyempre nando'n pa rin naman hindi pa rin naman talaga nawawala <sta> 'yong posibilidad na makalusot 'yong Abu Sayyaf .	but of course it's still there the possibility that the Abu Sayyaf will pass through will not go away .
<47>	(268.833-272.280)	it's either papasok ng Sulu or palabas ng Sulu naman 'yong iba ma'am Jess .	the others it's either entering Sulu or exiting Sulu Ma'am Jess .
<48>	(272.280-281.770)	<sta> <hes> mabuti nabanggit mo 'yan Jun dahil <breath> di ba sa mga napapanood nating <hes> pelikula ng Hollywood <sta> <hes> may satellite na nakakakita kung anu-ano .	it's good that you mentioned that Jun because right in what we watch Hollywood movies there is a satellite that can see all sorts .
<49>	(281.770-284.719)	parang iyong mga ginagamit din sa eroplano .	like what is used too in planes .
<50>	(284.719-291.413)	ngayon makikita mo na kung saan 'yong mga flight na commercial kung <hes> ilan 'yong puwedeng mag-landing .	now you can see where are the commercial flights if how many can land .
<51>	(291.413-294.111)	may ganyang nang mga capability through satellites <hes> .	there are those capabilities through satellites .
<52>	(294.111-310.990)	na-i-imagine ko <sta> <hes> may ganiyan din <hes> kayang capability ngayon <breath> ang ating armed forces na <sta> via satellite ma-mo-monitor nila kung ano iyong mga <hes> sasakyang pandagat na gumagalaw diyan sa <sta> buong isla ng Sulu na kanilang binabantayan ngayon ?	I can imagine is there also that capability at present in our armed forces that via satellite they can monitor what are the marine vehicles moving there in the whole island of Sulu which they are guarding now ?
<53>	(310.990-314.290)	<no-speech>	<no-speech>
<54>	(314.290-316.175)	<no-speech>	<no-speech>
<55>	(316.175-319.111)	<sta> siguro maam -- maam Jess <hes> in general terms na lang 'no ?	maybe ma'am -- Ma'am Jess just in general terms right ?
<56>	(319.111-326.576)	itong -- itong -- itong barko na ito <sta> of course mayroon itong radar capability kung niya mino-monitor iyong <hes> <sta> sitwasyon dito sa karagatan .	this -- this -- this ship of course it has radar capability monitoring the situation here at sea .
<57>	(326.576-330.691)	eh huwag na lang nating sabihin kung ga'no rin kalawak 'yong kaya niyang <hes> i-monitor .	let us just not say how wide it can monitor .
<58>	(330.691-351.378)	'yong kanilang <hes> Agusta na isa sa mga <hes> pinaka-advance nga na <hes> -- na aircraft o ng helicopter nitong navy <sta> ay talagang marami ring <hes> capability ang <hes> helicopter na 'yan na hindi na lang <hes> kailangang ilatag pa para -- baka <hes> <sta> makarating pa sa kung <hes> -- kung sinuman man hinahabol nitong navy na 'to at mapaghandaan nila .	their Agusta that is one of the most advanced aircraft or helicopter of the navy really has many capabilities that helicopter that will not just be discussed -- because it might reach whoever this navy is chasing and they can prepare for it .
<59>	(351.378-356.109)	pero safe to say ang mga ganitong klaseng mga aircraft ang mayro'n namang mga night flying capability .	but safe to say these kinds or aircraft have night flying capabilities .
<60>	(356.109-361.554)	kung ano 'yong ginagawa nila sa gabi papa'no nila mino-monitor 'yong ground <sta> 'wag na lang nating <hes> ilatag sa publiko maam Jess .	what they do at night how they monitor the ground let us not just share to the public Ma'am Jess .
<61>	(361.554-362.500)	okay I understand .	okay I understand .
<62>	(362.500-375.990)	so the idea is pagka may na-monitor silang mga <hes> sasakyang pandagat na parang patakas iyon ang hahabulin nitong <hes> mga nakaistasyon ngayon na tropa ng <hes> mga awtoridad diyan .	so the idea is if they are monitoring a marine vehicle that seems to be on escape they will be chased by these currently stationed ones by the troops of the authorities there .
<63>	(375.990-380.889)	<no-speech>	<no-speech>
<64>	(380.889-389.297)	<sta> mapagabi man 'yan o mapaumaga maam Jess pag nakita sa rare- -- radar nila <sta> at mayroon silang sinasabi na specific speed na parang <hes> red flag .	whether that's at night or at day Ma'am Jess if seen on -- their radar they state a specific speed that's like a red flag .
<65>	(389.297-404.517)	kung <hes> -- kung baga pag sinabing nakita nila na medyo mabilis ang takbo <sta> 'yan magpapakawala na sila ng mas mabibilis na speedboat nila at <hes> hahabulin <sta> na iyang <hes> mga <hes> sea vessel na 'yan o kung anumang mga speedboat dito sa bahagi na ito ng <hes> karagatan <sta> ng <hes> Sulu .	if -- in other words they say that that's moving too quickly they will release their faster speedboats and chase those the those sea vessels or whatever speedboats here in this part of the sea of Sulu .
<66>	(404.517-416.268)	In fact <hes> nagiging mahigpit na rin sila maam Jess don sa mga speedboat na kung <hes> -- kung <hes> <sta> sinu-sino na lang ang may dala kung sinu-sino na lang ang may sumasakay <sta> ay dumadaan dito palabas masok dito sa area na ito .	in fact Ma'am Jess they are becoming stricter on those speedboats where -- where it's just anyone who drives it's just anyone who goes on board passing here entering and exiting this area .
<67>	(416.268-417.399)	nagiging istrikto na sila .	they are becoming stricter .
<68>	(417.399-430.009)	pag may mga ganiyan silang <hes> nakikita maam Jess kasama doon sa mandate nila <sta> na hintuin 'yang mga 'yan at checkin iyong papeles at kung walang papeles ay <hes> kumpiskahin <sta> 'yong <hes> sasakyang <hes> pandagat na 'yan .	if there are if they see those Ma'am Jess as part of their mandate they will stop those and check the paperwork and if there are no papers they will confiscate that marine vessel .
<69>	(430.009-449.380)	and in fact dito sa V_R_P <hes> -- <sta> V_R_P Tarlac na ito mayroon ng tatlong <hes> speedboat na nakumpiska dahil nga wala si- -- walang papeles at alam naman natin <sta> hindi naman natin nilalahat ano pero may mga speedboat din na nagagamit din ang Abu Sayyaf dito sa kanilang pangingidnap mula do'n sa mga ibang area naman at ipinapasok <sta> dito sa probinsiya ng <hes> Sulu maam Jess .	and in fact here in V_R_P -- this V_R_P Tarlac there are already three speedboats confiscated because they have no -- no papers and we know but we are not generalizing but the Abu Sayyaf has speedboats they use for kidnapping in other areas and they bring them to the province of Sulu Ma'am Jess .
<70>	(449.380-452.983)	<hes> naalala ko kasi iyong accounts no'ng mga nakidnap no'ng araw .	because I remembered the accounts of those kidnapped back in the day .
<71>	(452.983-465.797)	iyong si <breath> <sta> Gracia Burnham binabanggit na <breath> -- o 'yong iba pa 'no na <breath> mas mabibilis pa raw 'yong mga <sta> <hes> sasakyang pandagat ng mga Abu Sayyaf kaysa don sa <sta> <hes> ginagamit ng ating armed forces dati .	Gracia Burnham mentioning -- or the others that supposedly they are faster the sea vessels used by the Abu Sayyaf than those used by our armed forces before .
<72>	(465.797-469.909)	although you're saying now na mayroon na tayong increased capability .	although you're saying now that we already have increased capability .
<73>	(469.909-477.630)	mas <sta> magaganda na iyong <hes> mga gamit at <breath> mas mabilis na ring <hes> makatakbo iyong mga speedboat ng militar .	they are better the equipment and run faster too the speedboat of the military .
<74>	(477.630-481.855)	<sta> maraming salamat at ingat kayo diyan sa Sulu Jun Veneracion .	thank you very much and take care there in Sulu Jun Veneracion .
<75>	(481.855-483.753)	<no-speech>	<no-speech>
