<1>	Hinggil sa pagparusa ng NPA sa Sawmill at pagdis-arma sa dalawang tauhan ng PNP	concerning to the punishment of the NPA in sawmill and the disarming of two members of the PNP.
<12>	Sa pamamagitan ng malaking halaga ng pera ay ineengganyo, nililinlang at sinusuhulan nila ang mga mamamayan na mag-logging.	using large amount of money to entice, deceive and bribe the citizens into logging.
<13>	Kahit ang pakitang-taong “pagbabawal” ng DENR sa pagla-logging ay hindi sinusunod ng mga kapitalista at upisyal ng gubyernong sangkot sa logging.	even the superficial "prohibition" of the DENR against logging is not being followed by the capitalists and government officials involved in logging.
<14>	Patuloy ang pagtumba nila ng kahoy hanggang noong maparusahan ang sawmill.	they still continue to bring down trees until sawmill got punished back then.
<15>	Sa katunayan, noong Marso 1, nakumpiska ng mga operatiba ng NPA ang limang chainsaw ng mga tauhan ng MATRC at ni meyor Go sa gubat ng Dicamay Uno, Jones (apat na chainsaw ni Marina Marquez ng Maranao, San Mariano at isang chainsaw ni Carlos Marcelo ng Bintacan, Ilagan).	as proof, in March 1, operatives of the NPA confiscated five chainsaws from the members of MATRC and Mayor Go in the forest of Dicamay Uno, Jones (four chainsaws of Marina Marquez of Maranao, San Mariano and one chainsaw of Carlos Marcelo of Bintacan, Ilagan).
<16>	Mula pa Enero 2010, tuluy-tuloy na pinakikilos ni Sammy Ong ang iba’t iba niyang mga bayarang pesonahe ng Isabela para makipagnegosasyon sa NPA.	since January 2010, Sammy Ong continuously sends his different paid personalities in Isabela to negotiate with the NPA.
<17>	Nag-aalok si Ong at mga kasabwat niya ng malaking halaga ng buwis sa CPP-NPA-NDF para payagan silang mag-logging ng huli.	Ong and his accomplices offers large amount of taxes to CPP-NDF to allow them to do logging previously.
<18>	Sa tamang panahon ay ibubunyag ng NPA ang mga pangalan ng mga nasa payroll ni Ong na nag-aalok ng buwis sa NPA.	in the right time NPA will reveal the names of those who are in the payroll of Ong that offers taxes to the NPA.
<19>	Tinanggihan lahat ng NPA ang mga alok na ito.	the NPA refused all of these offers.
<20>	Nanindigan ang CPP-NPA-NDF sa patakaran nitong ipagbawal ng logging ng malalaking mga kapitalistang dayuhan at lokal.	CPP-NPA-NDF stood by its rules to prohibit logging of big capitalist both foreign and local.
<21>	Si Sammy Ong ay isang Chinese national na matagal nang nasa negosyo ng lumber na nakabase sa Sta. Rosa, Nueva Ecija at may kuneksyon sa pinakamalalaking pulitiko at kontraktor sa Isabela.	Sammy Ong is a Chinese national that has long been in the business of lumber based in Sta. Rosa, Nueva Ecija and has connections with the biggest politicians and contractor in Isabela.
<22>	Walang mamamayan ng Jones ang naniniwala sa disintunadong propaganda ng 5th Infantry Division Philippine Army na kaya pinarusahan ng NPA ang sawmill ay dahil ayaw nilang magbayad ng buwis sa rebolusyonaryong kilusan.	there is no citizen in Jones that believes in the out-of-tuned propaganda of the 5th infantry division Philippines army that the reason why NPA punished the sawmill is because they don't want to pay taxes to the revolutionary movement.
<23>	Malalaki man o maliliit na namumuhunan sa logging sa Jones ay nakakaalam na hindi nanghihingi ng kahit sentimo ang NPA kapalit ng pagpayag nitong sila’y makapag-logging.	large or small investors in logging in Jones knows that the NPA does not ask for even a cent in exchange for their approval for logging.
<24>	Kabaliktaran, alam ng lahat na ang bawat truck ng dos-por-lapad na dumadaan sa mga kampo ng Balabal at Dibuluan ng Army sa Jones ay hinihingan ng mga militar ng P5,000.	contrary, everyone knows that each truck of two-by-three that passes the camp in Balabal and Dibuluan of army Jones are charged with P5,000 by the military.
<25>	Sa pagbato nito ng paninira sa CPP-NPA-NDF, nais itago ng 5th ID ang pusisyon nitong hayaang mawasak ang gubat para sa kapakinabangan ng malalaking kapitalista at mga upisyal militar.	as it throws slander to the CPP-NPA-NDF, the 5th ID wants to hide its position in allowing the destruction of the forest for the benefit of big capitalists and military officers.
<26>	Habang ipinapakita sa telebisyon ang ilang pirasong kahoy na kinukumpiska ng PNP at Army sa maliliit na nagdodos-por-lapad, hinahayaan nila ang mas enggrandeng paghalihaw sa gubat ng mga makinarya ng MATRC at iba pang korporasyon sa logging.	while television shows some pieces of wood being confiscated by the PNP and the army from small loggers, they allow the bigger clearing of the forest by the MATRC machinery and other logging corporations.
<27>	Alam ng lahat na sa kabila ng tulung-tulong na pagmamaniobra ng MATRC at mga kasabwat niyang pulitiko sa Isabela at protektor nilang mga pwersa ng 5th ID at ng PNP sa Jones, nanindigan ang CPP-NPA-NDF na ipagbawal ang korporadong logging.	everyone knows that despite the combined efforts of maneuvering by the MATRC and their accomplice politicians in Isabela and their protector in the 5th ID force and the PNP in Jones, the CPP-NPA-NDF stood up to prohibit corporate logging.
<28>	Matatag na naninindigan ang CPP-NPA-NDF sa panig ng mga inaapi at pinagsasamantalahang mamamayan.	the CPP-NPA-NDF firmly stands in favor of the oppressed and exploited citizens.
<29>	Malambot ang puso nito sa mga magkakaingin na walang pag-aaring lupang mabubungkal at pinapaalis pa ng gubyerno sa kanilang mga pusisyong lupa, mga maralitang magsasakang naitutulak na magdos-por-lapad para may pampuno sa kaunting kita mula sa pagtatanim ng mais at iba pang produkto sa agrikultura, at iba pang walang istableng pinagkakakitaan bunga ng permanenteng krisis ng sistemang malakolonyal at malapyudal ng Pilipinas.	it is soft-hearted to farmers that do not have their own land to till yet being forced to leave by the government on their positioned land, poor farmers who are pushed to logging to be able supplement the small income from planting corn and other agricultural products, and other unstable source of income caused by the permanent crisis of the colonized and feudal system of the Philippines.
<30>	Sa kabilang banda, matigas ang paninindigan nitong ipagbawal ang logging para sa interes ng pagkamal ng malaking ganansya ng mga kapitalista at upisyal ng gubyerno kapalit ang pagkawasak ng kinabukasan at pagkalagay sa bingit ng kapahamakan ng mga inaapi.	on the other side, it is strong in its commitment to prohibit logging for the interest of the profits of big capitalists and government officials in exchange for the destruction of the future and the brink of destruction of the oppressed.
<31>	Sa katunayan, pinapalakpakan ng mga api at dalita ng Jones ang ginawang pagparusa ng NPA sa sawmill dahil ito mismo ay pagtugon sa kanilang mga kahilingan sa CPP-NPA-NDF at alam nilang para ito sa panandalian at matagalan nilang interes.	in fact, the oppressed and tormented of Jones applauds the punishment being done by the NPA in sawmill because this is the answer to their wishes by CPP-NPA-NDF and they know that this is for their own short and long term interest.
