<1>	(0.000-0.719)	ating lahat .	all of us .
<22>	(79.443-93.956)	so before this activity before <hes> this activity they were trained and <hes> they have practiced for several <hes> a couple of days and <hes> ito yung mga seasoned pilots na magpapalipad .	so before this activity before this activity they were trained and they have practiced for several a couple of days and these are the seasoned pilots who fly .
<23>	(93.956-97.190)	they are the mentors of their education and training command .	they are the mentors of their education and training command .
<24>	(97.190-99.349)	teka ma'am sabi n'yo couple of days lang ?	but ma'am you said only a couple of days ?
<25>	(99.349-101.710)	tama ba 'yon at least months man lang ?	is that correct and at least months at least ?
<26>	(101.710-102.420)	<no-speech>	<no-speech>
<27>	(102.420-105.107)	<hes> hindi naman inabot ng gano'n katagal .	it does not take that long .
<28>	(105.107-109.090)	siguro kung sabihin natin mga two weeks ang practice ng piloto natin .	maybe let us say that our pilots' practice is two weeks .
<29>	(109.090-111.132)	okay ma'am where'd you experience that before ?	okay ma'am where'd you experience that before ?
<30>	(111.132-122.330)	yeah yes when we were instructor pilots at the flying school we used to fly <hes> formation and flyby during <hes> activities like these .	yeah yes when we were instructor pilots at the flying school we used to fly formation and flyby during activities like these .
<31>	(122.330-131.330)	okay ma'am <hes> sa ating -- sa inyong dalawa ano ba ang dapat gawin para maging <hes> successful female pilot ka katulad mo ma'am ?	okay ma'am between -- the two of you what should be done to become a successful female pilot like you ma'am ?
<32>	(131.330-146.245)	well I guess ang kailangan lang is determination and <hes> you really have to show your -- your <hes> your -- your -- your <hes> <no-speech> <hes> will .	well I guess you only need determination and you really have to show your -- your your -- your -- your will .
<33>	(146.245-148.900)	will -- your will para gawain 'yan .	will -- your will to do that .
<34>	(148.900-155.564)	it's -- it's really just like before hindi ito open sa mga babae .	it's -- it's really just like before it is not open for women .
<35>	(155.564-172.835)	it was only during our time when Hit was offered to female like us so <hes> yung aming pinagdaanan ni Colonel Hernale is <int> something na talagang <hes> -- talagang parang kasi novelty kami eh .	it was only during our time when Hit was offered to female like us so what we experienced under Colonel Hernale is something that is really -- because we were really like novelty .
<36>	(172.835-176.379)	so when we started all eyes are on us .	so when we started all eyes are on us .
<37>	(176.379-182.050)	but -- but -- but we were able to hurdle that at 'yon nga parehas na kaming colonel .	but -- but -- but we were able to hurdle that and that's it we're both colonels .
<38>	(182.050-188.686)	Colonel Hernale <hes> mayroon na ba kayong nasubukan na na piloto na talagang matatakutin pero gusto talaga niya maging pilot eh .	Colonel Hernale have you tested a pilot who's really easily scared but he really wanted to become a pilot .
<39>	(188.686-194.060)	how did they overcome that at pa- -- papaano ano yung motivation ninyo para sa kanila ?	how did they overcome that and -- how is your motivation for them ?
<40>	(194.060-203.336)	<hes> yeah I have encountered the mga ilang estudyante din na makikita mo na may fear sila but siguro kung yung ano ng ano %incomplete	yeah I have encountered the some students too you will see that they have fear but maybe if the uh the uh %incomplete
<41>	(203.336-208.457)	<hes> actually the motivation of the instructor pilot to do that ay malaking ano malaking bagay .	actually the motivation of the instructor pilot to do that is a big uh a big thing .
<42>	(208.457-212.550)	actually <hes> I was an instructor pilot for several years until now .	actually I was an instructor pilot for several years until now .
<43>	(212.550-216.928)	so ang ginagawa ko lang siguro you have to know the person .	so what I just do perhaps you have to know the person .
<44>	(216.928-222.074)	even the family na pinanggalingan niya dapat malaman mo kung papaano siya pinalaki .	even the family he came from you should know how he was raised .
<45>	(222.074-237.329)	and then kasi as an instructor pilot you should have -- you should also be parang psychologist ka na pag-aaralan mo yung behavior ng isang tao so 'yon ang pinakamalaking <hes> papel siguro na ginagampanan ng isang instructor pilot .	and then because as an instructor pilot you should have -- you should also be like a psychologist who will study the behavior of a person so that is the largest role you will play as an instructor pilot .
<46>	(237.329-250.070)	may mga fear ba na no'ng naging female pilots po kayo eh hindi ba dumating sa point na tipong baka ma-assign kayo sa mga war torn areas mga gano'ng bagay ?	were those fears when you became female pilots didn't it come to a point where you'll like be assigned to war torn areas stuff like that ?
<47>	(250.070-266.126)	actually <hes> <no-speech> 'yan yung isang bagay na na hinangad din namin na maranasan noong araw kaya lang <hes> after our graduation we were <hes> we were designated at the Air Education and Training Command .	actually that is one thing we also wished to experience back in the day but after our graduation we were we were designated at the Air Education and Training Command .
<48>	(266.126-277.645)	but after that <hes> -- after my stint as instructor pilot I was assigned as a transfer pilot and I flew the the -- the Fokker the -- the F Twenty Seven .	but after that -- after my stint as instructor pilot I was assigned as a transfer pilot and I flew the the -- the Fokker the -- the F Twenty-Seven .
<49>	(277.645-281.485)	yeah that was the last plane that I -- <sta> that I flew .	yeah that was the last plane that I -- that I flew .
<50>	(281.485-299.436)	naku ma'am ako naman <hes> after a while sa Air Education and Training Command I was assigned with the headquarters sa Philippine Air Force and the short period sa Presidential Air Lift Wing and I am back again sa <breath> <hes> <int> Air Education and Training (()) Command .	oh ma'am for me after a while in the Air Education and Training Command I was assigned with the headquarters of the Philippine Air Force and the short period in the Presidential Air Lift Wing and I am back again to the Air Education and Training (()) Command .
<51>	(299.436-307.635)	but before that I was the -- assigned as the <hes> group commander ng isang tactical operations group sa Lucena City .	but before that I was the -- assigned as the group commander of a tactical operations group in Lucena City .
<52>	(307.635-309.575)	'yon maraming-maraming salamat .	thank you very very much .
