<1>	(0.000-4.750)	<sta> patuloy pa rin ang bakbakan sa ilang lugar dito sa Zamboanga City .	conflict continues in some parts here at Zamboanga city .
<21>	(107.517-122.712)	bagamat malungkot 'yan ay parte ng aming tungkulin at <hes> hindi 'to <hes> magiging sagabal sa aming <hes> operation at ito pa ay magiging <hes> inspiration sa ating mga kasundaluhan .	even if that is saddening it is part of our duty and this will not be a hindrance in our operation and this will serve as an inspiration to the soldiers .
<22>	(122.712-127.330)	bahagi si first lieutenant Rama ng Philippine Military Academy class two thousand and eight .	First Lieutenant Rama is part of the Philippine Military Academy class two thousand and eight .
<23>	(127.330-130.810)	siya ang tumayong platoon leader ng first light reaction company .	he served as platoon leader of the first light reaction company .
<24>	(130.810-134.870)	ang kaniyang pagkamatay buong loob na tinanggap ng kaniyang pamilya .	his death was wholeheartedly accepted by his family .
<25>	(134.870-141.240)	(()) pray for us <sta> (()) .	(()) pray for us (()) .
<26>	(141.240-153.784)	<sta> (()) tapos kaninang umaga mga six ten (()) nag-text siya sa akin na good morning at saka nag-greet ng happy birthday <sta> (()) dapat kasi matagal na po pinatigil ang putukan na 'yan eh .	(()) and then earlier this morning around six ten (()) he texted me good morning and then greeted happy birthday (()) that gunfire exchange should have long been stopped .
<27>	(153.784-156.140)	<sta> ang dami (()) .	there are many (()) .
<28>	(156.140-160.300)	bukod kay Rama isang sundalo pa ang napatay sa bakbakan nitong Martes .	aside from Rama one more solider was killed in the encounter last Tuesday .
<29>	(160.300-166.000)	kagabi sinalubong ng kaniyang kaanak ang labi ni first lieutenant Mark Herson Caranzo .	last night the corpse of First Lieutenant Mark Herson Caranzo was welcomed by his relatives .
<30>	(166.000-169.574)	salamat sa mga nakikidalamhati sa asawa ko .	thanks to those who sympathize with my spouse .
<31>	(169.574-175.000)	pero aanhin ko pa ang pagiging hero niya kung wala na siya .	but what will I do with his heroism if he's gone .
<32>	(175.000-181.107)	sa Fort Pilar naman nakaengkuwentro ng mga militar ang dalawa umanong mababagsik na tauhan ng M_N_L_F .	in Fort Pilar the military encountered two allegedly savage members of the M_N_L_F .
<33>	(181.107-184.828)	pero matapos ang sagupaan napatay ang dalawang rebelde .	but after the encounter the two rebels were killed .
<34>	(184.828-187.730)	nakuha sa kanila ang matataas na kalibre ng armas .	recovered from them were high caliber weapons .
<35>	(187.730-195.660)	sa isinagawa namang clearing operations nadampot ang ilang piraso ng rocket propel grenades na pumasok sa hall of justice ng lungsod .	in the clearing operations conducted some pieces of rocket propel grenades that entered the city's hall of justice were picked up .
<36>	(195.660-201.569)	ang ilan sa mga ito tumusok sa pader ng gusali kaya maingat na kinuha ng mga sundalo .	some of these pierced the wall of the building so they were carefully taken by the soldiers .
<37>	(201.569-206.010)	sa kalapit naman na barangay nadatnan ang mga sunog na bahay at sasakyan .	in a nearby barangay burned houses and vehicles were found .
<38>	(206.010-208.587)	tadtad ng tama ng bala ang ilan pang ari-arian .	some possessions were full of bullet holes .
<39>	(208.587-209.123)	<no-speech>	<no-speech>
<40>	(209.123-211.150)	hindi pa man natatapos ang bakbakan .	the fighting is not yet over .
<41>	(211.150-216.380)	malaki ang kumpiyansa ng militar na lumiit na ang ginagalawan ng grupo nina Ustadz Habier Malik .	the military is highly confident that the area where the group of Ustadz Habier Malik moves has shrunk .
<42>	(216.380-226.640)	naniniwala kami nandiyan pa si <hes> kumander Malik at <hes> pilit natin na <hes> -- na tapusin 'to the soonest possible time .	we believe that he is still there Commander Malik and we are forcing to -- to finish this at the soonest possible time .
<43>	(226.640-230.960)	at sa gitna ng krisis sa siyudad hindi pa rin nawawala ang bayanihan .	and in the midst of crisis in the city cooperation has not been lost .
<44>	(230.960-233.960)	may ilang dinalhan ng pagkain ang militar at mga pulis .	some brought food to the military and the police .
<45>	(233.960-241.470)	<sta> (()) 'yan naempake dinala namin dito para tulong na rin diyan sa mga evacuees 'yong mga nasunugan .	(()) that was packed we brought them here also as assistance to the evacuees the ones who were affected by the fire .
<46>	(241.470-245.160)	<no-speech>	<no-speech>
<47>	(245.160-260.650)	Jessica dakong alas sais ng <hes> gabi ay umalis tayo do'n sa Rio Hondo kung saan ilang araw na rin tayo nagmamasid at nag-re-report dito sa sigalot nga na nangyayari sa Zamboanga City at <hes> pansin natin na may mga panaka-naka pa ring putukan sa pagitan ng gobyerno at M_N_L_F .	Jessica around six o'clock in the evening we left Rio Hondo where we have been observing for a few days and reporting here about the conflict happening in Zamboanga City and we noticed that there are still occasional gunfire between the government and the M_N_L_F .
<48>	(260.650-273.526)	bagamat pansin din natin 'yong mga ilaw sa karagatan na palatandaan na 'yong naval blockade ay ipinatutupad pa rin ng Philippine Navy para tiyaking hindi nga makakapuslit 'yong grupo ng M_N_L_F papunta sa karagatan Jessica .	even if we also noticed the light in the sea that's a sign that the naval blockade is still being implemented by the Philippine Navy to ensure that the M_N_L_F group cannot escape towards the sea Jessica .
<49>	(273.526-275.150)	<no-speech>	<no-speech>
<50>	(275.150-292.099)	okay Chino nakalapit kami kaunti 'no do'n sa may <hes> kanto <hes> bago mag-Lustre street kaninang bandang mga four thirty to five at <hes> bukod do'n sa mga malalakas na sunog na natatanaw mula ro'n eh nakakarinig pa rin tayo ng <hes> putok 'no ?	okay Chino we were able to go closer a bit there by the corner before Lustre Street earlier around four thirty to five and aside from the strong fires that can be viewed from there we could still hear gunshots right ?
<51>	(292.099-299.610)	may mga malalakas pa na parang mga bomba tapos mayro'ng mga automatic gunfire at mayro'n pa ring mga sniper shots .	there are even loud ones that seem like bombs and then there are automatic gunfire and there are still sniper shots .
<52>	(299.610-305.530)	ibig sabihin matindi pa rin talaga 'yong <hes> palitan ng putok o 'yong bakbakan ng magkabilang panig .	that means it's still serious the exchange of gunfire or the fighting of the opposite sides .
<53>	(305.530-308.770)	<no-speech>	<no-speech>
<54>	(308.770-326.830)	tama ka diyan Jessica kasi isa nga sa mga question ngayon o tinatanong ngayon ng <hes> mga tao sa military maging sa pulis ay bakit ba tila hindi nauubusan 'to ng bala at ammunition at supplies itong M_N_L_F na <hes> eleven days na na nagkukuta at nakikipagbakbakan dito sa puwersa ng gobyerno .	you are correct Jessica because one of the questions now or being asked now by the people to the military and even to the police is why it seems like the M_N_L_F has not run out of bullets and ammunition and supplies who have been camping and fighting here with the government forces for eleven days .
<55>	(326.830-337.484)	so kung <hes> tatanungin daw military naniniwala silang maaaring nagka- -- <hes> -- o nakapag-imbak talaga ng husto ng supplies itong M_N_L_F bago pa sila dumating dito sa Zamboanga City .	so if the military is asked they believe it is possible -- -- or the M_N_L_F really stocked on supplies before they even arrived here in Zamboanga City .
<56>	(337.484-344.411)	ang ibig sabihin ay plinano talaga 'to at handa talaga silang makipagbakbakan ng medyo matagal na panahon .	it means they really planned it and they were really ready to fight for somewhat a long time .
<57>	(344.411-346.510)	<no-speech>	<no-speech>
<58>	(346.510-362.730)	so hindi pa masabi ng militar Chino kung hanggang kailan pa itong ganitong sitwasyon kasi bagamat may mga <hes> ilang lugar na dito sa Zamboanga na parang pilit bumabalik na sa normal eh dahil hangga't may putukan eh parang hindi talaga mangyayari 'yon 'di ba ?	so the military cannot still say Chino until when this kind of situation will last because even if there are some places here in Zamboanga that seem to be trying to return to normal but because until there is gunfire but it seems like that won't really happen right ?
<59>	(362.730-365.433)	<no-speech>	<no-speech>
<60>	(365.433-374.854)	alam mo Jessica kahit nga tayo na <hes> ilang araw na ring nag-co-cover dito sa <hes> Zamboanga City ay <hes> may mga ilang lugar na tayo na parang itinuturing ng safe 'no ?	you know Jessica even we who have been covering for a few days here in Zamboanga City there are some places we seem to consider safe already right ?
<61>	(374.854-383.120)	pagdaan natin do'n alam na natin na medyo ligtas na itong lugar bagamat alam din natin kung saang lugar talaga 'yong medyo naririnig pa 'yong mga putukan .	when we pass by there we know that that place is somewhat safe already even if we know where are the actual places where gunshots can still be heard somewhat .
<62>	(383.120-398.965)	pero nitong mga nagdaang araw akala natin tahimik na pagdaan na naman natin dito isang lugar na dito ay 'yong Fort Pilar kung saan na- -- <hes> -- nakagawian na nga ng media na pumunta do'n ay bigla itong isinara ng <hes> mga tauhan ng militar dahil ito na nga tumitindi na muli 'yong putukan .	but these past few days we thought it was peaceful already but when we passed by one of the places here in Fort Pilar where -- -- the media is used to going there it was suddenly closed by the staff of the military because the gunfire is intensifying again .
<63>	(398.965-417.325)	kung kaya't kung ikaw naman ay sibilyan narito ka o nakatira ka dito sa palibot ng <hes> sinasabing tatlong major na mga barangays dito malapit sa city hall ay <hes> talagang duda ka talaga kung babalik ka pa sa ngayon dahil rinig na rinig pa talaga 'yong mga pagsabog at panakanakang putukan halos araw-araw .	which is why if you are a civilian here or living here around what is said to be the three major barangays near the city hall you will be suspicious of returning today because the explosions and occasional gunshots can really be heard almost every day .
<64>	(417.325-419.361)	<no-speech>	<no-speech>
