<1>	(0.000-1.809)	<no-speech>	<no-speech>
<40>	(185.086-186.900)	<sta> pero ba't 'di ko pa nararamdaman ngayon ?	but why don't I feel that yet ?
<41>	(186.900-193.310)	<sta> <laugh> talagang mabigat talaga yung number one sir <laugh> kasi defending na eh .	the number one is really important important sir because he's already defending .
<42>	(193.310-197.728)	<sta> kapag defending ka pala talaga talagang sa 'yo lahat nakamata .	if you're defending everyone's eyes are really on you .
<43>	(197.728-210.614)	<sta> samantala <sta> maging ang ilang local writers at observers ay naniwalang nakikiramdam lamang at nag-co-conserve ng energy ang mga banyagang siklista <sta> bago umatake sa huling limang stages ng February one to sixteen bike cup .	meanwhile even some local writers and observers believe that the foreign cyclists are just reading the mood and conserving energy before attacking in the final five stages on the February one to sixteen bike cup .
<44>	(210.614-211.874)	<sta> hindi po namin alam eh .	we really don't know .
<45>	(211.874-214.010)	<sta> baka ganoon din .	maybe it's like that too .
<46>	(214.010-216.117)	<sta> so ano preparasyon n'yo ?	how are you preparing ?
<47>	(216.117-217.612)	<no-speech>	<no-speech>
<48>	(217.612-220.983)	<sta> sa ngayon <hes> relax muna kasi mahaba ang laro eh .	for now relaxing first because the game is long .
<49>	(220.983-228.277)	<sta> maaga pa naman yung karera <sta> tsaka parang nag-aano pa sila sir eh <no-speech> nag-a-adjust pa sila eh .	the race is still long and it seems like they're uh sir they're still adjusting .
<50>	(228.277-233.497)	pero sir pagdating sa sprint sir <sta> nakikitaan ko sila ng sprint talaga sir eh .	but sir when it comes to spring sir I really see them in sprints sir .
<51>	(233.497-240.802)	<sta> siyempre kino-conserve nila yung energy at more on <hes> <sta> polishing the strategy para pagdating sa akyatan kabisadong-kabisado na .	of course they're conserving their energy and more on polishing the strategy so when it comes to climbing they're already very familiar .
<52>	(240.802-243.816)	<sta> isang patunay diyan pag gusto nilang kumawala kayang-kaya nila eh .	a proof of that is when they want to move away they really can .
<53>	(243.816-244.860)	<no-speech>	<no-speech>
<54>	(244.860-255.540)	<sta> Biyernes ng alas nuwebe ng umaga ay muling masusubok ang mountain climbing skills ng natitirang seventy one riders <sta> sa pagsikad ng one hundred fifty three kilometer Lucena city to Antipolo city stage six .	on Friday nine in the morning the remaining seventy-one riders' mountain climbing skills will be tested again at the start of the one hundred fifty-three kilometer Lucena City to Antipolo City state six .
<55>	(255.540-259.056)	<sta> para sa Good Morning Boss Snow Badua P_T_V sports .	for Good Morning Boss Snow Badua P_T_V Sports .
<56>	(259.056-260.363)	<no-speech>	<no-speech>
<57>	(260.363-269.020)	<sta> sa basketball <sta> hindi na dapat kumuha ng bagong naturalize N_B_A (()) ang FIBA World Cup bound Gilas Pilipinas national team .	for basketball the FIBA World Cup bound Gilas Pilipinas national team does not need to get newly naturalized N_B_A (()) .
<58>	(269.020-282.730)	<sta> ito ang pananaw ni P_B_A legend Mon Fernandez na nagsabing maaaring mawalan lamang ng exposure ang mga local dribblers <sta> kapag natuloy ang naturalization kina Denver Nuggets center JaVale McGee at Brooklyn Nets slotman Andray Blatche .	this is the opinion of P_B_A legend Mon Fernandez who said that local dribblers may lose exposure if the naturalization of Denver Nuggets center JaVale McGee and Brooklyn Nets slot man Andray Blatche will continue .
<59>	(282.730-285.174)	<sta> may report si Nicole Ramos .	Nicole Ramos has a report .
<60>	(285.174-295.738)	<sta> kung si four time P_B_A M_V_P Mon Fernandez ang tatanungin <sta> hindi kailangan ng Gilas Pilipinas sina N_B_A birdman JaVale McGee <sta> at Andray Blatche .	if four time P_B_A M_V_P Mon Fernandez will be asked Gilas Pilipinas does not need N_B_A birdman JaVale McGee and Andray Blatche .
<61>	(295.738-305.790)	<sta> ito'y dahil sa bawat puwesto na lalaruin nina McGee at <sta> Blatche ay isang Pilipino naman ang mawawalan ng pagkakataong mag-improve at ma-expose sa international competitions .	this is because for every position McGee and Blatche will play one Filipino will lose the chance to improve and be exposed to international competitions .
<62>	(305.790-306.819)	<no-speech>	<no-speech>
<63>	(306.819-317.169)	<sta> mawalan lang ng opportunity yung mga Pilipino nating <sta> kababayan na maglaro sa team na <hes> yung experience na ma-gain nila .	our Filipino countrymen will lose the opportunity to play for the team the experience they will gain .
<64>	(317.169-318.956)	that what's more important to me .	that what's more important to me .
<65>	(318.956-319.971)	<no-speech>	<no-speech>
<66>	(319.971-328.728)	<sta> obserbasyon pa ng Cebuano basketball (()) <sta> maaaring questionable rin ang commitment na puwedeng ibigay sa bansa nina McGee at Blatche .	the Cebuano basketball (()) even observed that the commitment McGee and Blatche can give to the country may be questionable .
<67>	(328.728-329.765)	<no-speech>	<no-speech>
<68>	(329.765-336.234)	<sta> definitely <sta> (()) I propose do you allow this guys to continue playing in their N_B_A .	definitely (()) I propose do you allow this guys to continue playing in their N_B_A .
<69>	(336.234-340.511)	<sta> I only play for the Philippines during this <sta> international competition .	I only play for the Philippines during this international competition .
<70>	(340.511-342.920)	<sta> mapag- -- papakamatay ba 'yan ?	will -- they sacrifice their life ?
<71>	(342.920-343.769)	<sta> oo nga .	yes .
<72>	(343.769-344.557)	oo nga .	yes .
<73>	(344.557-347.236)	<sta> (()) baka mapilayan lang sila dito .	(()) they may just be injured here .
<74>	(347.236-351.085)	<sta> tsaka ano 'yang N_B_A (()) <overlap> <sta> (()) .	and what is that N_B_A (())(()) .
<75>	(351.085-352.091)	<no-speech>	<no-speech>
<76>	(352.091-357.900)	<sta> si Fernandez ay makailang beses nang nagsuot ng national tricolor sa mga international tournaments .	Fernandez wore the national tricolor in international tournaments several times .
<77>	(357.900-362.708)	<sta> kabilang na rito ang World Basketball Championships noong nineteen seventy three .	including the World Basketball Championships in nineteen seventy-three .
<78>	(362.708-364.215)	<sta> para sa Good Morning Boss .	for Good Morning Boss .
