<1>	Bakit dapat managot ang mismong administrasyong Aquino sa masaker sa Silverio Compound	why does Aquino administration be held responsible for the massacre in Silverio Compound?
<35>	Hindi warning shots na ibinabaril sa ere o sa itaas: Nakaumang sa mga residenteng namamato.	not warning shots that were aimed at the air or upward: it was aimed at the residents who were throwing rocks.
<36>	Di hamak na mas malapit sila sa mga residenteng namamato, kumpara sa mga bahay na maaaring pinagtaguan ng mga “inflitrator” kuno.	they were far closer to the residents who were throwing rocks, compared to the houses that may have been the hiding place of the believed "infiltrator".
<37>	Mga miyembro ng pulisya, na kadalasan nang armado tuwing may demolisyon sa mga komunidad ng mga maralita.	members of the police, usually armed every demolition in the community of indigent.
<38>	Kuha sa EDSA, North Triangle noong Nob. 2010. (KR Guda/PW File Photo)	captured in EDS, North Triangle last November 2010. (KR Guda/ PW file photo)
<39>	At mahusay sa pamamaril at pag-asinta ang mga SWAT na ito: Tandaang sapul nila sa sintido rin ang hostage-taker na si Rolando Mendoza (na pulis din!) sa madugong ending ng hostage-taking sa Quirino Grandstand noong Agosto 2010 (‘Yun nga lang, pati ang maraming hostages, patay din.).	and these SWATs are good in shooting and aiming: remember that they shot the hostage-taker, Rolando Mendoza (also a police!), in the temple during the end of the hostage-taking in Quirino Grandstand last August 2010 ('that's just it, even the hostages were killed).
<40>	Matapos ang madugong insidenteng ito, iniulat pa sa midya na nagsagawa ng retraining ang buong SWAT ng PNP.	after the bloody incident, it was reported to the media that they conducted a retraining for the entire SWAT and PNP.
<41>	Isang mataasna kalibre ng riple na ginamit ng SWAT sa pagsalakay sa mga sibilyang tutol sa demolisyon sa Brgy.	one high caliber of rifle was used by SWAT in attacking the civilians opposed to the demolition of barangay.
<42>	Corazon de Jesus, San Juan noong Enero 2012.	Corazon de Jesus, San Juan last January 2012
<43>	(KR Guda/PW File Photo)	(KR Guda/PW file photo)
<44>	Kabilang sa pinakamahuhusay na miyembro ng SWAT ang Special Action Force ng PNP, na regular na sinasanay ng iba’t ibang dayuhang eksperto, pero pangunahin ang Federal Bureau of Investigation (FBI) at ang US Armed Forces.	one of the most skillful members of SWAT is the Special Action Force of PNP, which is regularly trained by different experts, but primarily, Federal Bureau of Investigation (FBI) and US Armed Forces.
<45>	Sinanay sila sa urban warfare, kabilang na ang pakikipaglaban sa crisis situations na katulad ng naganap sa Silverio Compound.	they are trained in urban warfare, including combat in crisis situations like what happened in Silverio Compound.
<46>	Armado sila ng modified o updated na bersiyon ng M16 at iba pang moderno at matataas na kalibre ng baril.	they are armed with modified or updated version of M16 and other modern and high quality caliber of gun.
<47>	(May maikling amateur video sa YouTube ang isang Amerikanong opisyal hinggil sa pagsasanay sa SWAT Team sa Pilipinas.)	(an American official has an amateur video of SWAT Team training in the Philippines on YouTube)
<48>	Hindi lamang usapin ito ng command responsibility.	this is not just a discussion of command responsibility.
<49>	May direktang pananagutan ang administrasyong Aquino sa paggamit ng dahas sa mga sibilyang tumututol sa demolisyon.	Aquino administration has direct responsibility for using violence on civilians opposed to the demolition.
<50>	Kinalinga ng administrasyong ito ang patuloy na pagsasanay at pag-aarmas sa malulupit at brutal na mga yunit ng militar at pulisya na may masasamang rekord ng paglabag sa karapatang pantao.	the administration took care of the continuous training and arming of military and police, with bad records of violating human rights, in extreme and brutal units
<51>	Kasalukuyang nagaganap ang ehersisyong militar na Balikatan, hindi lang sa Palawan, kundi sa iba’t ibang bahagi ng bansa: Malinaw na abala ang mga kalahok dito sa pagpapahasa sa kasanayan nila sa paglaban sa mga itinuturing nitong kaaway ng estado.	the exercise of Balikatan military is currently ongoing, not just in Palawan but also in other countries: it's clear that the participants of the skill-training in combat is busy with their training how to fight the treated enemies of the state.
<52>	Samantala, kahit nakasuhan na, ni hindi nito maaresto ang isa sa pinakabrutal na tagapaglabag sa karapatang pantao, si Heneral Jovito Palparan Jr.	meanwhile, regardless of being filed with a case, they can't arrest the most brutal violator of human rights, General Jovito Palparan Junior.
<53>	Pana-panahong kalahok ang mga SWAT at SAF units sa mga operasyong kontra-insurhensiya, na mas madalas kaysa hindi na dumudulo sa mga abuso sa mga sibilyan.	SWAT and SAF units are from time to time participants of operation counterinsurgency, which is more frequent than the unending abuse of civilians.
<54>	Kahit ang mga pulis na may pananagutan sa palpak na resolusyon sa hostage-taking sa Quirino Grandstand, hindi naparusahan.	even the police who were responsible of the unsuccessful resolution to the hostage-taking in Quirino Grandstand, were not punished.
<55>	Masdan ang mga bidyo at larawan ng miyembro ng SWAT na nag-aasinta ng mga sibilyan sa Silverio Compound: Wala siyang takot, alam niyang hindi siya pagpapanagutin.	observe the video and photo of the member of SWAT shooting civilians in Silverio Compound: he wasn't scared, he knew he won't be held responsible.
<56>	Sa ilalim ng administrasyong Aquino, standard operating procedure na lamang ang pamamaril sa mga sibilyan.	under the administration of Aquino, shooting civilians has been a standard operating procedure.
