<1>	(0.000-1.927)	<no-speech>	<no-speech>
<13>	(86.400-97.540)	<sta> ipinagmamalaki si P_F_C Testado <sta> ng kaniyang kapatid na sundalo at ng kaniyang ama na dati ring nanilbihan bilang miyembro ng sandatahang lakas .	his soldier brothers and his father who also previously served as a member of the armed forces are proud of P_F_C Testado .
<14>	(97.540-99.087)	<sta> proud ako sa kaniya ma'am .	I am proud of him ma'am .
<15>	(99.087-100.175)	<no-speech>	<no-speech>
<16>	(100.175-107.048)	<lipsmack> kahit wala na siya ma'am <no-speech> nandito pa rin siya sa -- nandito pa rin siya sa <lipsmack> sa amin <sta> ma'am .	even though he is gone ma'am he is still here in -- he is still here in in us ma'am .
<17>	(107.048-110.385)	parang hindi ko matanggap kasi anak ko 'yan .	it seems like I can't accept it because he is my child .
<18>	(110.385-113.560)	mahal na mahal ko ang mga anak ko <breath> .	I love my children so much .
<19>	(113.560-129.370)	<sta> ayon kay Lieutenant Colonel Ronnie Babac nagkaengkuwentro ang mga sundalo at A_F_P noong November five <sta> nang naglunsad ng operasyon ang militar matapos i-harass ng N_P_A ang mga military engineer na nagtatayo ng mga eskuwelahan doon .	according to Lieutenant Colonel Ronnie Babac the soldiers and the A_F_P clashed last November five when the military launched an operation after the N_P_A harassed the military engineers who were building schools at that time .
<20>	(129.370-138.703)	<sta> oo it all -- it all started nitong <cough> November one 'no <foreign> engineers 'di <hes> <no-speech> <sta> tatak sa <hes> mga members ng New People's Army dito sa Baranggay Akbal .	yes it all -- it all started this November one %%<foreign> engineers not labeled to the members of the New People's Army here in Barrio Akbal .
<21>	(138.703-147.963)	so as the result of the <hes> <sta> harassment or the attack sa ating mga military engineers na <foreign> <breath> eskuwelahan <sta> <foreign> ni <hes> Congressman Pacquiao .	so as the result of the harassment or the attack to our military engineers that <foreign> school <foreign> of Congressman Pacquiao .
<22>	(147.963-164.114)	<foreign> and then <foreign> <sta> <foreign> sa area <foreign> <sta> <foreign> <sta> <foreign> .	<foreign> and then <foreign> in area <foreign> .
<23>	(164.114-173.090)	umatras umano ang mga N_P_A <sta> kaya't nilusob ng mga sundalo ang kampo pero biglang sumabog ang dalawang land mine .	the N_P_A backed out so the soldiers attacked the camp but suddenly two landmines exploded .
<24>	(173.090-194.100)	<sta> then <hes> while they were already in Sitio Lamsalo in <hes> Baranggay Upper Suyan <sta> naka-receive sila ng ano report dito sa mga residente sa Upper -- sa Lamsalo (()) <sta> (()) land mine 'no <foreign> <no-speech> so <hes> <foreign> <sta> of course ma-safe ang mga residente dito .	then while they were already in site Lamsalo in Barangay Upper Suyan they received a um report here from the residents of the upper -- in Lamsalo (()) landmine <foreign> so <foreign> of course keep the residents here safe .
<25>	(194.100-206.610)	so <sta> <foreign> <sta> nitong Sabado ng umaga nagpadala ng reinforcement ang militar para saklolohan ang mga nasugatan sa pagsabog .	<foreign> this Saturday morning the military sent reinforcement to rescue the injured from the explosion .
<26>	(206.610-214.460)	<sta> pero dahil sa malakas na hangin bumagsak ang chopper at nasugatan ang walo sa siyam na sundalong sakay ng chopper .	but because of the strong wind the chopper collapsed and eight out of nine soldiers who were in the chopper were injured .
<27>	(214.460-222.220)	<sta> ayon sa commander ng ten O second infantry brigade <sta> stable na ang kondisyon ng mga sundalo ngayon .	according to the commander of ten O second infantry brigade the condition of the soldiers is stable now .
<28>	(222.220-230.186)	<sta> so going down <foreign> <sta> which is the only available sa tropa .	going down <foreign> which is the only available in the troop .
<29>	(230.186-235.320)	<sta> ang <foreign> na hangin .	the <foreign> wind .
<30>	(235.320-237.246)	nag-roll (()) .	it rolled (()) .
<31>	(237.246-250.860)	dahil sa pagbagsak ng chopper <sta> naantala ang retrieval operation sa namatay at nasugatang mga sundalo kaya nitong Linggo na ng hapon <sta> naiuwi sa GenSan si P_F_C Testado at mga kasamahan .	because of the collapse of chopper the retrieval operation for the killed and injured soldiers was delayed hence it was only this Sunday afternoon that P_F_C Testado and companions came home to GenSan .
<32>	(250.860-257.659)	<sta> patuloy naman ang pagtugis ngayon ng militar sa Guerilla Front seventy one sa kabundukan ng Malapatan .	the search of the military for the Guerilla Front seventy one is ongoing in the mountains of Malapatan .
<33>	(257.659-259.389)	Chai Tabunaway ~ %incomplete	Chai Tabunaway %incomplete
