<1>	(0.000-8.523)	merong ano rito no huh -- mayroon tayong <hes> 'yung A_B_C huh .	there is what here no huh -- we have that A_B_C huh .
<21>	(113.390-137.704)	itong four o'clock habit na ito hindi ba ano huh <hes> sana <no-speech> tayo lahat po huh ang magagawa lang natin para matulungan natin ang sarili natin at saka 'yung ka- -- kasama po natin sa buhay is to control dengue through prevention .	this four o'clock habit isn't it huh I hope all we can do to help ourselves and our -- our companions in our lives is to control the dengue through prevention .
<22>	(137.704-138.585)	yes doc .	yes doctor .
<23>	(138.585-144.572)	ito pong prevention na ito na-mention nga ni Jess 'yung kiti-kiti .	this prevention Jess mentioned the mosquito larva .
<24>	(144.572-145.655)	kiti-kiti .	mosquito larva .
<25>	(145.655-152.630)	'yung pong kiti-kiti na 'yun nasa ano 'yun eh ang dami eh sa mga -- mga old tires .	the mosquito larva in the there's plenty in the -- old tires .
<26>	(152.630-153.526)	nasa lata .	in can .
<27>	(153.526-154.878)	sa mga lata .	in cans .
<28>	(154.878-155.334)	mga bote na may tubig .	bottles with water .
<29>	(155.334-156.181)	sa mga bote .	in bottles .
<30>	(156.181-156.865)	sa gutter .	in the gutter .
<31>	(156.865-157.630)	oo .	yes .
<32>	(157.630-161.489)	at saka po 'yan 'yung kiti-kiti pong 'yun alam mo nama- -- alam mo naman po 'yung kiti-kiti .	and also those mosquito larva you know -- you know the mosquito larva .
<33>	(161.489-167.798)	'yun pong kiti-kiting 'yun kapag na -- nando'n po sa isang <hes> tubig malinis pa 'yung tubig na gusto nila ano huh .	that mosquito larva if -- in one they even want the clean water .
<34>	(167.798-170.271)	opo stagnant -- clear and -- oo <overlap> stagnant water .	yes stagnant -- clear and -- yes stagnant water .
<35>	(170.271-172.732)	in seven days -- seven days lang po .	in seven days -- just seven days .
<36>	(172.732-178.013)	in seven days mosquito na po 'yun <no-speech> huh .	in seven days that will be a mosquito .
<37>	(178.013-178.530)	tama doc .	correct doctor .
<38>	(178.530-180.306)	kaniya dahan-dahan po tayo riyan .	hence let's take it slow .
<39>	(180.306-187.444)	kapag nakita na po ninyo sa paligiran po ninyo mayroon na po kayong <hes> nakikita do'n tapon na po ninyo lahat 'yun .	if you can see it in your surroundings you already see it there throw all of it away .
<40>	(187.444-188.890)	huh .	huh .
<41>	(188.890-199.320)	para naman eh 'yung lahat ng mga kaibigan po nating iyon eh hindi sila well 'yung kiti-kiti po hindi sila maging mosquito .	so that all of our friends they won't well the mosquito larva won't turn to mosquito .
<42>	(199.320-199.644)	huh .	huh .
<43>	(199.644-200.577)	ito po 'yun doc .	this is it doctor .
<44>	(200.577-201.149)	oo .	yes .
<45>	(201.149-204.670)	ito pong <hes> four o'clock habit na ito eh sa %incomplete	this four o'clock habit %incomplete
<46>	(204.670-217.250)	ang sabi nga ninyo kanina 'yung sa sa siyudad natin <hes> sa dengue control mayroon kayong tinatawag na prevention program .	you said earlier in our city for dengue control you have what we call prevention program .
<47>	(217.250-229.716)	ito bang prevention program na ito eh other than 'yung pumupunta kayo riyan kung ano pa 'yung ginagawa natin sa lectures lectures diyan ito bang four o'clock habit na ito talagang <no-speech> pinu-push ninyo ?	this prevention program other than going there and other things we do in lectures lectures there do you really push for this four o'clock habit ?
<48>	(229.716-230.866)	yes doc .	yes doctor .
<49>	(230.866-233.560)	oh how ?	oh how ?
<50>	(233.560-252.440)	papa'no ninyo -- anong ginagawa ninyo para 'yung mga kaibigan natin do'n eh gagawin 'yung four o'clock habit na at four o'clock 'yun gustong sabihin na four o'clock habit at four o'clock lahat tayo sana all over huh linisin natin ang paligiran natin for thirty minutes .	how do you -- what do you do so that our friends will do the four o'clock habit that is and that at four o'clock you want to say four o'clock habit and at four o'clock hopefully all of us will clean our surroundings all over for thirty minutes .
<51>	(252.440-253.846)	'yan ang gusto ng government eh .	that's what the government wants .
<52>	(253.846-255.440)	matagal na po ito eh .	this is long overdue .
<53>	(255.440-260.470)	so it's time for us now to work as one no ?	so it's time for us now to work as one right ?
<54>	(260.470-274.000)	eh eh eh sa -- dito po sa sa programa natin ngayong ang espe- -- ang special po diyan 'yung <hes> mga inspector kamukha ni Jess .	in -- here in our program now what's -- what's special there is the inspector looks like Jess .
<55>	(274.000-275.145)	so how do you do that ?	so how do you do that ?
<56>	(275.145-284.000)	actually doc through coordination lang po 'yan sa mga barangay officials kagaya po ng nabanggit ko kanina bawat barangay po kasi mayroon silang tinatawag na health committee .	actually doctor only through coordination with village officials like what I mentioned earlier each village they have what they call health committee .
<57>	(284.000-288.070)	sila po 'yung nag-a-assist sa amin na ipa-implement po itong programang ito .	they assist us to implement this program .
<58>	(288.070-295.437)	so nakikipag- -- <hes> coordinate kami sa kanila humihingi kami ng meeting sa kanila and through wi- -- through them na-i-implement natin itong four o'clock habit na ito .	so we coordinate with them we ask for meetings with them and through -- through them we implement this four o'clock habit .
<59>	(295.437-306.001)	sila naman ang lumalakad ngayon sa mga community sa mga tao sila 'yung nagbibigay ng ano ini-inform nila na ganitong four o'clock na maglilinis tayo magkasa- -- sabay-sabay nating lilini- -- linisin ang bakuran natin .	now they are the ones walking at the community to the people they are the ones giving something they inform that by four o'clock we will clean -- simultaneously we -- we will clean our backyards .
<60>	(306.001-307.730)	sila po 'yung tumutulong sa amin doc .	they are the ones helping us doc .
<61>	(307.730-311.800)	so sa pag ganitong paraan napa-implement natin 'yung ating programa .	so in this way we were able to implement our program .
<62>	(311.800-315.335)	sabi mo kanina Jess matagal ka na rito no huh .	Jess you were saying that you have been here long huh .
<63>	(315.335-315.771)	yes doc .	yes doc .
<64>	(315.771-323.198)	oh sino kaya 'yung mga kaibigan mo do'n na you can say pare <hes> nandito ako eh let's do more .	oh who may be your friends there whom you can say dude I am here let's do more .
<65>	(323.198-325.640)	<hes> sino <hes> -- can you mention some of the names ?	who -- can you mention some of the names ?
<66>	(325.640-333.583)	bale doc sa -- sa Pandan 'yung barangay kapitan diyan <hes> kaibigan natin at saka 'yun -- 'yung dating barangay kapitan diyan si 'tang Jerry Alejandrino .	well doc in -- in Pandan the barangay captain there is our friend and also the -- the previous barangay captain there is uncle Jerry Alejandrino .
<67>	(333.583-334.331)	anong pangalan ?	what name ?
<68>	(334.331-336.237)	Jerry Alejandrino kaibigan po natin 'yan .	Jerry Alejandrino he is our friend .
<69>	(336.237-337.700)	oh sino pa 'yung mga iba ?	oh who else are the others ?
<70>	(337.700-343.525)	dito po sa -- sa Marisor si Badong naman ngayon pero 'yung dating kapitan diyan 'yung namatay si %incomplete	here at -- at Marisor is Badong right now but the previous captain there who died is %incomplete
<71>	(343.525-348.798)	oy ano (()) <laugh> <laugh> namatay na po 'yung dating kapitan diyan .	hey what (()) already dead was the previous captain there .
<72>	(348.798-353.920)	actually doc 'yung mga ibang kapitan diyan eh nagtatrabaho na rin ho ngayon sa City Hall eh .	actually doc the other captains there uh because also working too now at city hall .
<73>	(353.920-357.416)	kapitan Dizon kapitan Yangga .	captain Dizon captain Yangga .
<74>	(357.416-359.273)	'yan mga kaibigan po natin 'yan eh .	because those are our friends .
<75>	(359.273-375.272)	oo eh kaniya ko tinanong si Jess kung sino sila kasi sila 'yung mga heroes natin eh sila ang mga heroes natin na tumutulong para naman eh ah naku mahirap po 'yung dengue talaga .	well yes that is why I asked Jess if who those people are because they are our heroes they are our heroes who are helping uh gosh dengue is a really hard one .
<76>	(375.272-382.699)	so these are the people that we salute them as the heroes in helping us in the control and prevention of dengue .	so these are the people that we salute them as the heroes in helping us in the control and prevention of dengue .
<77>	(382.699-383.572)	<no-speech>	<no-speech>
<78>	(383.572-388.202)	ikaw naman sino naman ang mga heroes mo diyan sa -- sa mga kasama mo ?	how about you who are your heroes there among -- among your companions ?
<79>	(388.202-411.460)	ang mga heroes ko po no sa -- sa mga kasama ko po <hes> -- pinamumunuan po ng aming City Health Officer na si doctor Leni Santos na siya po 'yung <hes> nag-pu-push po sa amin sa programa namin ukol sa dengue po no 'yung mga kasamahan po naming midwife na talaga pong <hes> pudpod na po sa -- sa kakasabi ng mga dengue prevention sa bawat barangay po no .	my heroes among -- among my companions -- led by our city health officer doctor Leni Santos who is the one pushing us our program about dengue our colleagues who are midwives who are really worn out in -- in repeatedly saying the dengue prevention in every barangay .
<80>	(411.460-421.188)	sila po kasi <hes> on hand na nag-le-lecture lalo na po 'pag mothers class no sa mga -- sa mga magulang dini-discuss po nila 'yung tungkol sa mga dengue awareness natin .	as per them they provide on hand lectures especially for the mothers class -- for the parents they discuss about our dengue awareness .
<81>	(421.188-429.334)	at saka sa mga (()) natin sa mga nurses 'yan po 'yung sa tingin ko heroes po natin sa sa dengue <hes> prevention po natin .	and also for (()) our nurses in my opinion they are our heroes when it comes to our dengue prevention .
<82>	(429.334-431.710)	sino 'yung kaibigan mong nurse do'n that you can mention ?	who's your nurse friend there that you can mention ?
<83>	(431.710-433.179)	<hes> ma'am Tess Peralta po .	Ma'am Tess Peralta .
<84>	(433.179-436.019)	ayan -- ayun -- ayun <overlap> siya po 'yung nurse ko do'n .	there -- there -- there she's my nurse there .
<85>	(436.019-448.599)	oh sige now <hes> it's almost the end of our <hes> <hes> dengue fever inter- -- ano <hes> interview sa inyong dalawa .	okay now it's almost the end of the hour dengue fever interview for the two of you .
<86>	(448.599-454.550)	now <hes> it's time for your now on your parting words .	now it's time now for your parting words .
<87>	(454.550-456.768)	let us start from <hes> Joy here .	let us start from Joy here .
<88>	(456.768-461.480)	'yung parting words mo sa mga listeners natin on What's up doc ?	your parting words for our listeners here in What's up Doc ?
<89>	(461.480-470.359)	<hes> even po <hes> our gove- -- government has done their part no 'yun nga po narinig n'yo naman po 'yung ginagawa ng ating mga sanitary inspectors .	even our government has done their part and you've heard what our sanitary inspectors are doing .
<90>	(470.359-487.740)	kami po sa City Health no mas maganda pa rin po talaga na lahat po tayo sama-sama tulong-tulong na <hes> magtatrabaho maglilinis po at four o'clock po ng <hes> four o'clock P_M at ng thirty minutes sa ating mga bahay para po maiwasan po natin 'yung dengue .	us in City Health thinks it is really good that we come together and help each other to work in cleaning at four o'clock P_M and thirty minutes in our houses to prevent dengue .
<91>	(487.740-490.407)	well thank you very much Joy .	well thank you very much Joy .
<92>	(490.407-493.330)	what about <hes> Jesser ?	what about Jesser ?
<93>	(493.330-506.368)	<hes> gusto ko lang po bigyan ng diin <hes> sa mga nanonood po natin ang prevention po walang gastos kaya dito po sa prevention su- -- gawin na natin kung ano po 'yung nararapat .	I just want to emphasize to our viewers that prevention has no cost that is why in prevention -- let us do what is needed .
<94>	(506.368-507.925)	napakadali lang po nito eh .	this is very easy .
<95>	(507.925-513.088)	actually kapag naging parte na po ng sistema natin 'to magiging mas madali para sa atin .	actually if this becomes part of our system it will become easier for us .
<96>	(513.088-515.216)	maglinis tayo po araw-araw tuwing alas-kuwatro .	let us clean daily every four o'clock .
<97>	(515.216-519.780)	kapag naging parte ng sistema natin 'yan tuloy-tuloy na po 'yan wala pong kahirap-hirap .	when this becomes part of our system it will happen eventually with no effort .
<98>	(519.780-521.933)	sabi ko nga ang prevention walang gastos .	as I said prevention has no cost .
<99>	(521.933-524.940)	'pag tinamaan kayo diyan na papasok ang gastos .	when you get infected that will be the time it will cost .
<100>	(524.940-525.830)	naku naman .	oh my .
<101>	(525.830-528.500)	ang ganda naman ang galing mo naman ah .	it's beautiful you're amazing .
<102>	(528.500-529.469)	oo .	yes .
<103>	(529.469-533.606)	well <hes> narinig po ninyo silang dalawa .	well you've heard them both .
<104>	(533.606-541.111)	<hes> si doktora at saka 'yung <hes> makisig na sanitary inspector natin si <hes> Jess .	our female doctor and our handsome sanitary inspector Jess .
<105>	(541.111-557.240)	<hes> ang dami ko pang natutunan sa kanila na <no-speech> ang gobyerno pala natin eh <hes> is doing so much in this control and prevention of dengue .	I have learned so much from them and that our government is doing so much in this control and prevention of dengue .
<106>	(557.240-561.000)	kasi po alam natin there's no specific treatment po no .	it's because we know that there is no specific treatment right .
<107>	(561.000-566.494)	kaniya magpasalamat po tayo -- magpasalamat po tayo sa kanila huh .	that is why we should thank them -- let us thank them .
<108>	(566.494-589.151)	sa -- sa opisina nila Angeles City Health Office <hes> kapag po na ma- -- nakikita -- makita po ninyo eh at least <hes> respect them in what they are doing ngayon nakita ko po sila na ang dami pala nilang ginagawa para sa atin especially on dengue .	in -- in their office in Angeles City Health Office when -- you see -- see them respect them in what they are doing now that I see that they are doing so many things for us especially on dengue .
<109>	(589.151-592.510)	ang sa kanila po eh they work only on dengue .	as for them they only work on dengue .
<110>	(592.510-597.090)	kani- -- kina- -- kanina tinatanong ko oh tuberculosis ba malaria ?	-- earlier I asked if tuberculosis or malaria ?
<111>	(597.090-597.740)	no -- no -- no .	no -- no -- no .
<112>	(597.740-599.710)	they are just concentrating on dengue .	they are just concentrating on dengue .
<113>	(599.710-614.830)	si -- sila po -- pero madami pa po silang ibang %incomplete <hes> pero <hes> marami kayong ginagawa sa dengue <hes> kasi <hes> 'yung mga ibang <hes> mga diseases naman eh there is a specific treatment .	they -- they --but they have also other %incomplete but you are doing so much on dengue because other diseases have specific treatment .
<114>	(614.830-619.650)	kung ano pa mas madali pero itong dengue na ito eh wala eh .	those are easy but this dengue have none .
<115>	(619.650-625.731)	kaniya kapag nagkaroon ka ng <hes> dengue fever hindi mo alam kung <hes> anong mangyayari sa iyo .	that is why when you get dengue fever you don't know what will happen to you .
<116>	(625.731-639.160)	kaniya magtulong -- tulungan po tayo at <hes> 'yung mga sinasabi nga nila 'yung S -- S -- 'yang four S 'yung A -- A_B_C nila at saka 'yung four o'clock habit .	that is why let us help each other and do the S -- S -- that four S their A -- A_B_C and also the four o'clock habit that they mentioned .
<117>	(639.160-653.642)	with that po <hes> huwag ninyong kalimutan na we will work hand in hand with each other to prevent and control dengue fever in multiplying all over the country .	with that don't forget that we will work hand in hand with each other to prevent and control dengue fever in multiplying all over the country .
<118>	(653.642-655.676)	'yung lang po with ~ %incomplete	that is all with %incomplete
