<1>	Hindi Magagapi ang Diwang Rebolusyonaryo ng Mamamayan ng Sorsogon!	the revolutionary spirit of the citizens of Sorsogon will never be defeated!
<12>	Pinakamataas na pagpupugay ang iginagawad ng Celso Minguez Command kay Ka Gerald (Pinky Boticario), isang kababaihang magsasaka mula sa parehong barangay.	a highest honor bestowed by the Celso Minguez Command to Ka Gerald (Pinky Boticario), a woman farmer from the said barangay.
<13>	Matatag niyang hinarap ang umaatakeng mga sundalong bulag na sumusunod sa utos ng mga uring mapang-api at mapagsamantala na salubungin ng karahasan ang mamamayang naghahangad ng tunay na kalayaan at demokrasya.	she firmly faced the attacking soldiers who are blindingly following the commands of the class of abusers and exploiters who meet with violence the citizen aspiring for authentic freedom and democracy.
<14>	Alas-4:30 naman ng hapon, pinasabugan ng command-detonated explosive ng isang tim ng mga pulang mandirigma ang sasakyan ng 508th PNP Public Safety Management Battalion na karagdagang pwersang aatake sa hukbong bayan.	4:30 in the afternoon, a team of red warriors exploded a command-detonated explosive to the vehicle of the 508th PNP Public Safety Management Battalion which is an additional force attacking the people's army.
<15>	Isinagawa ang operasyong demolisyon sa kahabaan ng Maharlika Hi-way sa Brgy Ponong, Casiguran.	the demolition operation was done in the length of Maharlika Hi-way in Brgy. Ponong, Casiguran.
<16>	Marami ang sugatan sa tropa ng kaaway.	many are wounded in the troops of the enemy.
<17>	Samantala, ligtas na naka-atras ang mga kasama.	meanwhile, our colleagues were able to safely retreat.
<18>	Inilalantad ni Col.	revealed by Col.
<19>	Caquilala ang sarili na walang-alam sa mga prinsipyo ng pakikidigma.	Caquilala himself without knowledge on the principles of war.
<20>	Kailangang mabatid ng nasabing upisyal militar na bahagi ng estratehiya at taktika ng New People’s Army ang paglulunsad ng mga kakayaning taktikal na opensiba upang hakbang-hakbang na pahinain ang kaaway, habang unti-unti ring nag-iipon ng lakas ang hukbong bayan sa suporta ng mamamayan.	the said military official needs to realize that part of the strategy and tactics of the New People's Army is the launch of its doable tactical offenses to weaken the enemies step by step while the people's army are incrementally gathering strength with the support of the citizens.
<21>	Maliban pa sa pagpapahalaga ng New People’s Army sa dakilang ambag ng mga lider at kumander ng rebolusyonaryong kilusan, nananatiling pangunahing motibasyon ng mga kasama sa pagrerebolusyon ang buong-pusong paglilingkod sa mahihirap at inaapi nating kababayan.	aside from the giving of importance by the New People's Army in the great contribution of the leaders and commanders of the revolutionary movement, the wholehearted service to the poor and our abused fellowmen remains to be the primary motivation of our fellows in revolutionizing.
<22>	Hindi maunawaan ng mga pinuno ng AFP na ang pag-igting ng digmang bayan sa prubinsya ng Sorsogon ay nagpapatunay lamang ng ibayong paglala ng krisis.	the leaders of the AFP cannot understand that the intensified civil war in the province of Sorsogon is only proving the doubled aggravating crisis.
<23>	Ito ang nagtutulak sa dumaraming mamamayang Sorsoganon na buong loob na iabante ang kanilang armadong paglaban na siyang tanging kalutasan sa malubhang krisis at kawalang-katarungang kinalulugmukan ng lipunan.	this is pushing the increasing citizens of Sorsogon who are full of confidence to advance their armed fight which is the only solution to the severe crisis and injustices that the society is pressed down.
