<1>	(0.000-1.918)	sa nanonood magandang gabi po sa inyong lahat .	for those who are watching good evening to all of you .
<25>	(209.220-223.027)	<hes> nagkaengkuwentro po sila batid sa aming mga nakuhang reports at <hes> ito po ay <no-speech> lehitimong engkuwentro kaninang umaga na pinamunuan po ng mga units na aking nabanggit na nagmula po sa sixth marine battalion .	they had an encounter based on the reports we got this is a legitimate encounter earlier this morning led by the units I mentioned from the sixth marine battalion .
<26>	(223.027-233.640)	uhm hm at ngayon po as of this hour tama po ba walo na ang <hes> patay on the side po ba 'yon ng mga nakasagupa ng mga marine ?	uhm hm and now as of this hour is it right that already eight died is it on the side of the encounter of marine ?
<27>	(233.640-234.119)	opo .	yes .
<28>	(234.119-242.540)	ito po ay <hes> bilang ng mga na-recover nilang bangkay sa area ng sagupaan doon sa lugar po diyan .	is this the number of those recovered corpses in the area of encounter there in the place there .
<29>	(242.540-246.895)	at lahat po ito ay labi ng mga kalabang naengkuwentro nila .	and all of these are remains of the enemies they had encountered .
<30>	(246.895-249.580)	wala pong nasaktan sa ating mga tropa .	nobody was hurt in our troops .
<31>	(249.580-256.387)	uhm hm mayroon daw pong Indonesian na kasama yung <hes> grupo ng mga nakasagupa ng marine .	uhm hm has there been an Indonesian with the group encountered by the marines .
<32>	(256.387-257.866)	this is not the first time .	this is not the first time .
<33>	(257.866-260.026)	correct me if I'm wrong <hes> colonel Padilla .	correct me if I'm wrong Colonel Padilla .
<34>	(260.026-266.812)	this is not the first time na may na- -- nabalitaan po tayo na involved na mga dayuhan sa ganito pong mga operasyon .	this is not the first time that there is -- we have heard a news of foreigners involved in these operations .
<35>	(266.812-268.124)	<no-speech>	<no-speech>
<36>	(268.124-269.720)	<no-speech>	<no-speech>
<37>	(269.720-280.957)	totoo po 'yan pero 'yon po sinasabi n'yo pong <hes> identity na Indonesian na- -- na- -- na isa sa mga na labi -- labi na na-recover natin ay subject pa rin po sa beripikasyon .	that is true but the one you are saying Indonesian identity that -- that -- one of the remains -- remains that we recovered is a subject for verification .
<38>	(280.957-291.130)	hindi pa po natin lubos na natutukoy ang personality o identity ng mga tao na 'yan kanya't 'yon nga po ipag- -- <hes> paumanhin n'yo na po .	we have not fully identified the personality or identity of those people so as I have said -- apologies .
<39>	(291.130-298.970)	sa oras ho na nakuha na natin ang tunay na identity nila ipagbibigay alam po 'yan mismo ng ating western Mindanao command .	by the time we have gotten their real identity our Western Mindanao Command itself is going to inform us .
<40>	(298.970-306.971)	uhm hm so sa ngayon <hes> ano po ang significance na nakikita n'yo dito po sa nangyaring ito diyan sa Sultan Kudarat ?	uhm hm so for now what is the significance that you have seen here in what happened there in Sultan Kudarat ?
<41>	(306.971-319.120)	what -- what insights or <hes> revelations <hes> na -- na nakuha po ng armed forces in terms of <hes> information o intelligence gathering dito po sa nangyari ngayon ?	what -- what insights or revelations that the Armed Forces have -- gathered in terms of information or intelligence gathering here in the incident now ?
<42>	(319.120-333.390)	<no-speech> <hes> it's too early to tell <hes> sa puntong ito <hes> ma'am Jessica kung ano pa 'yong <hes> totality at connection ng mga grupong ito sa sinasabi nating mga grupo na napangalanan n'yo na .	it's too early to tell at this point ma'am Jessica what could still be totally and connection of this group with the said groups that you already mentioned .
<43>	(333.390-353.494)	pero pag natapos po lahat 'yan na matukoy ang tunay na personality o identity ng mga labi na na-recover sa field doon pa lang natin lubos na makikil- -- malalaman at makikilala ang mga ugnayan ng <hes> grupo na binabantayan natin at yung mas malalaking grupo na kilala na natin .	but if everything is finished when the real personality or identity of the corpses recovered in the field are identified and that is when we can completely -- learn and identify the connection of the group we are guarding and the larger groups that we know .
<44>	(353.494-359.298)	so until such time po <hes> hindi pa po tayo makapagbigay ng final assessment .	so until such time we will not be able to give a final assessment .
<45>	(359.298-380.200)	so siguro po mas maganda hintayan po natin sa magiging report ng ating <hes> bagong commander po diyan sa western Mindanao command na si general <hes> Mayoralgo Dela Cruz at ang kaniyang mga tropa po sa six_I_D na pinamunuan naman po ni general Pangilinan at saka sa first marine brigade na under po kay general Salamat .	so perhaps it is better for us to wait for what will be the report our new commander there at the Western Mindanao Command who is General Mayoralgo Dela Cruz and his troops in the sixth I_D led by General Pangilinan and also the first marine brigade under General Salamat .
<46>	(380.200-388.244)	okay tamang-tama nasa kabilang linya ho namin ng <hes> telepono si <hes> general Dela Cruz ka- -- kaya magpapasalamat na po kami sa inyo .	okay just in time on the other line of our telephone is General Dela Cruz -- so we are going to thank you .
<47>	(388.244-393.040)	colonel Restituto Padilla spokesperson ng Armed Forces of the Philippines .	Colonel Restituto Padilla spokesperson of the Armed Forces of the Philippines .
<48>	(393.040-397.689)	maraming salamat po at <hes> maganda po na nandiyan na po si general Dela Cruz .	thank you very much and it is better that General Dela Cruz is already there .
<49>	(397.689-398.124)	okay .	okay .
<50>	(398.124-411.291)	para nga po sa <sta> karagdagang impormasyon tungkol sa nangyaring engkuwentro sa Sultan Kudarat nasa linya ngayon ng telepono si major general Mayoralgo Dela Cruz <sta> hepe ng western Mindanao command .	for additional information about the encounter that happened at Sultan Kudarat on the phone right now is Major General Mayoralgo Dela Cruz Chief of Western Mindanao Command .
<51>	(411.291-413.579)	<sta> magandang gabi po general Dela Cruz .	good evening General Dela Cruz .
<52>	(413.579-417.300)	<no-speech>	<no-speech>
<53>	(417.300-419.400)	magandang gabi din po sa inyo .	good evening to you too .
<54>	(419.400-419.958)	oho .	yes .
<55>	(419.958-438.151)	general kasi hindi ho makumpirma ng <hes> tagapagsalita ng armed forces si colonel <hes> Padilla kung <hes> kung ito pong <hes> grupo na nakasagupa ng mga marines sa Sultan Kudarat ay <hes> allied or supporter po ng <hes> <int> international terrorist group na Isis o ISIL ?	general it's because the spokesperson of the Armed Forces Colonel Padilla cannot confirm if if this group encountered by the marines in Sultan Kudarat is allied with or is a supporter of the international terrorist group I_S_I_S or I_S_I_L ?
<56>	(438.151-440.110)	general ?	general ?
<57>	(440.110-442.407)	nawala ho yata si <sta> general Dela Cruz .	we seemed to have lost general Dela Cruz .
<58>	(442.407-445.220)	<sta> mamaya po susubukan natin siyang ibalik .	later we will try to get him back again .
<59>	(445.220-446.923)	<no-speech>	<no-speech>
