<1>	Rules of Engagement: Shoot or Hold?	rules of engagement: shoot or hold?
<22>	Dahil dyan, palagi naming ipinaalala ang aming responsibilidad na sundin ang ROE tuwing bakbakan.	because of this, we always remind our responsibility to follow the ROE every fight.
<23>	Halimbawa, sa aming live firing activities, ipinaalala namin na armadong kalaban lamang ang babarilin, kailan gagamitin ang machinegun, 90mm Recoilless Rifle, Mortar fire at lalo na ang artillery fires.	for example, in our live firing activities, we remind that we only shoot at our armed enemies, when to use the machine gun, 90mm recoilless rifle, mortar fire and especially the artillery fires.
<24>	Ang aming kaaway	our enemy
<25>	Kami ay nag-resupply noon sa Bgy Taglibi sa bayan ng Patikul nang kami ay nilapitan ng isang 'walk-in' informant kasama ang isang opisyal ng baranggay tungkol sa mga Abu Sayyaf na nagtatago diumano sa bahayan mga tatlong kilometro lamang mula sa aking kinaroroonan.	we were resupplying in Barangay Taglibi in the town of Patikul when we were approached by a 'walk-in' informant together with a barangay official about members of the Abu Sayyaf allegedly hiding in the community about only three kilometers from where I was.
<26>	"Sel, awun Abu Sayyaf dain duun ha Taong!"	"Sel, awun Abu Sayyaf dain duun ha Taong!"
<27>	(Sir, merong Abu Sayyaf doon sa Taong!)	(Sir, there are Abu Sayyaf in Taong!)
<28>	Inusisa ko ang kanyang report at pinagawa ko sya ng sketch ng lugar.	I interrogated his report and I asked him to sketch the place.
<29>	Sabi nya, nasa 40-50 ang armadong nakita nya na mga Abu Sayyaf.	he said he saw about 40-50 armed Abu Sayyaf.
<30>	Nang kinumpara at inaral ko ito sa mapa, nakita ko na ito ay malapit sa dalampasigan.	when I confirmed and studied it on the map, I saw that it is near the seashore.
<31>	Tiningnan ko rin ang mga grid coordinates ng 'recognized MNLF camps' at ang pinakamalapit ay nasa Bgy Buhanginan na mga 3-4 na kilometro lamang ang layo.	I also looked at the grid coordinates of 'recognized MNLF camps' and the nearest one is in Bgy Buhanginan which is only about 3-4 kilometers.
<32>	"Bagay, sigurado kaw?	"Bagay, are you sure?
<33>	Bunnal yan?"	"is that Bunnal?"
<34>	Hindi ako kumbinsido sa salita nya ngunit binigyan ko rin ng benefit of the doubt.	I was not convinced with what he said but I also gave him the benefit of the doubt.
<35>	Marami kasi ang possibilities kagaya ng paghahalo ng mga magkakamag-anak na Abu Sayyaf at mga ordinaryong sibilyan.	because there are many possibilities like when ordinary citizens mingle with Abu Sayyaf relatives.
<36>	Ika nga eh, "Blood is thicker than water."	as they say, "blood is thicker than water."
<37>	Naisip ko rin na baka naman ay ka-rido lang ng impormante ang armadong grupo at gagawin kaming kasangkapan na sila ay masagasaan ng mga Musang!	I also thought maybe the informant is in cahoots with the armed group and they will use us for the Musang to run over them!
<38>	Hmmm.	hmm.
<39>	Naranasan ko na ang style na iyon sa Basilan.	I experienced that tactic in Basilan.
<40>	Dahil hindi pa ako kumbinsido, minabuti kong gumawa ng recon plan at nang madagdagan ang aking kaalaman tungkol sa lugar.	because I am not yet convinced, I decided to make a recon plan to know more about the place.
<41>	Kuha ang larawan sa ginawa naming recon sa lugar na may nakitang mga armadong kalalakihan.	the picture was taken during the recon that we performed at the place where armed men were seen.
<42>	Nagsuot kami ng sibilyan pero nagbitbit pa rin kami ng armas.	we wore civilian clothes but we still brought weapons.
<43>	Doon ko nakita ang mas maliwanag na picture tungkol sa terrain conditions ng target area na hindi kalayuan sa maraming bahayan.	there I saw a clearer picture of the terrain conditions of the target area which was not far from many houses.
<44>	Nakita ko na ito ay malapit sa isang Masjid na mataguriang non-military target.	I saw that it is near a Masjid which is considered a non-military target.
<45>	Pagbalik sa kampo, binuo ko ang plano paano 'tirahin' ang target gamit ang SMESC na format.	when returned to camp, I formed a plan on how to 'hit' the target using the SMESC format.
<46>	Inatasan ako ng aming Bat Com na maging over-all Ground Commander at ang aking yunit ang Main Effort.	our Bat Com assigned me to be the over-all ground commander and my unit is the Main Effort.
<47>	Nagbigay ng tig-isang platoon ang 15th SRC, 12th SRC, 7th SRC at ang 1st SRC.	the 15th SRC, 12th SRC, 7th SRC at the 1st SRC gave a platoon each.
<48>	Pinaiwan bilang Reserve ang 14th SRC.	the 14th SRC was asked to stay as a reserve.
<49>	Mahigpit kong ipinaalala ang aming taktika laban sa 'pintakasi'.	I strictly reminded them about our tactic against the "pintakasi".
<50>	Simple ang aming plano na aking ipinaliwanag sa lahat ng mga unit leaders sa aming mission briefing.	I explained our simple plan to all unit leaders in our mission briefing.
<51>	Dapat malapitan namin ang mga armado sa kanilang pinagtataguan at bubulagain namin sila mula sa dilim.	we should get close to the hiding place of the armed group and attack them from the dark.
<52>	As much as possible, hindi namin paputukan kung hindi lalaban.	as much as possible, we will not fire at them if they will not fight.
<53>	Dapat maabutan namin silang walang hawak na baril.	we should get to them unarmed.
<54>	Ang aktong lalaban lamang ang putukan.	only those who will act to fight will be fired at.
<55>	Paano iyon?	how to do it?
<56>	Easy ba?	is that easy?
<57>	Basa pa more.	read more.
<58>	'Gapang Musang, gapang!'	crawl Musang, crawl!
<59>	Pagkatapos ng final inspection ng kagamitan, inipon ko ang aking tropa para sa aming tradisyon na magdasal ng aming combat prayer.	after the final inspection of the equipment, as part of our tradition I gathered my troops to pray our combat prayer.
<60>	"Pagpalain tayo ng Diyos at tayo ay kanyang patnubayan.	"may the Lord bless and guide us."
<61>	Maging alerto, uuwi tayong lahat na buhay!"	be alert, we will all go home alive!
<62>	Palihim kaming lumisan mula sa aming Patrol Base mga ala-una ng madaling araw, habang ang lahat ay mahimbing na natutulog.	we secretly left our patrol base at one o'clock in the morning while everyone was soundly asleep.
<63>	Chamber-loaded kaming lahat at handang pumatay kung kinakailangan.	we are all chamber-loaded and ready to kill if needed.
<64>	Isa ang nais naming makamit sa aming mga lakad.	we want to achieve one goal in our trips.
<65>	Bawal ang mabuking!	to be discovered is not allowed!
<66>	Dapat may element of surprise.	there should be an element of surprise.
<67>	Nakasalalay sa Patrol Leader ang mga kritikal na desisyon gamit ang instincts at judgment call.	critical decisions are up to the patrol leader using his instincts and judgment call.
<68>	Kapag mali ang desisyon ng leader, posibleng mas mabigat ang consequences ng engkwentro kagaya ng kaguluhan sa pulitika o kaya madagdagan lamang ang magiging kaaway ng gobyerno.	if the decision of the leader is wrong, it is possible for the consequences of the encounter to be greater, like political upheaval or there might be an increase in the enemies of the government.
<69>	Maraming beses kong inihinto ang buong patrol para sa pag-map check at pag-reorient.	I have to stop the whole patrol to check the map and to reorient countless of times.
<70>	Iniwas ko ang aking tropa sa mga paisa-isang bahayan sa lugar para hindi ma-compromise.	to avoid compromising my troops, I evaded places where houses are few and far between.
<71>	Narating namin ang lugar bandang alas singko ng umaga.	we reached the place around five o'clock in the morning.
<72>	Gamit ang Night Observation Devices ay inusisa kong mabuti ang aktwal na kinaroonan ng mga bahay ayon sa sketch na ibinigay ng aming impormante.	using night observation devices, I carefully checked the actual location of the houses based on the sketch of our informant.
<73>	Kausap ko ang lahat ng mga opisyal na aking kasama sa aming Objective Rally Point nang bigla kaming nabulabog sa isang sigaw: "Alllllllllllahu Akbar, Allahu Akbarrrrrrr!"	I was talking to all officers with me in our objective rally point when we were suddenly surprised by a single shout: "Alllllllllllahu Akbar, Allahu Akbarrrrrrr!"
<74>	Narinig ko ang lagatok ng mga tauhan kong nag-unlock ng safety lock ng baril.	I heard the sound of my troops unlocking the safety lock of their guns.
<75>	Dahan-dahan kong pinindot ang safety mechanism ng aking AUG Steyr.	I slowly pressed the safety mechanism of my AUG Steyr.
<76>	Inobserbahan ko ang paligid.	I observed the surroundings.
<77>	Inaantay ng aking mga tauhan ang aking kautusan.	my troops were waiting for my instructions.
<78>	Nasa aking mga balikat ang mabigat na responsibilidad.	the heavy responsibility were on my shoulders.
<79>	Para akong nilalagnat at kumakalabog ang aking dibdib.	it was as if I have a fever and my chest was pounding.
<80>	Putukan o hindi?	to fire or not?
