<1>	Pahayag ng PKM-NDF Timog Katagalugan kaugnay sa paglabag ng AFP sa SOMO	statement of PKM-NDF Southern Tagalog in relation to the violation of the AFP in SOMO
<13>	Matatandaan na noong Disyembre 23, 2010, nasawi si Lester Barrientos, isang kabataang manggagawang pangkultura, nang maglunsad ng isang strike operation ang 80th IB sa San Jose, Occidental Mindoro.	it can be remembered that last December 23, 2010, Lester Barrientos, a cultural youth worker, was killed when the 80th IB launched a strike operation in San Jose, Occidental Mindoro.
<14>	Nasa kalagitnaan iyon ng deklaradong ceasefire dahil sa nagaganap na usapang pangkapayapaan.	it was in the middle of a declared ceasefire because of the peace talks happening.
<15>	Nitong Disyembre 21, iligal na inaresto at tinortyur ng mga elemento ng 74th IB at lokal na pulisya sa Mulanay, Quezon ang limang sibilyan.	this December 21, five civilians were illegally arrested and tortured by the elements of the 74th IB and local police in Mulanay, Quezon.
<16>	Nananatiling nakapiit sa Mulanay Municipal Police Station ang tatlo dito na pinagbibintangang mga mandirigma ng NPA.	the three remain imprisoned here in Mulanay Municipal Police Station who are accused as warriors of the NPA.
<17>	Matapat sa sariling rekord ng lantarang panlilinlang sa mga rebolusyonaryong pwersa at mamamayan at pananabotahe sa usapang pangkapayapaan, muling pinatunayan ng AFP na nasa sukdulan na ito ng desperasyon na madurog ang NPA na kahit ang 26 na araw na diumano'y unilateral ceasefire ay itinuturing nang malaking kawalan sa kanilang mga operasyon.	loyal in its own record of explicitly deceiving the revolutionary forces and citizens and sabotaging the peace talks, the AFP once again proved that it is in its utmost desperation to crumble the NPA into pieces even if the alleged 26-day unilateral ceasefire is considered as the huge loss in their operation.
<18>	Kinukundena ng PKM-TK ang paglabag ng AFP sa karapatan ng mga inaresto at pinagbibintangang NPA.	the PKM-TK condemns the violation of the AFP against the rights of those arrested and accused as NPA.
<19>	Walang dahilan para ipailalim sa pagpapahirap ang mga inaresto sila man ay Pulang mandirigma o sibilyan.	there is no reason to subjugate the arrested under torture either they are red warriors or civilians.
<20>	Mahigpit na ipinatutupad sa mga yunit ng NPA ang pagrespeto sa mga karapatan ng mga bihag ng digma at hors d' combat.	strictly implemented in the units of the NPA is the respect on the rights of the prisoners of war and hors de' combat.
<21>	Bagamat hindi lamang ngayon ito nangyari, malinaw na ipinapakita ng dalawang insidenteng ito ang pagkakaiba ng NPA at AFP.	though it is not only now that this has happened, it is clear that these two incidents are showing the difference of the NPA and AFP.
<22>	Pinatitingkad ng mga iniulat na mga pangyayari ang rebolusyonaryong katangian ng NPA bilang disiplinado, matapat at tunay na hukbong bayan, samantalang higit pang nahuhubdan ng tunay na kulay ang AFP bilang isang mersenaryo, mapanlinlang at huwad na teroristang organisasyong militar ng mga imperyalista, panginoong maylupa at burgesya komprador.	highlighted by the reported incidents is the revolutionary character of the NPA as disciplined, loyal and authentic people's army, while the AFP is stripped more of its real color as mercenary, deceitful and fake terrorist military organization of imperialist, landlords and bourgeoisie buyers.
<23>	Hindi matatabingan ng pagpapanggap ng Oplan Bayanihan ng rehimeng US-Aquino ang kontra-mamamayang oryentasyon ng AFP.	the anti-people orientation of the AFP will never be covered by the pretentiousness of the Oplan Bayanihan of the US-Aquino regime.
<24>	Pinatutunayan din nito ang kaseryosohan ng NDFP na humarap sa usapang pangkapayapaan upang makamit na ng sambayanang Pilipino ang matagalang kapayapaan na nakabatay sa katarungan habang inilalantad naman ang mga pakana ng GPH na gamitin lamang ang usapang pangkapayapaan upang linlangin at disarmahan ang rebolusyonaryong pwersa sa gayon ay patuloy silang makapaghari at makapagsamantala.	this is also proving the seriousness of the NDFP to face the peace talks for the Filipino nation to achieve a lasting peace based on justice while also revealing the ploy of the GPH to only use the peace talks to deceive and disarm the revolutionary force so then they can continue reigning and take advantage.
<25>	Makakaasa ang NPA na ubos-kayang makikipagtulungan ang mga balangay ng PKM-TK sa aktibong pagtatanggol sa mga rebolusyonaryong base at sa mga tagumpay na sama-samang nakamit sa demokratikong rebolusyong bayan, partikular sa rebolusyong agraryo.	the NPA can count that the groups of PKM-TK will cooperate with all its exhaustive effort in actively defending the revolutionary bases and for the triumphs that the people's democratic revolution has achieved particularly in the agrarian revolution.
<26>	Higit pang pagsisikapan ng PKM-TK na makatugon sa panawagan ng PKP na "pakamahalin at itaguyod ang NPA" at maiambag ang mas marami pa sa pinakamahuhusay na anak ng uring magsasaka sa armadong rebolusyon.	the PKM-TK will strive more to address to the call of PKP to "love and uphold the NPA" and will be able to contribute the more skillful children of the farming class to the armed revolution.
<27>	###	###
