<1>	(0.000-2.175)	<laugh> ano 'to ?	what is this ?
<184>	(488.900-493.570)	which is good <overlap> talagang tsina-challenge mo 'yung sarili mo ito 'yung bago aah .	which is good you are really challenging yourself this is new aah .
<185>	(493.570-495.698)	sinasabi nila magaling magaling magaling .	they are saying great great great .
<186>	(495.698-496.740)	<overlap> oo .	yes .
<187>	(496.740-502.041)	eh gusto paglaro ko pag pupunta ka ng P_B_A hindi mo- -- hindi mo -- hindi na kaagad 'yung time .	because I want when you go to the P_B_A not your -- not your -- not immediately the time .
<188>	(502.041-503.462)	oo oo pagtrabahuhan mo .	yes yes you work on it .
<189>	(503.462-506.608)	although alam mo na masipag mabait tapos magaling .	although you know hardworking good then skilled .
<190>	(506.608-507.625)	'tsaka may talent talaga .	then really has a talent .
<191>	(507.625-508.246)	sobra .	too much .
<192>	(508.246-508.588)	<overlap> oo .	yes .
<193>	(508.588-509.119)	'di ba ?	right ?
<194>	(509.119-510.448)	nakikita ko lahat kinakain nga eh .	because I have been seeing eating everything .
<195>	(510.448-510.934)	ah huh .	ah huh .
<196>	(510.934-513.466)	so parang nag-tha-thank you na ako na wala ako do'n sa kinakain eh .	so seems like I am thanking that I am there of those who is being eaten .
<197>	(513.466-515.580)	<no-speech>	<no-speech>
<198>	(515.580-515.900)	di ba ?	right ?
<199>	(515.900-518.864)	buti na lang hindi ako nagamit kundi <sta> kasama ako diyan sa top one .	good thing I was not used if not I am included there at the top one .
<200>	(518.864-521.713)	top two top three kasama Willie Miller kinakain .	top two top three including Willie Miller being eaten .
<201>	(521.713-523.590)	ina-ankle breaker .	made into an ankle breaker .
<202>	(523.590-524.531)	so parang gano'n .	so just like that .
<203>	(524.531-525.473)	oo at least %incomplete	yes at least %incomplete
<204>	(525.473-536.513)	'yun ang gusto ko kasi 'nong kinausap ako ni Jimmy before I sign sabi niya sabi ko tinanong ko bakit ka mag-ano -- mag- -- <hes> re-retired na ?	that what I want is when Jimmy talked to me before I sign he said I said I asked why would you -- would -- retire already ?
<205>	(536.513-543.168)	sabi niya I feel tired kasi my last four five years ng basketball ko <no-speech> punong-puno .	he said I feel tired because my last four five years in basketball it was very full .
<206>	(543.168-545.580)	from gilas talk'n'text gilas talk'n'text .	from Gilas Talk N Text Gilas Talk N Text .
<207>	(545.580-547.458)	sabi ko inggit na inggit ako sa 'yo .	I said I was very jealous of you .
<208>	(547.458-548.668)	ah huh .	yes .
<209>	(548.668-552.620)	kasi siguro yu- -- 'yan ang gusto ng player na na maramdaman eh .	because maybe that's what the player wants to feel .
<210>	(552.620-553.380)	oo .	yes .
<211>	(553.380-558.435)	na kahit na sabik ka pa or hindi pero pag pagod ka na sa basketball stop ka na .	even if you're still eager but if you're tired with basketball you have to stop .
<212>	(558.435-559.033)	yes .	yes .
<213>	(559.033-568.550)	<hes> ibig sabihin nagsawa ka na oo 'yung parang pagod 'yung katawan gusto mo rest naman with your family kasi sa gilas ilang months .	that means you're already fed up yes seems like your body is tired but you also want to rest with your family because in Gilas it's a couple of months .
<214>	(568.550-572.520)	kay -- kaysa 'yung opposite na parang gusto ko pang maglaro pero wala ka pang %incomplete	rather -- rather than the opposite that I still want to play but you don't have %incomplete
<215>	(572.520-580.816)	oo so sabi ko inggit na inggit ako sa 'yo kasi sabi ko 'yung last four years ko ka 'ko hindi na basketball ka 'ko 'yung napuntahan ko pulitika na yata eh .	yes I said I was very jealous of you because in the last four years I wasn't in basketball but in politics .
<216>	(580.816-581.511)	<int> di ba ?	right ?
<217>	(581.511-583.803)	'yun yung -- 'yun 'yung ano eh -- 'yon yung sinabi ko sa kaniya .	that's the -- well that's the -- that was what I was telling him .
<218>	(583.803-593.800)	sabi ko -- sabi ko ilang beses ko sinabihan 'yung sarili ko na from last three years -- sabi ko last three years ka 'ko puwede na kong backup .	I said I've told myself plenty of times that from last three years -- I said the last three years I can be a backup already .
<219>	(593.800-595.040)	ah huh .	yes .
<220>	(595.040-598.798)	kahit ka 'ko masama sa loob ko at least makakaturo na ko sa mag-ne-next sa 'kin .	even if it's disgruntling at least I can teach those next to me .
<221>	(598.798-604.842)	'yun 'yung nasa barako no sila Carlo Lastimosa sabi ko tuturuan ko na tong mga to para at least next 'ka ko .	those in Barako Carlo Lastimosa I said I'll teach these guys to be at least next .
<222>	(604.842-606.340)	di ba ?	right ?
<223>	(606.340-611.332)	tapos sabi bago palang ano sinabi ko nga 'wag n'yo naman ka 'ko ibigay kaagad 'yung time .	and they said they're just new I said don't give the time instantly .
<224>	(611.332-613.500)	pabayaan n'yong pagtrabahuhan nila .	let them work hard for it .
<225>	(613.500-618.126)	kasi kung may marunong pa 'tapos ibibigay mo sa bata 'yung bata ka 'ko baka i-waste lang 'yan .	because if still knows how then it is going to be given to a kid that kid I said maybe it would be wasted .
<226>	(618.126-619.190)	ah huh .	ah huh .
<227>	(619.190-623.743)	pabayaan n'yo next sila hanggang sa kasi sila ang mag-aano eh magpupursige .	just let them be they are next until they will be the ones to uh to persevere .
<228>	(623.743-625.725)	kasi 'yun 'yung mag-start ka 'ko sa 'min eh .	because that that will start I said with us .
<229>	(625.725-632.496)	ako nag-start ako tinanong ko kay- -- hindi ko naman tinanong kay coach eh although nando'n na sila Ato Agustin .	I started me I asked to -- I haven't asked coach although Ato Agustin is already there .
<230>	(632.496-634.129)	oo nga pala 'nong first year ko .	yes oh I remember in my first year .
<231>	(634.129-636.970)	sila tita Glen di ba ?	them with Tita Glen right ?
<232>	(636.970-644.942)	so although ako gustong-gusto ko alam kong makakatulong ako pero iniisip ko bakit mas ginagamit ng coach 'yung beterano ?	so although I really want I know I can help but I am thinking why the coach uses the veteran more ?
<233>	(644.942-645.689)	oo .	yes .
<234>	(645.689-647.740)	anong puwede mong matutuhan do'n sa beterano ?	what can you learn there from the veteran ?
<235>	(647.740-648.167)	oo .	yes .
<236>	(648.167-652.447)	so habang nasa nasa bench ako 'nong first year ko analyze ako ng analyze .	so while I was on on the bench in my first year I kept on analyzing .
<237>	(652.447-658.159)	sabi ko oo nga no kahit ako 'ka ko -- kahit ako 'yung maging coach ka 'ko mas gusto ko do'n sa beterano .	I said yes that's right even me I said -- even if I were to become a coach I said I would like the veteran more .
<238>	(658.159-658.600)	ah huh .	ah huh .
<239>	(658.600-660.315)	kasi sigurado ka na .	because you are already sure .
<240>	(660.315-660.866)	oo .	yes .
<241>	(660.866-669.638)	sigurado kana na ayun less mistake may -- may magandang decision making 'tsaka up to the end 'yun kung baga gano'n 'yung alon .	you are already sure that's it less mistake has -- has good decision-making then up to the end that seems like that's the wave .
<242>	(669.638-672.453)	hindi 'yung gano'n gano'n .	not like that like that .
<243>	(672.453-673.414)	'yun 'yung inano ko .	that that what I did .
<244>	(673.414-677.668)	so 'nong second year ko tanong na ko ng tanong sa mga ano sa mga beterano .	so on my second year I kept on asking to those veterans .
<245>	(677.668-680.537)	papaano magagawa ko papaano makakatulong ako ?	how come I can do it how come I can help ?
<246>	(680.537-686.245)	sabi sa 'kin oh sige start ka na ng practice <hes> kailangan mong pagtrabahuhan ng maigi .	I was told oh start practicing you need to work on it well .
<247>	(686.245-690.926)	kailangan makatulong ka from frac- -- practice little time hanggang palaki ng palaki .	you need to help from -- practice little time until larger and larger .
<248>	(690.926-692.020)	<overlap> palaki ng palaki .	larger and larger .
<249>	(692.020-695.205)	so ne-next sabi nila papa Ato i-ne-next kayo niyan .	so will be the next papa Ato said I would make him the next .
<250>	(695.205-699.329)	so dapat pag ginamit ka ready ka parati hindi puwede 'yung warm up pa .	so when you are used you are ready always shouldn't still be on warm up .
<251>	(699.329-700.691)	sabi ko sige okay .	I said sure okay .
<252>	(700.691-705.860)	so 'nong second year ko <no-speech> 'yung time na pag gano'n na 'yung ano 'yung career .	so on my second year on times like that that one the career .
<253>	(705.860-717.057)	eh how many <hes> I mean kilala <hes> mo 'yung <hes> katawan mo sabi mo wala kang nararamdaman kung ikaw masusunod mga gaano katagal pa bago ka finally ngayon ?	so how many I mean you have known your body you said you have not felt anything if you were the one to follow how long would it take before you finally now ?
<254>	(717.057-722.295)	ngayon gusto ko nga lang <no-speech> one year na makapaglaro lang .	now I just want to one year just to be able to play .
<255>	(722.295-730.169)	basta makalaro ah one year within a year na alam mong pagod ka na sulit na sulit parang di na ko puwede di na ko puwede ?	anything but to play ah one year within a year that you know you are tired still worth it like I cannot anymore I cannot anymore ?
<256>	(730.169-731.313)	ako na mag-ti-time out eh .	because I will be the one to make the time-out .
<257>	(731.313-733.306)	ako mag-special time out eh .	so I will make a special time-out .
<258>	(733.306-734.708)	ako na mag-special time out .	I will be the one to have a special time-out .
<259>	(734.708-739.169)	bibigyan mo sarili mo ng special time out <overlap> oo special time out na ko di ko na pala ano eh .	you are going to give yourself a special time-out yes I will already have a special time-out I cannot anymore .
<260>	(739.169-739.460)	ah huh .	ah huh .
<261>	(739.460-743.102)	di ko na pala kaya sige hayaan mo na ako .	oh I cannot bear it anymore so sure let me be .
<262>	(743.102-746.704)	sobrang four group mo <laugh> na .	you've have much four group already .
<263>	(746.704-747.330)	oo .	yes .
<264>	(747.330-747.897)	di ba .	right .
<265>	(747.897-749.809)	scalptive muna ako tapos next na ako .	I'll be a scalptive first then I'm next .
<266>	(749.809-752.866)	tapos eh kasi eventually gusto kong mag-coach .	and then because eventually I want to coach .
<267>	(752.866-753.847)	yes yes .	yes yes .
<268>	(753.847-758.440)	'yun 'yung gusto ko -- gusto kong mai-pass on sa mga bata .	that is what I want -- I want to pass it on to the children .
<269>	(758.440-760.824)	'yun mga experiences ko 'tsaka 'yung mga natutunan ko .	those are my experiences and what I have learned .
<270>	(760.824-761.457)	oo .	yes .
