<1>	Dapat managot din ang militar ng US sa pagtatambak ng nakalalasong basura -- PKP	the military of the US should also be responsible for dumping toxic waste - PKP
<12>	"Ipinakikita nito ang tahasang pagbalewala sa kapaligiran at kalusugan ng mga Pilipino.	"it shows the bold disregard for the environment and health of the Filipinos.
<13>	Lubusan nilang pinagwawalang-bahala ang mga regulasyong lokal at internasyunal na nag-oobliga sa pagproseso ng mga nakakalasong basura bago ito itapon."	they absolutely ignored the local and international regulations obligating the processing of toxic waste before it is thrown away."
<14>	Sa simula'y nagtago ang Glenn Defense Marine sa Visiting Forces Agreement (VFA) at iginiit na ang operasyon nila sa Pilipinas ay isinasagawa sa basbas ng US Navy.	at the start Glenn Defense Marine hid in the Visiting Forces Agreement (VFA) and insisted that their operation in the Philippines is done with permit of the US Navy.
<15>	Inilayo ng embahada ng US sa Pilipinas ang sarili sa insidente ng pagtatambak ng nakalalasong basura, na anito'y ang Glenn Defense Marine ay isang pribadong kumpanya na di saklaw ng Visiting Forces Agreement.	the embassy of the US in the Philippines distanced itself from the incident of dumping toxic waste, that according to them Glenn Defense Marine is a private company that is not covered by the Visiting Forces Agreement.
<16>	Inulit-ulit lang ng mga upisyal gubyernong Aquino ang pusisyon ng embahada ng US.	the officials of the Aquino government just kept on repeating the position of the US embassy.
<17>	"Gayunpaman, sa kumpas ng US, isinasagawa ngayon ang isang operasyon para hamunin ang imbestigasyon ng SBMA na nagsasabing nakalalason ang basurang itinambak sa baybayin ng Subic Bay," anang PKP.	"still, with the gesture of the US, an operation is being done to challenge the investigation of the SBMA saying that the waste dumped in the coast of Subic Bay is toxic," said PKP.
<18>	Iginigiit ngayon ng mga upisyal ng Glenn Defense Marine na ang mga itinapong "basurang tubig/likido" ay naproseso na sa loob ng barkong pandigma ng US, at ito ang kasunduan nila sa US Navy kaugnay ng pagdispatsa sa basura.	the officials of Glenn Defense Marine now insist that the dumped "water/liquid waste" was processed inside the war ship of the US, and this is their agreement with the US Navy about the disposal of waste.
<19>	Kinatigan na ng Malacañang ang panig ng Glenn Defense Marine at US Navy nang iginiit ng tagapagsalita ni Aquino na "organikong basura" at di "nakalalasong basura" ang itinapon.	Malacañang supported the side of Glenn Defense Marine and the US Navy when the spokesperson of Aquino insisted that "organic waste" and not "toxic waste" was thrown.
<20>	"Sa ekslusibong pagkontrata sa Glenn Defense Marine na magserbisyo sa mga barkong pandigma nito, dapat papanagutin din ang militar ng US sa kriminal na pagtatambak ng nakalalasong basura na lumalapastangan sa soberanya ng Pilipinas," anang PKP.	"in the elusive contract of Glenn Defense Marine to service its war ships, the military of the US should also be responsible for the criminal dumping of toxic waste that disrespects the sovereignty of the Philippines," said PKP.
<21>	"Dapat parusahan ang Glenn Defense Marine sa pagtatambak nito ng nakakalasong basura, subalit di ito dapat maging sangkalan para makatakas sa krimen ang may pananagutan ding militar ng US".	"Glenn Defense Marine should be punished for its dumping of toxic waste, but it should not be the scapegoat so that the also responsible military of the US can escape from the crime."
<22>	"Sa mga nakaraang taon, kinokontrata ng militar ng US ang mga pribadong kontraktor militar na magserbisyo sa mga pangangailangan nito, sa pagkumpuni ng mga barko, sa seguridad ng mga tauhan at sa mga operasyong lampas sa ligal na hangganan," pagdidiin ng PKP.	"in the past years, the US military has contracted private military contractors to service its needs, in repairing ships, in the security of its staff and in operations exceeding legal boundaries," emphasized the PKP.
<23>	"Kapag nalantad na ang mga kriminal na gawain ng mga pribadong kontraktor, mabilis na idinidistansya ng gubyerno ng US ang sarili sa pamamagitan ng pangangatuwirang mga pribadong kumpanyang ito at walang pananagutan ang militar ng US sa mga gawain nito."	"when the criminal activities of private contractors have been revealed, the US government quickly distances itself through the argument that these are private companies and the US military has no responsibility on their activities."
<24>	"Dapat papanagutin ng sambayanang Pilipino ang US Navy sa pagtatapon nito ng nakalalasong basura na ginagawa ng mga kontraktor sa depensa nito," pagdidiin ng PKP.	"the Filipino people should make the US Navy accountable in their dumping of toxic waste that the contractors do in their defense," emphasized the PKP.
<25>	"Kaalinsabay, dapat nilang itulak ang pagbasura sa VFA na nagsisilbing ligal na payong para walang sagabal na makapaglabas-masok ang mga pwersang militar ng US sa teritoryo ng Pilipinas at bilang kalasag sa militar ng US laban sa mga krininal na pananagutang kinakaharap nito sa Pilipinas."	"at the same time, they should push for the scrapping of the VFA that serves as a legal umbrella so that the military forces of the US can go in and out the territory of the Philippines without interruption and as a shield of the US military against criminal responsibilities it faces in the Philippines."
<26>	"Malamang, ang pagtatambak ng mga nakalalasong basura sa Subic Bay ay hindi unang pangyayari at maaaring hindi pa ang huli sa harap ng papadalas ng pagdaong ng mga aircraft carriers ng US at iba pang sasakyang pandigma," anang PKP.	"likely, the dumping of toxic waste in Subic Bay is not the first incident and may not be the last in the face of increasing frequency of docking of aircraft carriers of the US and other war vessels," said the PKP.
<27>	"Pinatatampok nito ang pinsalang pangkapaligiran at panlipunang na ibinubunsod ng pagsurender ng rehimeng Aquino sa soberanya at sa pagpapahintulot ng todo-todong pagpayag sa US Navy na pumasok at magpatrulya sa karagatan ng Pilipinas."	"it presents the environmental and societal damage caused by the surrender of the Aquino regime of sovereignty and allowing full permission for the US Navy to enter and patrol the Philippine seas."
<28>	"Ipinaaalala rin ng insidente ng pagtatambak ng nakalalasong basura sa sambayanang Pilipino ang patuloy na pagtanggi ng gubyerno ng US na linisin ang mga nakalalasong basura nitong iniwan sa mga dating base militar nito sa Clark at Subic," anang PKP.	"the incident of dumping of toxic waste also reminds the Filipino people of the continuing refusal of the US government to clean up the toxic waste it left in its former military bases in Clark and Subic," said the PKP.
<29>	"Pinatatampok rin nito sa atensyon ng publiko ang pag-iimbak ng gubyerno ng US ng mga sandatang nukleyar na nalantad kamakailan mula sa mga dokumento ng gubyerno ng US.	"it also features to public attention the storage of the US government of nuclear weapons that was revealed recently from the documents of the US government.
<30>	Dapat isiwalat ng gubyerno ng US ang detalye ng pag-iimbak na ito at kung ang mga inimbak na sandatang nukleyar na ito sa Pilipinas ay natanggal at nalinis na."	the US government should disclose the details of this storage and if these stored nuclear weapons in the Philippines have been removed and cleaned up."
