<1>	(0.000-1.405)	kinig magandang po sa inyong lahat .	listen good to all of you .
<17>	(157.338-162.780)	ano hong implications nitong <hes> bagong mga engkuwentrong ito ngayon ?	what are the implications of these new encounters today ?
<18>	(162.780-171.787)	ang -- ang -- ang kagandahan dito <hes> Jessica ay <hes> matutuloy-tuloy na nating <hes> matumbok ano itong masusundan natin ma-ta-track natin .	the -- the -- what is nice here Jessica is we can now continue to pinpoint what we can follow we can track .
<19>	(171.787-190.840)	kung matatandaan natin <hes> sa mga nakaraang linggo ay sixteen na mga tampong ang nadiskubre natin at dahan-dahan na-analyze ito ng Joint Task Group Sulu kung saan sila nagtatago every time na mayroong <hes> <hes> merong <hes> law enforcement operations na ginagawa yung ating sundaluhan .	if we can remember in the past weeks we discovered sixteen contributions and was steadily analyzed by the Joint Task Group Sulu where they hide every time there's a law enforcement operations done by our military .
<20>	(190.840-212.480)	at <hes> ang <hes> isa pa diyan na magandang nangyari ay <hes> mismong ang mga local officials at <hes> maging ang mamamayan diyan sa Sulu ay galit na galit at <hes> kinukundi na itong <hes> <hes> kabulastugan ng <hes> mga bandido na kung saan pati sila mismo ay kini-kidnap pati <hes> pinapa-ransom ng <hes> kanilang mismong kababayan na nasa bandidong grupo .	another good thing that happened there is that the very local officials and even the townsmen there in Sulu were very mad condemning this deception of the bandits where even their own are getting kidnapped asked for a ransom by their very own fellowmen in the bandit group .
<21>	(212.480-212.844)	mhm .	mhm .
<22>	(212.844-226.764)	ito naman pong <hes> nangyari sa Pikit sa North Cotabato <hes> B_I_F_F po ang pakana nito pero may mga dumating daw na mga M_I_L_F do'n sa evacuation center <hes> colonel ?	the situation at Pikit in North Cotabato B_I_F_F is responsible for this but M_I_L_Fs arrived there in the evacuation center colonel ?
<23>	(226.764-237.636)	authorized ho ba sila na gawin ito -- itong <hes> pumunta sila sa evacuation center kahit na hindi pa po batas itong <hes> B_L_L o Bangsamoro <hes> Law .	are they authorized to do this -- for them to come to the evacuation center even though B_L_L or Bangsamoro Law isn't a law .
<24>	(237.636-245.598)	<hes> hindi muna ako makapag- -- komento tungkol sa pangyayari na 'yan <hes> ang <hes> ulat na 'yan ay hindi pa nakarating sa aking opisina .	I can't -- comment about what happened yet that report hasn't reached my office yet .
<25>	(245.598-252.146)	<hes> marapatin siguro ng <hes> tagapagsalita ng <hes> sixteen infantry division ang <hes> pagsagot sa naturang isyu .	spokesperson of the sixteen infantry division should perhaps deign in answering the said issue .
<26>	(252.146-254.129)	okay maraming salamat po lieutenant ~ %incomplete	okay thank you very much lieutenant %incomplete
