<1>	Mga estudyante ng UP, nakaranas muli ng panghaharas ng militar	UP students experienced military harassment again
<34>	“May pagtatangi sa UP students ang mga militar at nakalungkot ito.	"the military has a distinction to UP students and this is saddening.
<35>	Ang community work ay bahagi ng academic requirement dito sa UP.	the community work is part of the academic requirement here in UP.
<36>	Maging ang College of Medicine halimbawa ay may requirement sa kanilang mag-aaral na magkaroon ng community medical work,” ayon kay Krissy Conti, student regent ng UP.	even the College of Medicine, for example, has a requirement for their students to have a community medical work," according to Krissy Conti, student regent of UP.
<37>	Maging si Andrada ay nakararanas umano ng panghaharas ng mga militar sa tuwing pumupunta siya sa kanayunan tulad ng nangyari sa kanila sa kanilang basic masses integration sa Nueva Vizcaya noong nakaraang taon.	even Andrada has experienced harassment from the military every time he goes to the villages similar to what happened to them in their basic masses integration in Nueva Vizcaya last year.
<38>	Aniya, nasa labas ng UP ang sistematikong karahasan ng estado kaya laging naririyan ang banta.	according to him, the systematic violence of the state is always outside UP, therefore, the threat is always there.
<39>	“Hindi lamang natuto ang mga mag-aaral sa teorya.	"the students do not only learn from theory.
<40>	Laging kailangan ng praktika kung saan lehitimong bahagi ng akademiko ang lumubog ang mga mag-aaral sa aktuwal na kalagayan ng mga nasa kanayunan,” ani Andrada.	needs to have practice where it is a legitimate part of the academe to immerse the students in the actual condition of those who are in the villages," according to Andrada.
<41>	Hindi lamang laban ng UP	not a UP fight only
<42>	Ayon kay Kabataan Rep. Raymond Palatino, hindi lamang laban ng UP ang mga karahasang nagaganap sa kanayunan, at di lamang sa mga estudyante ng UP kundi maging sa ordinaryong mga mamamayan na nagiging biktima ng militarisasyon.	according to Youth Representative Raymond Palatino, this violence happening in the villages is not only a UP fight, and not only for the students of UP but even the ordinary citizens become victims of militarization.
<43>	“Ang mga programa ng UP tulad ng sa Department of Community Development ay nagpapatuloy upang maging makahulugan ang pag-unawa at pagtugon sa mga problemang panlipunan.	"the programs of UP such as the Department of Community Development continue make understanding and responding to societal problems meaningful.
<44>	At ang Armed Forces of the Philippines ay dinidirekta ang karahasan sa mga programang ito ng UP.	and the Armed Forces of the Philippines are directing violence to the programs of UP.
<45>	Ipinakikita lamang ng militar ang kanilang anti-pag-unlad at anti-kapayapaan,” sa pahayag ng Anakbayan.	the military is only showing their anti-development and anti-peace," Anakbayan stated.
<46>	Ibinahagi naman ni Conti ang iba pang mga kaso ng mga estudyante ng UP tulad nila Karen at She, Maricon Montajes ng College of Mass Communication na hinuli sa Batangas at kasalukuyang nakapiit bilang isa sa pinakabatang bilanggong pulitikal, si Ericson Acosta na hinuli sa Samar at James Balao na dinukot sa Benguet ay pawang nagmula sa UP.	Conti also shared other cases of UP students similar to Karen and She, Maricon Montajes of the College of Mass Communication who was arrested in Batangas and currently jailed as one of the youngest political prisoners, Ericson Acosta was arrested in Samar and James Balao was abducted in Benguet are all from UP.
<47>	Nanawagan din si Conti sa pagtulong sa paghahanap kay Palparan upang mabigyang hustisya ng pagkawala nila Karen at She.	Conti is also calling for help in searching Palparan to give justice in the lost of Karen and She.
<48>	Sinabi ni Conti na mahigit silang 50,000 na nakakalat sa buong bansa at tutulong sa paghahanap kay Palparan upang madala sa bilangguan.	Conti said that they are more than 50,000 scattered in the whole country and will help in searching for Palparan to bring him to jail.
<49>	Isang House Resolution No. 2055 naman ang inihapag ng Kabataan Party-list sa Kamara upang tumulong ang mga kongresista sa paghahanap kay Palparan at huwag hayaang sa kanilang distrito magtago ang heneral.	the House Resolution No. 2055 was laid by the Youth Party-list in the Legislative Chamber to help the congressmen in searching Palparan and do not let their district hide the general.
