<1>	Himig at Himagsik	music and revolution
<17>	Patunay itong hindi lamang lunsaran ng subersibong musika ang UP Fair, ang UP Fair ay subersibong musika—malikhain dahil taliwas sa nakasanayan, mapanghimagsik dahil kritikal.	this is proof that the UP Fair is not just a launching pad of subversive music, the UP Fair is subversive music-creative because different from the usual, revolutionary because critical.
<18>	Isang halimbawa ang UP Fair noong 2007 na may temang ‘Rakestra’ na layuning kundenahin ang pagtataas ng matrikula mula P300 patungong P1500 per yunit at ang pagrerepaso ng patakaran ng unibersidad sa socialized tuition.	an example is the UP Fair in 2007 with theme 'Rakestra' that aimed to condemn the increase in tuition from P300 up to P1500 per unit and the review of the university's policy on socialized tuition.
<19>	Sinundan ito noong 2009 ng “Meant FAIR each other,” isang paraan ng panawagan upang makialam sa mga isyu ng lipunan ang bawat iskolar ng bayan.	it was followed in 2009 by "Meant fair each other", a way for every nation's scholar to get involved in social issues.
<20>	Nagkaroon pa rito ng pagputol sa isang gabi ng fair dahil nagpumilit pumasok ang isang grupo ng lalaki na hindi taga-UP.	one evening of the fair was even cut short due to the insistence of a group of men not from UP to enter.
<21>	Bagaman tagalabas, hindi pa rin ito naging dahilan para gawing eksklusibo lamang para sa mga taga-UP ang UP Fair.	despite being outsiders, it did not become a reason to make the UP Fair exclusive just for those from inside UP.
<22>	Isa pang halimbawa ang UP Fair noong 2011 na may temang “Education in desFAIR” na nanawagang wakasan ang patuloy na pagkaltas ng badyet para sa mga pampubikong kolehiyo at pamantasan.	another example is the UP Fair in 2011 with the theme "Education in desFAIR" that called for the end of continued budget cuts for public colleges and universities.
<23>	“Rebokultura: Breaking the Silence, Revolutionizing Music” naman ang tema noong 2012 upang gisingin ang mga mag-aaral at umaksyon sa iba’t ibang isyu sa pamantasan tulad ng pagpapatayo sa UP Town Center, na ngayon ay isa ng multi-bilyong komersyal na establisyamento ng Ayala.	"Rebokultura: Breaking the Silence, Revolutionizing Music" was the theme in 2012 to wake the students and take action for different issues in the university like the construction of the UP Town Center, which is now a multi-billion commercial establishment of the Ayalas.
<24>	Masasabing kilala ang mga iskolar ng bayan na gumagamit ng sining at musika sa pagsusuri ng iba’t ibang isyu ng lipunan at nananawagang aksyunan ito.	it can be said that the nation's scholars are known for using art and music in examining the different social issues and call to act on it.
<25>	Ito ang orihinal na UP Fair–nagsusulong ng mataas na kamalayan at ideya gamit ang sining.	this is the original UP Fair-pushing for higher awareness and ideas using art.
<26>	Chorus	chorus
<27>	Ayon sa sanaysay na “Art as Technique” ni Viktor Shklovsky, isang Rusong manunulat at kritiko, na nailimbag noong 1917, may pamamaraan ang sining na gawing hindi pamilyar ang anyo ng isang bagay o tingnan ito sa pamamagitan ng bagong lente.	according to the essay "art as technique" by Viktor Shklovsky, a Russian writer and critic, published in 1917, art has a way to make an object appear in an unfamiliar form or look at it through another lens.
<28>	Samakatuwid, may kakayahan ang sining na wasakin ang mga tradisyunal na porma ng sining.	in short, art has the ability to destroy traditional forms of art.
<29>	Sa ganitong proseso maaaring maging subersibo ang musika, kapag tumataliwas ito sa nakasanayan, kapag pinipili nitong suriin at ilantad ang mga krisis sa lipunan, at kapag nagsisilbi itong boses ng api at pinagsasamantalahan.	in this process music can become subversive, if it contradicts the traditional, if it chooses to examine and reveal the crises in society, and if it serves as the voice of the oppressed and abused.
<30>	Sa paglipas ng panahon, lumalabnaw na ang ganitong karakter ng UP Fair at ng musikang ipinatatangkilik dito.	as time passes, this characteristic of the UP Fair and the music it supports are disappearing.
<31>	Dahil sa naging popular na ang UP Fair naging tunguhin nito ang lumikom ng pondo.	because the UP Fair has become popular its goal became fund raising.
<32>	Sa katunayan, ang kinikita ng mga nakaraang UP Fair ay ipinagpapalagay namapupunta sa mga “cause-oriented” na proyekto, gaya noong 2013 kung saan mga dormitoryo at varsity teams ng UP ang naging benepisyaryo ng UP Fair.	as proof, the revenues of the previous UP Fairs were allocated to go to "cause-oriented" projects, like in 2013 the beneficiaries of the UP Fair are dormitories and varsity teams of UP.
<33>	Kung kaya naman ang dating UP Fair na libre, ngayo’y kinukulapulan ng mga pinakasikat na banda at artistang inaasahang maghihikayat ng mas marami pang tao para bumili ng tiket.	if before the former UP Fair is free, now it is plastered with the most popular bands and artists expected to draw in more people to buy tickets.
<34>	Mas mataas at mas matibay na ang mga pader ng UP Fair ngayon, guwardyado ang bawat pasukan at labasan—hindi makakapasok ang sinumang walang tiket.	the walls of the UP Fair are higher and stronger now, every entrance and exit is guarded-anyone without a ticket cannot enter.
<35>	Dahil sa kinakailangang pagtugon sa mga talent fees ng mga sikat na banda, nagkaroon na rin ng mga commercial sponsors kapalit ng advertisements na naglalako ng sari-saring produkto at serbisyo.	because of the necessary response to the talent fees of popular bands, there are now commercial sponsors in exchange of advertisements offering all sorts of products and services.
<36>	Naging pangunahing dahilan na samakatuwid ang pagkalap ng pondo sa pagdaos ng UP Fair kahit limitado lamang ang ambag nito sa paglutas ng mga problema ng unibersidad at lipunan.	therefore fundraising became the primary reason for holding the UP Fair even if it has limited contribution in solving the problems of the university and society.
<37>	Ngayong taon, tila lalong lumalayo ang UP Fair sa subersibo at makabuluhan nitong potensyal.	this year, it seems the UP Fair is moving away from its subversive and meaningful potential.
<38>	Nagkalat sa social media ang tema ngayong taon: “Kasama ka sa Trip.”	the theme this year spread through social media: "you belong to the journey".
<39>	Mapanghikayat ang paanyaya ng tema, ngunit hindi malinaw kung ano ang kabuluhan ng “paglalakbay,” o kung saan ito patungo.	the invitation of the theme is encouraging, but it is not clear what the meaning of the "journey" is, and where it is headed.
<40>	Muli, maaaring humugot ng aral mula sa tagumpay ng Kampuhan.	again, lessons can be drawn from the success of Kampuhan.
<41>	Hindi iilan ang nagpahayag sa social media ng kanilang karanasan sa isang linggong pakikisalamuha at paglubog sa mga Lumad.	not a handful expressed on social media their experience in the week-long association and immersion with the Lumads.
<42>	Pinukaw ng mga rebolusyonaryong mga pagtatanghal sa Kampuhan ang imahinasyon ng mga dumalo at naging tuntungan ito upang lalong lumakas ang kampanya laban sa militarisasyon ng mga komunidad ng mga katutubong tulad ng mga Lumad.	the revolutionary performances in Kampuhan moved the imagination of the attendees and it became a foundation to further strengthen the campaign against the militarization of the communities of natives like the Lumads.
<43>	Coda	coda
<44>	Pambansang Buwan ng Sining ang Pebrero at mainam na pagkakataon ito upang patampukin sana ng darating na UP Fair ang makabuluhan at subersibong potensyal ng sining—lalo sa panahong hinahamon ang unibersidad ng bagong pagkaltas sa pondo nito at sa lumalalang komersyalisasyon ng edukasyon sa pamamagitan ng socialized tuition.	February is the National Month for Art and it is a good opportunity to hopefully feature in upcoming UP Fairs the meaningful and subversive potential of art-especially in the time when the university is being challenged with another budget cut and worsening commercialization of education through socialized tuition.
<45>	Mahalaga ang gampanin ng propaganda sa pagpapaigting ng tunggalian sa lipunan at sa paggiya ng kamalayan na maaabot nito tungo sa wastong pagtugon sa mga atake sa ating mga batayang karapatan.	propaganda has an important role in tightening social conflict and guiding awareness so that it can reach proper response to the attacks on our rights.
<46>	Isa itong hamon at panawagan sa kasalukuyang konseho at tagapagdaos ng UP Fair na tiyaking buhay ang ganitong diwa ng sining na malaya at mapagpalaya.	this is a challenge and call to the current council and organizers of the UP Fair to ensure that this essence of free and liberal art remains alive.
