<1>	Militar, itinuro ng saksi sa ‘pagmasaker’ sa kanyang ama’t mga kapatid sa Camarines Norte	military, pointed by the witness of the massacre of his father and siblings in Camarines Norte
<24>	Ayon pa sa Karapatan, umabot pa ng apat na oras bago dalhin si Leonisa sa Camarines Norte Provincial Hospital at itinago mula sa mga kagawad ng barangay.	according to Karapatan, it reached four hours before Leonisa was brought to Camarines Norte Provincial Hospital and hidden from the barangay councilors.
<25>	Noong Pebrero 26 na umano makuha ang mga bangkay.	the corpses were retrieved last February 26.
<26>	Ayon sa mga nakasaksi, magkayakap pa umano si Benjamin at kanyang bunsong anak na si Richard sa sala ng bahay, samantalang nakuha naman ang bangkay ni Michael sa loob ng kuwarto na hawak pa ang bolpen at ang NPA na nasa kusina naman sa ibabang bahagi ng bahay.	according to those who have witnessed, Benjamin and his youngest child Richard were hugging each other in the living room of the house, while the corpse of Michael was retrieved inside the room who was still holding a ball pen and the NPA was in the kitchen on the lower part of the house.
<27>	“Pinaulanan ng bala ng mga sundalo ang bahay ng mga Mancera, kahit alam nilang may mga sibilyan na naroroon at nauwi nga sa pagkamatay ng mga bata at kanilang tatay,” ani Delen.	"the soldiers showered bullets on the house of the Manceras. even if they know there are civilians there and leads to the death of the children and their father," Delen said.
<28>	Kinondena rin ng Karapatan ang operasyong militar na isinasagawa sa naturang lugar mula pa noong Enero.	Karapatan condemned the military operation conducted in the said place since last January.
<29>	Nagdudulot umano ito ng paglabag sa mga karapatang pantao ng inosenteng mga mamamayan.	this is causing violations of human rights of innocent citizens.
<30>	“Ang ganitong pamamaraan ng 49th IBPA sa kanilang operasyon ay malinaw na labag sa International Humanitarian Law na sumasaklaw pangunahin sa pagbibigay-proteksiyon sa mga sibilyan at mga wala nang kapasidad na lumaban,” dagdag ni Delen.	"this method of the 49th IBPA in their operation is clearly a violation to the International Humanitarian Law which primarily included the administration of protection to the civilians and those who have no capacity to fight," Delen added.
<31>	Panawagan ng Karapatan na mabigyan ng kagyat na tulong at proteksiyon ang batang nakaligtas na tumatayong saksi sa madugong insidente.	Karapatan calls to give immediate aide and protection to the child who survived who stood as witness in the bloody incident.
<32>	Samantala, sa pahayag ng National Democratic Front-Bicol (NDF-Bicol), pinabulaanan ni Gregorio Banares, tagapagsalita ng NDF-Bicol, na sila ang nakapatay sa tatlong sibilyan.	meanwhile, in the statement of the National Democratic Front-Bicol (NDF-Bicol) Gregorio Banares, spokesperson of NDF-Bicol, denied that they were the ones who killed the three civilians.
<33>	“Hindi nagpaputok ang mga pulang mandirigma (NPA) sapagkat isinaalang-alang nila ang kaligtasan ng mga sibilyan.	"the red warriors (NPA) did not fire because they have considered the safety of the civilians.
<34>	Mas pinili nila na umatras upang hindi madamay ang mga sibilyan,” aniya.	they have chosen to retreat in order not to implicate the civilians," he said.
<35>	Giit ni Banares, mga militar ang nagpaulan ng bala sa bahay ng mga Mancera.	Banares insisted, the military have showered bullets on the house of the Manceras.
<36>	Isinisi din ng NDF ang insidente sa programang kontra-insurhensiya na Oplan Bayanihan sa paglala at pagtindi ng militarisasyon sa Kabikolan, gayundin ng mga paglabag sa mga karapatang pantao.	the NDF blames the incident in the programs against insurgency of Oplan Bayanihan in the worsening and intensifying militarization in Bicol, as well as the violations of human rights.
<37>	“Inilantad mismo ng sarili nilang aksiyon ang mga panlilinlang at pagpapanggap ng AFP (Armed Forces of the Philippines) sa ilalim ng Oplan Bayanihan, na wala na umanong mga paglabag sa karapatang-pantao.	"the deceit and pretensions of the AFP (Armed Forces of the Philippines) under the Oplan Bayanihan are exposed in their own actions, that there are said to be no violations of human rights.
<38>	Sa kabila ng magarbong panawagan nila para sa ‘kapayapaan at kaunlaran’, karahasan at kahirapan ang hatid sa mga mamamayan ng pinatinding militarisasyon sa ilalim ng rehimeng Aquino,” pagtatapos ni Banares.	despite their grand call for peace and progress, they have brought violence and poverty to the citizens for an intensified militarization under the Aquino regime," Banares concluded.
