<1>	Pahayag ng RCTU-ST kaugnay sa pagkadakip sa mag-asawang Tiamzon	Statement of RCTU-ST related to the kidnapping of the Tiamzon couple
<19>	Tulad ng pagtaas ng, presyo ng bigas, petrolyo, tubig, kuryente, edukasyon, at serbisyong medikal.	such as the increase in price of rice, fuel, water, electricity, education and medical services.
<20>	Lahat ng ito ay para sa kapakanan ng mga malalaking burgesya komprador at dayuhang kapitalista na siya namang malugod at maluwag na tinutugunan ng sunud sunurang Aquino.	all of these are for the welfare of the big bourgeois and foreign capitalists who are welcome and willingly served by the Aquino administration.
<21>	Ang mga kalagayang ito ang dahilan kung bakit makatarungan para sa mga manggagawa at mamamayan na magrebolusyon laban sa umiiral na sistema.	these conditions are the reason why it is just for the workers and the people to revolutionize the existing system.
<22>	Ang mismong nabubulok na sistema ang nagtutulak sa mga manggagawa na mag-organisa, kumilos, at sa kalaunan ay humawak ng armas at lumahok sa armadong rebolusyon sa kanayunan.	the rotten system itself pushes the laborers to organize, act and eventually hold arms and participate in the armed revolution in the provinces.
<23>	Laging mainam at hinog ang kalagayan ng daigdig at bansa para sa paglakas ng rebolusyonaryong kilusan sa bansa.	the condition of the world and the nation are always good and ripe for the rise of the revolutionary movement in the country.
<24>	Ilang lider man ang madakip at mapaslang tiyak na maraming papapalit at magpapatuloy ng rebolusyon.	even if some leaders are arrested and killed, there are certainly many who will take over and continue the revolution.
<25>	Napatunayan na ito sa loob ng 45 taon na paglilingkod at pakikidigma ng CPP-NPA-NDF hindi sila kailanman kayang durugin at wasakin ng reaksyunaryo at pasistang estado ilang matataas na lider man ang madakip at mapaslang.	it has been proven in the 45 years of service and war of CPP-NPA-NDF that they can never be crushed and destroyed by the reactionary and fascist state even if some high-ranking officials were arrested and killed.
<26>	Ang pambansang demokratikong rebolusyon na isinusulong sa bansa ay isang rebolusyon ng mga masang api't pinagsasamantalahan na naglalayong wasakin ang bulok-sa-kaibuturang sistemang panlipunan sa bansa at itayo ang isang lipunan na tunay na malaya, demokratiko at masagana.	the national democratic revolution advocated in the country is a revolution of the oppressed and exploited masses aiming to end the rotten social system and build a truly free, democratic and prosperous society.
<27>	Ang adhikaing ito ay hindi lamang adhikain ng mga lider ng rebolusyon kundi adhikaing niyayakap ng buong sambayanang nagnanais Tiyak na may lilitaw na mga bagong lider mula sa hanay ng mga nakikibakang mamamayan na handang magpatuloy at magsulong ng rebolusyon hanggang sa tagumpay.	this aim is not only the aim of the leaders of the revolution but a goal embraced by the whole community wanting; surely, a new leader will sprout from among the people fighting who is ready to continue and spur the revolution until victory.
<28>	Mukhang hibang at wala sa sarili ang rehimeng Aquino at pasistang AFP nang banggitin nila na ang pagkakahuli sa mag-asawang Tiamzon ay matatapos na rin ang buhay ng CPP-NPA-NDF.	the Aquino regime and fascist AFP seems absurd and insane when they said that the arrest of the Tiamzon couple would be the end of the CPP-NPA-NDF.
<29>	Ang ganitong pananalita ng rehimeng Aquino ay nagpapakita lamang ng kanilang kamangmangan at kamusmusan sa kaalaman at pag-unawa sa batas ng rebolusyong Pilipino at sa mga kilusan para sa pambansang pagpapalaya.	such statement by the Aquino regime only showed their ignorance and lack of knowledge and understanding of the law of the Philippine revolution and the national liberation movements.
<30>	Palayain ng walang kundisyon sina Benito at Wilma Tiamzon!	set Benito and Wilma Tiamzon free without any conditions!
<31>	Kilalanin at ipatupad ang JASIG!	acknowledge and implement JASIG!
<32>	Papanagutin ang Rehimeng US-Aquino II!	charge the US-Aquino II regime!
<33>	Isulong ang Digmang Bayan!	promote the People's War!
<34>	Mabuhay ang CPP-NPA-NDFP!	long live the CPP-NPA-NDFP!
