<1>	Mga sibilyan hinaharas, pinagbibintangang rebelde	civilians harassed, suspected as rebels
<13>	Noong Disyembre 28, dalawang naka-sibilyang kagawad ng militar ang pumunta sa bahay ni Pepito at nagtanong sa kanyang asawa sa kanyang kinaroroonan.	on December 28, two military personnel wearing civilian clothes went to the house of Pepito and asked his wife for his location.
<14>	Nagpakilala umano ang isa sa mga militar na si Samuel Pineda ng Philippine Army.	one of the military supposedly introduced himself as Samuel Pineda of the Philippine Army.
<15>	Bumalik ang mga militar kinabukasan, sakay ng isang motorsiklong may plakang WI-6015.	the military returned the next day, aboard a motorcycle with plate number WI-6015.
<16>	Tinanong si Pepito kung may kaugnayan siya sa isang nagngangalang “Jonas” na responsable raw sa “panghihingi ng revolutionary tax” sa kompanya.	they asked Pepito if he was related to one named "Jonas" who was supposedly responsible for "asking for revolutionary tax" from the company.
<17>	Ayon pa sa KMU, tinanong din si Pepito tungkol sa mga aktibidad ng unyon.	and according to the KMU, they also asked Pepito about the activities of the union.
<18>	Ang sabi pa sa kanya, “Masyadong malaki ang hinihingi ninyo sa kompanya.	and they even said to him, "you ask too much from the company.
<19>	Huwag lang namin malalaman na may kaugnayan kayo sa sinasabi naming tao.”	don't let us find out that you are related to the person we are referring to."
<20>	Sinabi ni Elmer Labog, tagapangulo ng KMU, na tila “buhay na buhay” sa gobyerno ni Aquino ang dati nang taktika ng nakaraang rehimeng Arroyo na iugnay ang mga unyonista sa mga aktibidad ng NPA.	Elmer Labog, chairman of KMU, said that the past Arroyo regime's tactic of connecting unionists to the activities of the NPA seems "really alive".
<21>	Patuloy pa rin ang panghaharas sa mga lider-obrero na ibinabatay sa aktibidad ng ibang tao.	harassment of farmer-leaders based on activities of other people continue.
<22>	Sinabi pa ng grupo na may namamayaning tensiyon sa kompanya, matapos magsampa ng apela ang mga manggagawa laban sa ibinigay na eksempsiyon sa kompanya na magbigay ng P30 na Emergency Cost of Living Allowance, gayundin ang paggiit ng mga manggagawa sa iba pa nilang benepisyo na patuloy na ipinagkakait.	the group also said that there is an ongoing tension in the company, after the laborers filed an appeal against the exemption given by the company in giving P30 emergency cost of living allowance, as well as the laborers insisting for their other benefits that continue to be denied.
<23>	“Ginagamit ni Tan ang militar para iharas ang mga manggagawa sa pagtatangka nilang pasukuin ang mga ito,” ani Labog.	"Tan used the military to harass the laborers in their attempt to make them surrender," said Labog.
<24>	Pag-aresto, gawa-gawang kaso	arrests, made-up cases
<25>	Samantala, ilegal na inaresto ng mga militar at kapulisan ang dalawang katao sa magkahiwalay na lugar bago matapos ang taong 2012.	meanwhile, the military and police illegally arrested two people in separate locations before year 2012 ended.
<26>	Inaresto ng mga puwersa ng PNP Region II si Rene Boy Abiva, social worker ng Department of Social Welfare and Development (DSWD) sa Tuguegarao City.	the forces of PNP Region II arrested Rene Boy Abiva, social worker of the Department of Social Welfare and Development (DSWD) in Tuguegarao City.
<27>	Ayon sa grupong pangkarapatang pantao na Taripnong-Cagayan Valley, inaresto si Abiva noong Disyembre 28 at kinasuhan ng kasong murder kaugnay sa isang ambus ng NPA sa Tinoc, Ifugao noong Abril 2012.	according to human rights group Taripnong-Cagayan Valley, Abiva was arrested on December 28 and charged with murder related to an ambush of the NPA in Tinoc, Ifugao in April 2012.
<28>	Sa bisa ito ng mandamyento na ipinalabas ng Regional Trial Court 14th Branch sa Lagawe, Ifugao noong Nobyembre 2012.	this is the effect of the mandate released by the Regional Trial Court 14th Branch in Lagawe, Ifugao in November 2012.
<29>	Pero ipinahayag ng Taripnong-Cagayan Valley na gawa-gawang kaso ang isinampa laban kay Abiva.	but the Taripnong-Cagayan Valley declared that Abiva was charged with a made-up case.
<30>	Anila, kahit pumupunta si Abiva sa malalayong komunidad ng mga mahihirap para magproseso ng mga papeles pasa sa programa ng Conditional Cash Transfer ng DSWD, hindi umano siya umabot sa Ifugao.	according to them, even if Abiva goes to distant communities of the poor to process documents for the conditional cash transfer program of the DSWD, he supposedly did not reach Ifugao.
<31>	“Inaakusahan si Abiva ng pagpatay sa Tinoc, pero hindi siya umabot doon kahit sa pagsisimula ng trabaho niya bilang social welfare officer ng siyudad,” pahayag ng grupo.	"Abiva was accused of killing Tinoc, but he did not end up there even during the start of his job as social welfare officer of the city," the group stated.
<32>	Talamak na rin ang pag-aaresto ng mga awtoridad sa mga sibilyan at pinagbibintangang sila’y mga lider-rebelde — para lamang makuha ang pabuya sa pag-aresto sa naturang mga rebelde.	authorities' arrest of civilians and accusing them that they're rebel leaders is also common - just to get the reward for arresting the said rebels.
<33>	Ayon sa Karapatan-Negros, nagpapahinga si Sebas noong Disyembre 25 nang pasukin ng mga militar ang kubo ng sakiting si Sebas.	according to Karapatan-Negros, Sebas was resting on December 25 when the military entered the hut of sickly Sebas.
<34>	Pinakitaan ng mga pulis si Sebas ng warrant of arrest para sa isang “Felimon Mendrez.”	the police showed Sebas a warrant of arrest for one "Felimon Mendrez."
<35>	Sinabi pa ng grupo na hinalughog din ang bahay ni Sebas at kinumpiska ang telepono ng asawa para hindi makahingi ng anumang tulong para sa biktima.	the group also said the house of Sebas was searched and his wife's phone was confiscated so she cannot ask help for the victim.
<36>	Kasalukuyang nakakulong ang biktima sa BJMP District Jail sa Bayawan City.	the victim is currently in jail at the BJMP District Jain in Bayawan City.
<37>	“Mukhang nagkakandarapa ang administrasyong Aquino at ang militar na magpakita ng kanilang tagumpay sa pagkamit ng kanilang target na paglipol sa mga rebelde sa pamamagitan ng Oplan Bayanihan.	"it looks like the Aquino administration and the military are desperate to display their success in reaching their target of capturing rebels through Oplan Bayanihan.
<38>	Pero ang resulta nito’y ang mga malala, ilegal at kaduda-dudang pag-aresto at pagsampa ng mga kaso laban sa mga aktibista at indibidwal na tinatagurian nilang mga komunista,” ani Jose Luis Blanco, pangkalahatang kalihim ng Karapatan-Negros.	but it results in the severe, illegal, and suspicious arrests and charges against activists and individuals that they call communists," said Jose Luis Blanco, executive secretary of Karapatan-Negros.
