aardvark mhanga
award tunikwa
award tunuku
award tunzo
awareness uamsho
awl maharazi
axe shoka
axle ekseli
Azerbaijan Azabajani
Azerbaijan Azerbaijan
Azerbaijani Mwazabajani
Azerbaijanis Wawazabajani
Azeri Kiazabaijani
Azeri Kiazeri
Azeri Mwazabaijani
Azeri Mwazeri
Aztec Kiazteki
baboon nyani
baboon sokwe
baby mtoto
baby mtoto
baby mchanga
baby mwana
babysitter mlei
babysitter mlezi
babysitter wa
babysitter muda
babysitter yaya
baby walker
baby kiwambo
baby walkers
baby viwambo
bachelorhood ushababi
bachelor kapera
back mgongo
back of
back the
back head
back kisogo
backs migongo
bacteria bakteria
bacterium bakteria
bad bovu
bad bozu
bad breath
bad kiseyeye
badger melesi
bad intent
bad zuumu
bad mbaya
bad mbi
bad person
bad tumbo
bad joto
bad smell
bad of
bad fishes
bad mavumba
bad smell
bad of
bad fish
bad vumba
bad smell
bad ujaka
bad smell
bad vundo
baganda baganda
bag begi
bag mfuko
bagpipes bagpipes
bagpipes gaida
bags mifuko
Bahamas Bahama
Bahamian Kibahama
Bahamian Mbahama
Bahamians Wabahama
Bahrain Bahareni
Bahrain Bahrain
Bahraini Baharani
Bahraini Kibahareni
Bahraini Mbahareni
baked duff
baked samosa
Baku Baku
balalaika balalaika
balcony roshani
bald kipara
bald vipara
baleen mfupanyangumi
baleen whale
baleen nyangumi
baleen mwenye
baleen mfupanyangumi
ball mpira
balloon mabofu
balloon puto
ballpoint pen
ballpoint kalamu
baloon baluni
baloon kibofu
baloon pulizo
baloon puto
baloons mabaluni
baloons mapulizo
baloons maputo
Bambara Kibambara
bamboo mwanzi
banana mgomba
banana ndizi
banana plant
banana mgomba
banana plants
banana migomba
bandage bendeji
bandage plasta
band bendi
bandit haramia
Bangladesh Bangladesh
Bangladesh Bangladeshi
Bangladeshi Mbangladesh
Bangladeshi Mbangladeshi
Bangladeshi Wabangladeshi
bangle bangili
bangles mabangili
banjo banjo
banjo zeze
banjo la
banjo kizungu
bank account
bank akaunti
bank ya
bank benki
bank benki
banknote mwsada
banknote noti
banner bango
banquet hafla
bantu bantu
bantu kibantu
banyan baniani
baobab mbuyu
baptizm ubatizo
Barack Obama
Barack Barrack
Barack Obama
bar baa
Barbadian Kibabadosi
Barbadian Mbabadosi
Barbadians Wababadosi
Barbados Babadosi
Barbados Barbados
barber kinyozi
barbet zuakulu
barbet zuwakulu
bark gome
barley shayiri
barn owl
barn babewana
barn owl
barn bundi
barrel pipa
barrenness utasa
barrier buye
barrier kikingio
barrier kizuizi
barriers vizuizi
Bartok makaloyo
bartoks makalio
baseball besiboli
base uanzishaji
basin beseni
basin besheni
basin karai
basket ball
basket mpira
basket wa
basket kikapu
basketball mpira
basketball wa
basketball kikapu
basketball teams
basketball timu
basketball za
basketball basketiboli
basketball team
basketball timu
basketball ya
basketball basketiboli
basketball union
basketball shirikisho
basketball la
basketball basketiboli
basket kapu
basket kikapu
baskets vikapu
bassoon basuni
bateleur pungu
bateleurs mapungu
bath bafu
bathe kuoga
bathe oga
bathroom bafu
bat popo
battery betri
battle field
battle medani
battle fields
battle mamedani
battle vita
bay gal
bay pilipili
bay hoho
bay ghuba
Bay of
Bay Bengal
Bay Ghuba
Bay ya
Bay Bungala
bayonet singe
bazaar soko
beach crab
beach kururu
beach pwani
beach ufuo
beach wangwa
beads worn
beads on
beads womens
beads waist
beads utunda
beak mdomo
beam boriti
bean haragwe
bean maharagwe
beans maharagwe
beard ndevu
beast mnyama
beast nunda
beat chapa
beat charaza
beaten shindwa
beaten zabwa
beat piga
beautiful girl
beautiful kipusa
beautiful ladies
beautiful vipusa
beautiful ladies
beautiful warembo
beautiful lady
beautiful mrembo
beautiful zuri
beauty competition
beauty mashindano
beauty ya
beauty urembo
beauty jamala
beauty urembo
beauty uzuri
beaver biva
because of
because kwa
because ajili
because ya
bedbug kunguni
bedings malazi
bedings tandiko
bed kitanda
bedroom chumba
bedroom cha
bedroom kulala
bedroom pakulalia
bedsheet shuka
beds vitanda
beech mfune
beef nyama
beef ya
beef ng'ombe
beehive mzinga
bee nyuki
beer bia
beer pombe
beetle mende
beet roots
beet matini
beet root
beet tini
beetroot tini
befool pumbaza
before awali
before kabla
before mbele
beggar mwombaji
beggary ufukara
begin anza
begining alfa
beg sihi
behalf niaba
behaviour tabia
behind nyuma
being mean
being ubanifu
being respectful
being adhimu
being respectful
being akrama
be kuwa
Belarus Belarusi
Belarusian Kibelarus
Belarusian Kibelorusia
beleiver mcha
beleiver mungu
beleivers wacha
beleivers mungu
Belgian Mbelgiji
Belgians Wabelgiji
Belgium Ubelgiji
believer muumini
believers waumini
Belizean Kibelize
Belizean Mbelize
Belizeans Wabelize
Belize Belize
belle kidosho
bell kengele
bells makengele
Belorussian Mbelarusi
Belorussians Wabelarusi
below chini
belt mkanda
belt mshipi
belts mikanda
belts mishipi
bench fomu
bend inama
bend kota
bend kunja
bend kuruba
bend mwinamo
bend pinda
bends makota
bends miinamo
benefit manufaa
Bengal Bungala
Bengal fox
Bengal mbweha
Bengal wa
Bengal Bungala
Bengali kibengali
Bengali Kibengali
Bengali Mbengali
Bengal tiger
Bengal chui-milia
Bengal wa
Bengal Bungala
Benin Benini
Beninese Mbenini
Beninese Wabenini
be responsible
be wajibika
Berlin Berlin
Berlin Wall
Berlin ukuta
Berlin wa
Berlin Berlin
beryllium berili
beryl rangi
beryl ya
beryl zabarajadi
beryl zabarajadi
besides aidha
bestfriend rafiki
bestfriend wa
bestfriend dhati
be surfeited
be kinai
betel nut
betel popoo
betel palm
betel mpopoo
Bethlehem Bethlehemu
betrayal usaliti
betrayal utimbakwiri
betray saliti
be troubled
be gaya
better bora
between baina
beverage kinywaji
bewail ombolezea
bewitch roga
bhang bangi
bhang ganja
Bhutan Butani
Bhutanese Kibutani
Bhutanese Mbutani
Bhutanese Wabutani
bible Biblia
Bible Biblia
Bible Neno
Bible la
Bible Mungu
bicycle baisikeli
bicycle baiskeli
bicycle baiskili
bidder mzabuni
bier jeneza
big cooking
big pan
big degi
big kubwa
big mkubwa
big pevu
big rat
big buku
big tree
big bobo
bile nyongo
bill ankra
bill bili
billion bilioni
bill mswada
bill mwsada
billy goat
billy beberu
billygoat beberu
bin jaa
biography wasifu
biology biolojia
biology elimuviumbe
birch mbetula
birch ubao
birch wa
birch mbetula
birdlime ulimbo
bird ndege
bird nyuni
birthday siku
birthday ya
birthday uzalishi
birthing clothes
birthing mikaja
birthing cloth
birthing mkaja
birth kuzaa
birth zaa
birth zaliw
birth zaliwa
biscuit biskuti
bisector mchinjio
bisector kati
bisectors michinjio
bisectors kati
bishop askofu
bishop chekechea
bison baisani
bison baisani
bison wa
bison Marekani
bit charaza
bite mdundo
bite uma
bittern vumatiti
blackberry forosadi
blackberry nyeusi
blackcurrant mtunda
blackcurrant bukini
blackcurrant mweusi
blackcurrant tunda
blackcurrant bukini
blackcurrant jeusi
black eusi
black-eyed pea
black-eyed mkunde
black-eyed pea
black-eyed ukunde
Black Forest
Black Msitu
Black Mweusi
black hole
black shimo
black jeusi
black jaa
black jack
black kichomanguo
black jacks
black vichomanguo
black magic
black mazingaombwe
black mweusi
black nightshade
black mnafu
black nightshade
black mnavu
black nyeusi
black pepper
black pilipili
black manga
Black Sea
Black Bahari
Black Nyeusi
blacksmith mhunzi
black weusi
bladder kibofu
bladders vibofu
Blanche Blanchi
blanket blanketi
blasphemy kufuru
blast kilipuzi
blessing baraka
blind kipofu
blindness upofu
blockage mzibo
block brackets
block mabano
block ya
block mraba
blogger mwanablogu
blood damu
blood money
blood diya
bloodsucker mnyonya-damu
blow panchi
blueberry beri
blueberry ya
blueberry buluu
blueberry buluuberi
blueberry mbuluuberi
blueberry rangi
blueberry ya
blueberry buluuberi
blue bluu
blue buluu
blue monkey
blue kima
blue samawati
blunt butu
board abiri
board bao
board bodi
board game
board bao
board halmashauri
boards mabao
boat boti
boat chombo
boat dau
boat mashua
bodies miili
bodies viwiliwili
body cells
body chembechembe
body za
body mwili
body hair
body laika
body kiwiliwili
body mwili
body temperature
body mwako
body temperatures
body miako
Boer Kaburu
boil chemka
boil chemsha
boiled maize
boiled and
boiled beans
boiled pure
boil jipu
boil lengelenge
boils majipu
boil uvimbe
Bolivia Bolivia
Bolivian Kibolivia
Bolivian Mbolivia
Bolivians Wabolivia
bolt bolti
bomb bomu
bon app
bon tit
bon karibu
bon chakula
bond fungo
bone mfupa
bones mafupa
bones mifupa
bonnet boneti
bonus bonasi
bon voyage
bon safari
bon njema
book kitabu
bookshop duka
bookshop la
bookshop vitabu
books vitabu
book vitabu
boot buti
border mpaka
boring stuff
boring bughudha
born cancer
born saratani
born ya
born mfupa
boron boroni
borough manispaa
Bosnia and
Bosnia Herzegovina
Bosnia Bosnia
Bosnia na
Bosnia Herzegovina
Bosnia and
Bosnia Hezegovina
Bosnia Bosnia
Bosnia na
Bosnia Hezegovina
Bosnian Mbosnia
Bosnians Wabosnia
Bosphorus Bosporus
boss bwana
boss kigogo
botany botania
botany elimumime
bother kero
Botswana Botswana
Botswanan Mbotswana
Botswanan Mtswana
Botswanans Wabotswana
bottle chupa
bottom msenge
boundaries mipaka
boundary mpaka
Bovidae familia
Bovidae ya
Bovidae ng'ombe
bowl bakuli
bowl cut
bowl bakuli
bow mata
bowsprit dasturi
bow upinde
bow uta
boxer bondia
boxer mwanamasumbwi
boxers mabondia
boxing ndondi
box sanduku
boyfriend girlfriend
boyfriend azizi
boyfriend mpenzi
boy ghulamu
boy kijana
boy mvulana
boys wavulana
braid suka
brain akili
brain bongo
brain ubongo
bra kanchiri
branches matawi
branches vitanzu
branch mlango
branch tanzu
branch tawi
brandy brandi
brandy piwa
bra sindiria
brassiere sidiria
brave jasiri
bravery ujasiri
brawn akili
Brazil Brazili
Brazilian Kibrazili
Brazilian Mbrazili
Brazilian Portuguese
Brazilian Kireno
Brazilian cha
Brazilian Kibrazili
Brazilians Wabrazili
bread boflo
bread chapati
bread kipande
bread cha
bread mkate
bread mkate
bread mkati
bread riziki
breads mikate
break chenji
break down
break mnyambuo
break downs
break minyambuo
breakfast chakula
breakfast cha
breakfast asubuhi
breakfast chamshakinywa
breakfast kiamshakinywa
breakfast kiamsha
breakfast kinywa
breakfast staftahi
break kuvunja
break kuvunjika
break law
break kiuka
break off
break mega
break one's
break fast
break fungua
break kinywa
break pumziko
break vunja
breast cancer
breast saratani
breast ya
breast titi
breast kifua
breastplate kinga
breastplate ya
breastplate kifuani
breasts matiti
breast titi
breathe hema
breath pumzi
breeder kiangulio
brew chebuka
bribe chai
bribe chauchau
bribe chirimiri
bribe honga
bribe hongo
bribe kiinikizo
bribe mulungula
bribe mvugulio
bribe viinua
bribe migongo
bride biarusi
bride biharusi
bride bi
bride harusi
bridegroom bwana
bridegroom arusi
bride groom
bride bwana
bride harusi
bridegroom bwana
bridegroom harusi
bride price
bride mahari
bridge daraja
bridge kipandio
bridges madaraja
brim fara
brim ukingo
bring down
bring bomoa
bring kuleta
bring leta
Britain Briteni
britain uigereza
British English
British Kiingereza
British cha
British Uingereza
broadsword upanga
broadsword mpana
broke msoto
broker madalali
broker udalali
brook kijito
broom kifagio
brooms vifagio
broom ufagio
brothel dangro
brothel danguro
brothel madangro
brothel madanguro
brother ahi
brother kaka
brother ndugu
brown hudhurungi
brown kahawia
bruise chubuko
Bruneian Kibrunei
Bruneian Mbrunei
Bruneians Wabrunei
Brunei Brunei
brush brashi
brush burashi
Brussels Brussels
brutal makatili
brutalty ukatili
brute nunda
bucket ndoo
bucket zela
Buddhism Ubudha
Buddhist Kibudha
Buddhist Mbudha
budget bajeti
budgets mabajeti
buffalo mbogo
buffalo nyati
Buffalo nyumbu
buffet maankuli
bugle buruji
builder mjengaji
builder mjenzi
building jenga
building jengo
buildings majengo
build kujenga
bulb glopu
bulbul shore
bulbuls mashore
Bulgaria Bulgaria
Bulgarian Kibulgaria
Bulgarian Mbulgaria
Bulgarians Wabulgaria
bulgy mkoba
bullet risasi
bull fahali
bull nzao
bulls manzao
bunch bunda
bunch chane
bunches mafungu
bunches michane
bunches vichane
bunch fungu
bunch kichane
bundle bandali
bundle furusha
bundle furushi
bundle furusi
bundle kifurushi
bundle kitita
bundles mafurushi
bung kizibo
buoy boya
burden mzigo
burial ceremonies
burial sherehe
burial za
burial matanga
burial ceremony
burial sherehe
burial ya
burial matanga
burial mazishi
burial mziko
Burkanabe Mbukinafaso
Burkanabe Wabukinafaso
Burkina Faso
Burkina Bukinafaso
Burma Bama
Burma Myama
Burmese Myamari
Burmese Wayamari
burn choma
burnt forest
burnt chenge
Burundian Mrundi
Burundians Warundi
Burundi Burundi
bus basi
bush babies
bush makomba
bush baby
bush komba
bushbuck kulungu
bushbuck mbawala
bushbuck pongo
bushes vichaka
bush kichaka
business biashara
business card
business kadi
business kazi
business license
business leseni
business ya
business biashara
business licenses
business leseni
business za
business biashara
business people
business wanabiashara
business permit
business ilani
business ya
business biashara
business person
business mfanyibiashara
business person
business mwanabiashara
business persons
business wafanyibiashara
busy bizi
but bali
butcher mchinjaji
butcher's knife
butcher's buchari
but lakini
butterfly kipepeo
butterfly stroke
butterfly kipepeo
butter siagi
butt matako
buttock makaliyo
buttocks matako
buttock tako
button kitufe
buttons vitufe
but walakini
buyer mnunuzi
buy kununua
buy nunua
by chance
by kwa
by nasibu
by choice
by hiari
by choice
by ridhaa
by force
by kwazima
Byzantine Empire
Byzantine Ufalme
Byzantine wa
Byzantine Byzantini
cabbage kabichi
cabinet kabati
cactus cactus
caeropractor mhazigi
caf mkahawa
cafeteria kafeteria
cafeteria mikahawa
cafeteria mkahawa
cafeterias makafeteria
cafeterias mikahawa
cake keki
calabash buyu
calabashes mabuyu
calabash mabuyu
calabash mbuyu
calcium kalisiamu
calendar kalenda
calender kalenda
calenders makalenda
calf ndama
calico kaniki
calling mwito
calling wito
call kilio
call kuita
call kupiga
call simu
call mwito
calm shwari
calm utulivu
calvary kalivari
Cambodia Kamboja
camel bairi
Camelidae familia
Camelidae ya
Camelidae ngamia
camel jamali
camel ngamia
camels mabairi
camels mangamia
camera kamera
cameras makamera
Cameroonian Mkameruni
Cameroonians Wakameruni
Cameroon Kameruni
campaign kampeni
camphor kafuri
camp kambi
Canada Kanada
Canadian Kiingereza
Canadian cha
Canadian Kanada
Canadian Kikanada
Canadian Mkanada
Canadians Wakanada
canal mfereji
canary chiriku
cancel ghairi
Cancer Kaa
cancer kansa
cancer saratani
Cancer Saratani
candidate mgombezi
candidates wagombezi
candle kandili
candle mshumaa
candlenut tree
candlenut mkaka
candlenut trees
candlenut mikaka
candles makandili
candles mishumaa
cane fimbo
cane kiboko
cane mmea
canes viboko
cane ufito
Canidae familia
Canidae ya
Canidae mbwa
Caniformia Wanyama
Caniformia kama
Caniformia mbwa
can kopo
cannon mzinga
cannot but
cannot siwezi
cannot lakini
canoe mtumbwi
canoes mitumbwi
canon kanoni
canteen kantini
canteens makantini
cape gooseberry
cape kepguzbari
Cape of
Cape Good
Cape Hope
Cape Rasi
Cape ya
Cape Tumaini
Cape Jema
cape rasi
Cape Verdean
Cape Kikepuvede
Cape Verdean
Cape Mkepuvede
Cape Verdeans
Cape Wakepuvede
Cape Verde
Cape Kepuvede
capital cities
capital miji
capital mikuu
capital city
capital mji
capital mkuu
capitalism ubepari
capitalist bepari
capitalists mabepari
capital mtaji
cap kofia
Capricorn Jadi
Capricorn Mbuzi
caps makofia
captain amrisha
captain jemedari
captain kapteni
captain kiranja
captain nahodha
captains majemedari
captains makapteni
captain unahodha
capture nasa
Capuchin Mkapuchini
caramel karmeli
carbohydrate hamirojo
carbohydrate kabohidrati
carbon kaboni
carburetor kabureta
carcases mizoga
carcasses majifu
carcass jifu
carcass kirimba
carcass mzoga
carcass zoga
cardinal kadinoli
cardinal kardinali
cardinals makadinoli
card kadi
cards kadi
cards makadi
carefully taratibu
caress dara
caress papasa
care tunza
care utunzi
car gari
cargo kago
cargo shehena
cargos makago
Caribbean Islands
Caribbean Visiwa
Caribbean vya
Caribbean Karibiani
Caribbean Karibiani
Caribbean Kikaribiani
car motokaa
carnelian akiki
carnivore mla-nyama
car patrol
car gari
car la
car doria
car patrols
car magari
car ya
car doria
carpenter seremala
carpenters maseremala
carpentry useremala
carpet zulia
carriage behewa
Carribean Mkaribiani
Carribeans Wakaribiani
carrier mchukuzi
carrot cake
carrot keki
carrot ya
carrot karoti
carrot karoti
carry beba
cars magari
Carthage Karthago
cartilage gegedu
cart mkokoteni
cartoon katuni
cartoon kibonzo
cart rukwama
carts mikokoteni
case kesi
cashew mkorosho
cashew nut
cashew korosho
cashier keshia
cash keshi
cash service
cash huduma
cash ya
cash pesa
cash services
cash huduma
cash za
cash pesa
casino kasino
cassava mhogo
cassava muhogo
cassette kaseti
cassettes makaseti
cassowary kasowari
cast kandika
Catalan Kikatalan
catalogue katalogi
catch daka
catechism katekisimu
catechist katekista
caterpillar kiwavi
caterpillars viwavi
catfish kabare
cat fish
cat kambare
cathode kathodi
Catholicism Ukatoliki
Catholic katoliki
Catholic Mkatoliki
catholic woman
catholic mama
catholic katoliki
cattle egret
cattle yangeyange
cattle ng'ombe
cat translations
cat paka
cauliflower koliflawa
cauliflower mkoliflawa
cause chanzo
cavity susa
cease acha
cedar mwerezi
ceiling dari
celebration sherehe
celebration tafrija
celery figili
celery mwitu
cell mbaroni
cello chelo
cell seli
cells maseli
cement sementi
cement simiti
census sensa
centaur kentauro
centimeter sentimita
centimeters masentimita
centimetre sentimeta
centimetre sentimita
centipede tandu
Central African
Central Republic
Central Jamhuri
Central ya
Central Afrika
Central ya
Central Kati
central bank
central benki
central kuu
central katikati
cent senti
century karne
Cerberus Serbero
cereal nafaka
Ceres Seresi
certain fulani
certainity uhakika
certainly maalum
certainty bainisha
certainty hakika
