abaca abaka
Achilles Akiles
Achilles heel
Achilles sakong
Achilles ni
Achilles Aquiles
Achilles tendon
Achilles litid
Achilles ni
Achilles Akiles
Achilles tendon
Achilles litid
Achilles ni
Achilles Aquiles
achromatic awankulayin
acid asido
acidic malala
acolyte monasilyo
acolyte munisilyo
aconite akolito
acorn belyota
acorn ensina
acoustics tunugan
acquittal pawalansala
acrid makahat
acrobat akrobata
acrobat magsisirko
acrobat sirkero
acropolis akropolis
act batas
act gawa
action bilos
activation energy
activation sabilusing
activation kusog
activation sabilos
active voice
active tinig-tahasan
activity kabilusan
act of
act God
act katalagahan
act ng
act Bathala
act of
act God
act katalagahan
act ng
act Diyos
actor aktor
actor artista
actor manlalabas
Acts of
Acts the
Acts Apostles
Acts Mga
Acts Gawa
Acts ng
Acts mga
Acts Apostol
acute accent
acute tuldik
acute na
acute pahilis
acute angle
acute sihang
acute kipot
acute kipot
acyclic awansalkupin
adage sabihin
Adam Adan
Adam and
Adam Eve
Adam Adan
Adam at
Adam Eba
adamant adamantina
Adam's apple
Adam's gulunggulungan
adapt iangkop
adapt umangkop
add dagdagan
add dagdagin
addend panagdag
addiction sugapa
addict may-sugapa
add idugtong
addition palaragdagan
addition reaction
addition palaragdaging
addition balibilos
add magdagdag
address padalahan
ad hominem
ad katwirang
ad umaantig
ad sa
ad sarilintao
adiabatic kakaintan
ad infinitum
ad walang
ad hanggan
ad infinitum
ad walang
ad hangganan
adjacent tabi
adjectival pang-uri
adjective pang-uri
administration administrasyon
administration asiwa
administration pangasiwaan
admiral laksamana
admiralty law
admiralty batas
admiralty pandagat
admiration paghanga
AD M
AD K
adobo adobo
Adonis Adonis
adrenal gland
adrenal katasang-takipbato
adrenaline adrenalina
adrenal takipbato
adult adulto
adult baner
adultery pangangalunya
adult maygulang
adult nasagulang
ad valorem
ad tax
ad buwis
ad ayon
ad sa
ad halaga
advantage kalamangan
Advent Adbiyento
adventitious saanman
adverb pang-abay
adverse party
adverse kausapin
advertisement pamadya
advisor tagapayo
advocate abogado
adze daras
adze pandaras
aeration pabulang-hangin
aerial antena
aerial hangining
aerodynamics buhagsigan
aerodynamics hanginsigan
aerostatics hangintigilan
aesthetics dalubsantingan
aesthetics palasantingan
aesthetics santingan
aetiology palasanhiang-sakit
affix maylapi
affix panlapi
Afghan Apgano
Afghanistan Apganistan
afraid takot
Africa Aprika
African Aprikahin
Afrikaans Afrikaans
afterlife kabilang
afterlife buhay
afterlife kabilang
afterlife daigdig
afternoon hapon
after-shave losyon
after-shave sa
after-shave bagong-ahit
aftertaste pangimaiyo
again ano
again muli
again nanaman
again po
again ulit
agarwood kalamba
agate agata
age anyos
age edad
age henerasyon
age kapanahunan
agency ahensya
agency kabisaan
agency kagawaan
agent kinabisa
agent kinagawa
age of
age consent
age gulang
age ng
age pagpayag
aggregate fruit
aggregate damitlugning
aggregate bunga
aggregate malapiin
aggressive mabalagsik
agility liksi
Agnus Dei
Agnus Kordero
Agnus ng
Agnus Diyos
agricultural sakahanin
agriculture agrikultura
agriculture dalubsakahan
agriculture pagsasaka
agriculture sakahan
agriculturist dalubsaka
agroindustrial sakakalalangin
agroindustrial saka-kalalangin
agronomy palataniman
ahem tikhim
aikido aykido
air compressor
air panipil-hangin
aircraft eroplano
aircraft salipaw
air filter
air panalang-hangin
air force
air hukbong-panghimpapawid
airline kompanyang
airline panghimpapawid
airplane eroplano
airport paliparan
airtight luom
a journey
a of
a a
a thousand
a miles
a begins
a with
a a
a single
a step
a Ang
a mahabang
a paglalakbay
a ay
a nagsimula
a sa
a isang
a hakbang
akimbo nakapamaywang
Alabama Alabama
alabaster alabastro
Aladdin Aladino
alarm clock
alarm alarma
alarm orasan
alarm clock
alarm despertador
Alaska Alaska
alb alba
Albania Albanya
Albanian Albanes
albatross albatros
albinism pagkaanak-araw
albino anak-araw
albino sarka
alchemy pagbabalahak
alder aliso
Alexandria Alehandriya
alfalfa alpapa
alga lumot
algebraic panandain
algebra panandaan
Algeria Arhelya
algorithm algor
algorithm tmo
aliphatic malatabain
a little
a kaunti
a little
a medyo
a little
a onti
allegory talinhaga
allele ibayo
allele kaibayong-anyo
allele kaibayunyo
allelomorphic kaibayunyuan
allergy taluhiyang
allergy taluramdam
alligator aligeytor
alligator kaiman
alligator kayman
all-inclusive buyak
all-inclusive saklaw-lahat
alliteration saulinig
allocation at-at
allotrope kamulkap
allotropy kamulkapanan
alloy balahak
all right
all ayos
all right
all okey
all right
all okey
all right
all sige
all right
all sige
all na
all nga
all roads
all lead
all to
all Rome
all lahat
all ng
all daan
all ay
all magdadala
all sa'yo
all sa
all Roma
All Saints'
All Day
All Araw
All ng
All mga
All Patay
All Saints'
All Day
All Todos
All Los
All Santos
allusion parunggit
alluvial plain
alluvial kapatagang
alluvial banlik
ally kapanig
alma mater
alma inang
alma diwa
almanac almanake
almond almon
almond alm
almond n
almond pili
alms limos
aloe vera
aloe dilambuwaya
aloe vera
aloe sabila
alpaca alpaka
alpha alpa
alphabet alpabeto
alpha particle
alpha tipik-alpa
alpha radiation
alpha dagilap-alpa
alpha ray
alpha sinag-alpa
also din
also rin
altar dambana
alter ego
alter haliako
alternate salisi
alternation of
alternation generations
alternation halinhinan
alternation ng
alternation salinhay
altitude layog
altitude tayog
aluminium aluminyo
alum tawas
alveolus supot-hangin
amaranth amaranto
Amazon Amasona
ambassador embahador
ambassador sugo
amber ambar
ambiguous talohimig
ambiguous taluhimig
ambrosia ambrosya
ambulance ambulansiya
ambush abat
ambush abatan
amendment susog
American Amerikahin
American Amerikano
Americas Amerika
amethyst amatista
amicable mapayapa
amitosis hatinsihay
amnesia kawalang-gunita
amniotic fluid
amniotic sanggalang
amniotic tubig
AM n
AM u
amoeba ameba
Amos Amos
ampere amperyo
amphibian ampibiyo
amphiboly kabilaninsabi
amplifier pangibayo
amplitude hagkis
amputate gapungin
amputation paggapong
amputation pagkagapong
Amsterdam Amsterdam
amulet dupil
anabolism kapyari
anachronistic laos
anachronistic na
anacoenosis hikuro
anaconda anakonda
anadiplosis ugnay-ulit
anaesthesia hirandam
anaesthesia pampamanhid
anaesthesia pangimay
analects analektas
analogy sawangki
analysis of
analysis variance
analysis suri
analysis ng
analysis alig
analysis suri
analytic function
analytic suriing
analytic kabisa
analytic geometry
analytic suriing
analytic sukgisan
analytic mechanics
analytic suriing
analytic sigwasan
analytic philosophy
analytic suriing
analytic batnayan
analytic suriin
anaphase patidyugto
anaphora saulit
anarchy anarkiya
anastrophe kabaligtaran
anatomy anatomiya
anatomy dalubkatawan
anatomy katwanan
anchor angkla
anchor angkora
anchorman huling
anchorman mananakbo
anchor pasangit
anchor sawo
anchovy balawbalaw
anchovy dilis
anchovy dulis
Ancient Greece
Ancient Sinaunang
Ancient Gresya
Ancient Rome
Ancient Sinaunang
Ancient Roma
and at
Andean Andino
Andorra Andora
and saka
anemometer simuysukat
anemometry simuysukatan
anemone anemona
anesthesia hirandam
anesthesia pampamanhid
anesthesia pangimay
angel anghel
Angelus anghelus
angina pectoris
angina paninikip-dibdib
angledozer pahilis
angledozer sudsod
angle of
angle incidence
angle siha
angle ng
angle pagpasok
angle of
angle reflection
angle siha
angle ng
angle sabalik
angle of
angle refraction
angle siha
angle ng
angle saliko
angle siha
angle sulok
Angola Anggola
angry galit
anhydrite anidrita
anime anime
anion tahapik
an isang
anise sangki
anklebone butumbuol
ankle bukungbukong
ankle bukung-bukong
ankle buol
annelid ugnaykatwan
anniversary anibersaryo
anno Domini
anno Mula
anno kay
anno Kristo
Anno Domini
Anno Mula
Anno Kay
Anno Kristo
annoying nakakaasar
annoying nakakainis
annoying nakakaurat
anode tahandas
anoint himuan
anoint maghimo
anointment himo
anointment paghihimo
anorexia awanggana
answer susi
Antarctic Antartiko
antecedent nauna
antecubital lakuin
antelope antilope
antelope bubalo
antenna sungot
anthelmintic alis-bulati
anther supot
anthill bahay-langgam
anthill punso
anthracite antrasita
anthrax antraks
anthropogenesis palatauhan
anthropological dalubtauhin
anthropology dalubtauhan
anthropophobia taosikway
antiallergenic labantaluramdamin
antiatom labanmulapik
antibacterial laban-ishayin
antibiotic labanhanayin
antibiotic labanhayanin
Antichrist antikristo
Antichrist Antikristo
anticlimax gantinsukdol
anticlockwise balitaknaan
anticommunism labankalamaan
anticommunist labankalamaanin
anti-gravity labandagsin
Antigua and
Antigua Barbuda
Antigua Antigua
Antigua at
Antigua Barbuda
antilogarithm gantilogpaulit
antimatter labambutang
antimony antimonyo
antineutrino labanawansikin
antineutron labanawansik
Antioch Antiokiya
antipodal kaibayo
antiproton labanmulasik
antiseptic panlanggas
antistrophe pamalikid
antistrophon gantimatwid
antisubversive laban
antisubversive sa
antisubversive panlalabag
antithesis gantintikha
ant langgam
antrum guwang
anus anus
anus butas
anus ng
anus puwit
anus butas-puwit
anvil palihan
anxiety alip-ip
anyone balana
anyone sinuman
aorta punong-tibukan
aorta punong
aorta ugat-tibukan
apartment apartment
ape bakulaw
ap ritif
ap pamutat-alak
ape ugaw
aphelion higlayo
aphelion sa
aphelion Adlaw
aphid dapulak
Apocalypse Apokalipsis
apocalypse hulawat
Apocalypse Pahayag
Apocrypha Apokripos
apogee higlayo
apogee higlayo
apogee sa
apogee Duta
Apollo Apolo
apology patawad
apology paumanhin
apophasis pakunwari
apoplexy sumpong-ulo
aposiopesis untol
a posteriori
a masiranin
apostle alagad
Apostles' Creed
Apostles' Ang
Apostles' Sumasampalataya
apostolate gawalagad
Apostolic Age
Apostolic Alagaring
Apostolic Kapanahunan
apostolic alagarin
apostrophe kudlit
apotheosis pagdidiyos
apotheosis pamamathala
apparatus lansong
apparatus lansungan
apparently mandin
apparition bibit
appellate court
appellate hukuman
appellate sa
appellate paghahabol
appendectomy alishugpong
appendicitis maganghugpong
append idagdag
appendix hugpong
appendix malabulating
appendix hugpong
appetite ganang-kumain
appetizer pamutat
applause palakpak
applause palakpakan
apple mansanas
apple tree
apple puno
apple ng
apple mansanas
application salapat
applied mathematics
applied sinalapat
applied na
applied sipnayan
applied sinalapat
apprehension nganingani
apprentice aralan
approximate madapit
approximation dapit
apricot albarikoke
April Abril
a priori
a matwiranin
apron tapi
Apulia Apulya
aquamarine akwamarin
aquarium isdaan
aquarium pabiyay
Aquarius Manunubig
aqueous ganhaw
aqueous solubility
aqueous tubiging
aqueous kaluswinan
aqueous tubigin
Arabia Arabya
Arabian Arabyahin
Arabian Peninsula
Arabian angway
Arabian ng
Arabian Arabya
Arabic arabe
Arab Republic
Arab of
Arab Egypt
Arab Republikang
Arab Arabo
Arab ng
Arab Ehipto
arachnophobia takot-gagamba
arbitrary alitakdain
arboreal kakahuyning
arc bantok
archaeology palaagnusan
archangel arkanghel
archbishop arsobispo
archbishopric arkidiyosesis
archbishopric arsobispado
archdiocesan arkidiyosesano
archdiocese arkidiyosesis
archduchess artsidukesa
archduchy artsidukado
archduke artsiduke
archer mamamana
archipelago kapuluan
architecture agbarugan
architecture arkitektura
archive sinupan
archivist tagasinop
arcsecond saglit
arcsecond ng
arcsecond bantok
Arctic Artiko
Arctic Ocean
Arctic Karagatang
Arctic Artiko
Arcturus Makapanis
area dawak
are arya
Argentina Arhentina
argent pilak
argon argon
Argo Navis
Argo Daong
argumentum ad
argumentum baculum
argumentum katwirang
argumentum umaantig
argumentum sa
argumentum lakas
argumentum ad
argumentum populum
argumentum katwirang
argumentum umaantig
argumentum sa
argumentum sambayanan
aria arya
Arian Ariano
Arian Aryano
Aries Tupa
aril lamukot
aristate simain
aristocracy butikasan
Aristotle Aristoteles
arithmetic bilnuran
arithmetic density
arithmetic bilnuring
arithmetic kasiksikan
arithmetic mean
arithmetic bilnuring
arithmetic tamtaman
arithmetic progression
arithmetic bilnuring
arithmetic panisulong
Ark of
Ark the
Ark Covenant
Ark Kaban
Ark ng
Ark Tipan
armadillo armadilyo
armature paakma
arm bisig
arm braso
armed forces
armed hukbong-sandatahan
Armenia Armenya
armful galawad
armor baluti
armour baluti
armoury sandatahan
armpit kili-kili
army hukbong-kati
aroma alimyon
aromatic sanghayain
arousal pagka-libog
arraignment basansakdal
array tugday
arrest pagdakip
arrest warrant
arrest mandamiento
arrest de
arrest arresto
arrest warrant
arrest utos
arrest ng
arrest pagdakip
arrest warrant
arrest utos
arrest sa
arrest pagdakip
arrival dating
arrive dumating
arrowhead palaso
arrow pana
arrowroot aruro
arsenic basikut
artery arterya
artery luwasdaluyan
artesian well
artesian poso-artesyano
arthralgia sakit-sugpong
arthritis magansugpong
arthropod ugnaypaa
artichoke alkatsopa
articulation kasukasuan
artificial balat-bunga
artificial gawa-gawa
artificial intelligence
artificial gawa-gawang
artificial katalinuhan
artificial life
artificial gawa-gawang
artificial buhay
artist dalubsining
art sining
Aryan Aryo
asafoetida asapetida
asafoetida inggo
asbestos asbesto
ascetic aseta
ASEAN ASEAN
ASEAN Kapisanan
ASEAN ng
ASEAN mga
ASEAN Bansa
ASEAN sa
ASEAN Timog-Silangang
ASEAN Asya
asexual asog
asexual awansariin
asexuality aseksuwalidad
ash abo
Ashoka Ashoka
ashtray abuhan
ashtray titisan
ash tree
ash presno
Ash Wednesday
Ash Miyerkules
Ash ng
Ash Abo
Asia Asya
Asia sya
Asian Asyahin
as long
as as
as basta
asparagus esparago
asphalt aspalto
aspirin aspirina
ass asno
assassinate linguhin
assassination paglingo
assassin manlilingo
assault pagsalakay
assault panlalaban
assertion giitsabi
asset ariin
assignment takdang-aralin
assimilation paghiangay
association kapisanan
associative ugnayin
assonance parihunig
ass puwit
asterisk talantanda
asteroid asteroyd
asteroid asteroyde
asteroid malatala
asthma hika
asthmatic hikain
astraddle piyangka
astride bisaklat
astride nakabisaklat
astride pabisaklat
astrobiology talahaynayan
astrochemistry talakapnayan
astrodynamics talaisigan
astrology astrolohiya
astrology dalubbituinan
astrology dalubituinan
astrometry talasukatan
astronaut malintala
astronomer dalubtala
astronomical dalubtalain
astronomy astronomiya
astronomy dalubtalaan
astrophysics talaliknayan
astute tuso
asylum kalingaan
asymmetrical diparianyuin
asymmetrical tabingi
asymmetry awamparianyo
asyndeton lakdaw
atavistic mapanauli
at cost
at sa
at puhunan
at ease
at nakatayok
at ease
at tayok
Athens Atenas
athlete's foot
athlete's alipunga
Atlantic Ocean
Atlantic Karagatang
Atlantic Atlantiko
atlas atlas
atmosphere kaanginan
atmosphere kahanginan
atmospheric pressure
atmospheric bunto
atmospheric ng
atmospheric hangin
atmospheric pressure
atmospheric diing
atmospheric angin
atmospheric pressure
atmospheric kaanginaning
atmospheric diin
atoll karang
atomic mass
atomic mulpikning
atomic bugat
atomic mass
atomic unit
atomic isahin
atomic ng
atomic mulpikning
atomic bugat
atomics dalubmulpikan
atomics mulpikan
atomic weight
atomic mulpikning
atomic bigat
atom mulapik
atrium silid-anuran
atrocity gawaing
atrocity may
atrocity sukdulang
atrocity pagpapahirap
at sign
at utong
attention lingil
attorney abogado
attorney manananggol
attraction higom
attractive kaakit-akit
attribute katangian
auction amboy
auction pasalukan
audibility karinggan
audiometer panukat-tunog
audiovisual dinig-tanawin
auditorium bulwagan
auditor tagasuri
augend dagdagin
auger balibol
auger barena
August Agosto
auricle silid-anuran
aurochs uro
Australia Australia
Austria Austria
Austronesian Sampuluanin
autism autismo
autobiography saribuhay
autocorrelation sarilsatugnay
autolysis saribilos
automatic sarimuin
automobile awtomobil
automobile batlag
automobile isugang
automobile batlag
autumn taglagas
available lagap
avenue abenida
avenue kabulusan
average balasak
aviary ibunan
aviator manlilipad
avocado abokado
Avogadro's number
Avogadro's Abogadrong
Avogadro's bilang
aware naiino
aware nakaiino
awareness ino
awareness kainuhan
awl punson
axe palakol
axhandle landa
axillary biklatan
axiology dalubhalgahan
axiology halgahan
axiom batlain
axis taluhog
axle gargaran
axon sulid
axon ng
axon dagandam
azalea asaleya
Azawad zawad
Azerbaijan Aserbayan
baby bebot
baby sanggol
babysitter tag
babysitter -alag
babysitter ng
babysitter bat
babysitter y
babysitter ya
bachelor baguntao
bachelor batsilyer
bachelor dalubhasa
bachelorette party
bachelorette despedida-de-soltera
Bachelor of
Bachelor Science
Bachelor dalubhasa
Bachelor ng
Bachelor agham
bacillus habishay
backbone bangananan
backbone guluguran
background sanligan
back huling
back bahagi
back huling
back dulo
back likod
backpack kabalyas
back pinakalikod
backscratcher pangamot
backscratcher ng
backscratcher likod
backstroke balangay
backstroke himbalangay
backward patalikod
backyard duluhan
backyard likod-bahay
bacteria bakterya
bacteria ishay
bacterium ishay
bad bastos
badger badyer
badger tasugo
badge tsapa
bad mali
bad masama
badminton badminton
bad sira
bagasse yamas
bag bulsa
bagel beygel
bagpipes gayta
bag supot
Bahamas Bahamas
Bahrain Bahrain
bail lagak-panagot
bail piyansa
bait pain
bakery panaderya
bakery tinapayan
baking soda
baking bikarbonato-de-sosa
balance of
balance payments
balance timbangang-bayad
balance sheet
balance dahon
balance ng
balance katuusan
balcony balkonahe
balcony palko
balcony tambusan
bald kalbo
bald kutipyo
baldness upaw
bald upaw
Balearic Islands
Balearic Kapuluang
Balearic Balear
ballad tulamat
ball-and-socket joint
ball-and-socket tumbok-salo
ballast tulakbahala
ball bayag
ball bola
ballistics balistika
ball itlog
balloon balun
balloon lobo
ballot balota
ballot box
ballot urna
ballpoint pen
ballpoint bolpen
ballpoint pen
ballpoint bolpoint
balls bayag
balsam pampalubag-loob
Baltic Baltiko
Baltic Sea
Baltic Dagat
Baltic Baltiko
balustrade palababahan
bamboo kawayan
banana alinsanay
banana puno
banana ng
banana saging
banana saging
band-aid koritas
band banda
Bangkok Bangkok
Bangladesh Bangglades
ban ipasahat
bank bangko
bankrupt bangkarota
bankruptcy kiyebra
bankrupt pagkalugi
banneret pandipandi
banner tung-ol
banns tawag
banns sa
banns kasal
banyan balete
banyan balite
banyan baliti
baozi siyopaw
baptismal font
baptismal benditahan
baptism binyag
baptism pagbibinyag
baptize binyagan
bar barikan
barbecue sauce
barbecue salsang
barbecue ihaw
barber barbero
barb tawes
barefoot yapak
bare hubad
bare nahubaran
barge gabara
bark balatkahoy
bark balat
bark ng
bark kahoy
bark kahol
bark tahol
barley sebada
barnacle taliptip
barometer barometro
barren kumil
barter tuwayan
bar tiho
basalt basalto
basalt batumbakal
baseball beysbol
base hukbuhing
base takad
basement silong
base takad
base tangkap
base year
base takad
base na
base taon
base year
base taong
base takad
basil balanoy
basilica basilika
basilisk basilisko
basin palanggana
basis batayan
basket bakol
basketball basketbol
basket basket
basket buslo
basket kaing
basket pangnan
basket takuyan
basket tiklis
bass lagong
bass malagong
bassoon bahon
bastard anak
bastard sa
bastard labas
baste lagwatan
baste lagwatin
bathe maligo
bath ligo
bath paligo
bath paliguan
bath paliligo
bathroom banyo
bathtub banyera
batik batik
batiste batista
Batman Batman
bat paniki
batter rebosahin
battery baterya
battery salansan
battle cry
battle siglaban
battle labanan
battleship bapor-pandigma
bauxite bawhita
bay look
bazaar tiangge
BC U
BC K
bdellium bedelyo
beach dalampasigan
beagle aso
beaker lumbo
beam barakilan
beam sepo
beam sinag
bean katsang
beard balbas
beard bungot
beard gumi
beard yangot
bearing salo
beat around
beat the
beat bush
beat lumigoy-ligoy
beat around
beat the
beat bush
beat magpaligoy-ligoy
beat around
beat the
beat bush
beat pasikut-sikot
beat up
beat bugbugin
beat up
beat mabugbog
beat up
beat mambugbog
beautiful maganda
beauty ganda
beauty kagandahan
beauty pageant
beauty paringal
beauty pageant
beauty timpalak-kagandahan
beaver kastor
because dahil
because of
because dahil
because sa
become mag
become ng
bedbug surot
bed kama
bedouin Bedwino
bedridden datay
bedridden nakaratay
bedridden nasa
bedridden banig
bedridden ng
bedridden karamdaman
bedrock lunas
bedrock na
bedrock bato
bedrock palanas
bedroom silid-higaan
bedroom silid-tulugan
bed sheet
bed kumot
bee bubuyog
bee-eater manunubing
bee-eater parikparik
beef karneng
beef baka
beefsteak bistek
beehive bahay-pukyutan
beehive panilan
beer serbesa
beeswax pagkit
beet remolatsa
beggar pulubi
beggar tanglo
beginner singki
beg magpalimos
begonia begonya
behind nasa
behind likod
behind sa
behind likod
beige murang
beige kayumanggi
beignet bunwelos
Beijing Beijing
being kamagingan
Belarus Belarus
belch dighal
belfry batingawan
Belgium Belhika
Belgrade Belgrado
belief paniwala
belittle maliit
belittle maliitin
Belize Belise
Belize Belize
bellicose pinga
bell kampana
bellows bubulusan
bellows bulusan
bellows puwelye
belly puson
belly tiyan
bench bangko
Benin Benin
be oneself
be maging
be sarili
be ng
be isa
beriberi pamamanas
Berlin Berlin
Berlin Wall
Berlin Pader
Berlin ng
Berlin Berlin
Bermuda grass
Bermuda balbalut
Bermuda grass
Bermuda warit
Bern Berna
berry tagtasbunga
beryl berilyo
beryllium berilyo
best man
best abay
best na
best lalaki
best pinakamabuti
beta beta
beta particle
beta tipik-beta
beta radiation
beta dagilap-beta
betatron pandarasig-beta
betel leaf
betel buyo
betel pepper
betel ikmo
Bethlehem Bel
Bethlehem n
bet patnaw
bet pusta
betrothal talimbuhol
between gitna
beware of
beware the
beware dog
beware mag-ingat
beware sa
beware aso
bewildered lingming
bewildered nalingming
bias ayo
Bible Bibliya
biblical bibliyahin
bibliography talaaklatan
bib salumbaba
bib sapula
biceps dagadagaan
bicuspid talubagang
bicycle bisikleta
bid tampa
bier patungan
bier ng
bier kabaong
bigamy bigamiya
bigamy pagdadalawang-asawa
big cheese
big malaking
big tao
Big Dipper
Big Malaking
Big Tabo
big malaki
bilateral symmetry
bilateral duhapaniging
bilateral parianyo
bile apdo
bilingual dalwika
billiards bilyar
billion bilyon
billion gatos
billion libong-angaw
billion sanggatos
bill of
bill exchange
bill libransa
bill of
bill rights
bill katipunan
bill ng
bill mga
bill karapatan
billy goat
billy lambayan
bingo binggo
binoculars duhansipat
binomial distribution
binomial duhakaying
binomial pamamahagi
binomial duhakay
bioacoustics haytunugan
biochemistry biyokimika
biochemistry haykapnayan
biochrome haykulay
biodiversity saribuhay
biogenesis mulambuhay
biological haynayanin
biological haynayin
biologist haynayanon
biologist manghahaynay
biology byolohiya
biology haynayan
biomass haykimpal
biomechanics haysigwasan
biophysics hayliknayan
biophysics haysugnayan
biopsy surimbuhay
biosphere haybulog
biotechnology hayaghimuan
bipolar disorder
bipolar kagusutang
bipolar may
bipolar dalawang
bipolar dulo
birch abedul
bird ibon
birdling inakay
bird of
bird paradise
bird ibon
bird ng
bird paraiso
bird of
bird prey
bird limbas
biretta bireta
birth control
birth supil
birth sa
birth panganganak
birth control
birth supil-supling
birthday kaarawan
birthmark balat
biscuit biskwit
bisector talaktak
bisexual duhansariin
Bishkek Bishkek
bishop alpil
bishop arpil
bishop obispo
bishopric diyosesis
bishopric obispado
bistro bistro
bite kagat
bitter mapait
bitter melon
bitter ampalaya
bittersweet agridulse
bittersweet matamis
bittersweet na
bittersweet mapait
blackberry sapinit
blackberry sarsamora
black-eyed pea
black-eyed paayap
black-eyed pea
black-eyed payap
black eye
black pasa
black sa
black mata
black hole
black itim
black na
black butas
black itim
black magic
black mahika
black negra
black pepper
black pamintang
black itim
black rhinoceros
black itim
black na
black rinosero
Black Sea
Black Dagat
Black Itim
blade panid
blade talim
bland matabang
blank verse
blank ditugmang
blank taludturan
blast furnace
blast dagisdising
blast dapugan
blast pasabugin
blast sabog
bleat me
bleat mee
bleat mumee
bleed duguan
bleed pagdugo
bleed pagkalat
bleed pagtae
blind bulag
blind date
blind sitang
blind ligaw
blindfold piring
blister libtos
blister paltos
blitzkrieg blitzkrig
blond buhuk-mais
blond rubya
blond rubyo
blood bank
blood bangko
blood ng
blood dugo
blood dugo
blood kadugo
blood kamag-anak
bloodletting padugo
bloodletting pagtatabad
bloodletting tabad
bloodstone alakeka
bloodstone dugumbato
blood tagalog
blood vessel
blood daluyang-dugo
blouse blusa
blowgun sumpak
blowgun supla
blowgun suplador
blowjob tsupa
blowpipe ihip
blowtorch suplete
blue asul
blueberry arandanong
blueberry bughaw
blue blood
blue dugong
blue bughaw
blue blood
blue dugong
blue mahal
blue bughaw
blue green
blue bughawing
blue lunti
blue screen
blue of
blue death
blue Bughaw
blue na
blue Tabing
blue ng
blue Kamatayan
bluff kalastugan
bluff lastog
bluff palipad-hangin
bluff wikang
bluff palagwa
blush himula
blush himulahin
blush kolorete
blush paghihimula
boa constrictor
boa banyas
boa constrictor
boa manlilingkis
boar bulugan
boat bangka
bobbin busug-sudlan
bobbin simpian
bob haircut
bob buhok
bob na
bob pugok
bog burak
bog kaburakan
bog kuminoy
Bogota Bogot
bog tumok
Bohemia Bohemya
Bohemian Bohemyo
boiled egg
boiled nilagang
boiled itlog
boiling pagkukumulo
boiling pagkulo
boiling point
boiling tungos
boiling ng
boiling pagkulo
bok choy
bok petsay
bombardment pagtampol
bombardment tampol
bomb bomba
bond bigkis
bond market
bond bilihan
bond ng
bond panagot
bond panagot
bone buto
boneless hukhok
bone marrow
bone bulalo
bone weso
bon voyage
bon maligayang
bon paglalakb
bon y
booger kulangot
bookbinder tagabalat-aklat
booklet muntaklat
bookshop bilihang-aklat
bookshop tindahang-aklat
bookworm palabasa
boom duklay
boomerang bumeran
boomerang haliryo
boot bota
borax pinse
bored kakatamad
boron boro
borrow hiraman
borrow hiramin
borrow humiram
borrow manghiram
Bosnia and
Bosnia Herzegovina
Bosnia Bosniya
