<1>	Kombe la Mapinduzi liamshe soka la Zanzibar Jan 17, 2013	Revolution Cup to uplift Zanzibar soccer. January 17, 2013.
<14>	Si mafanikio madogo kwa timu ambayo watu wengi hawaijui ama wanaijua lakini hawaitilii maanani.	that is not a little achievement for a team that many do not know or know it but are not keen about it.
<15>	Timu ya pili kutoka visiwani humo ambayo ilinivutia ni Jamhuri ya Pemba, hawa ni mabingwa wa ligi kuu Zanzibar kwa msimu uliopita mwaka 2012.	the second team from the islands that thrilled me is the Republic of Pemba, they are the champions of Zanzibar Premier League for the previous season 2012.
<16>	Ilianzishwa mwaka 1953 ikiwa na makazi yake mjini Wete Pemba.	it was founded in the year 1953 with its residence in Wete Pemba town.
<17>	Wao wamechukua Kombe la Mapinduzi mara moja yaani mwaka 1998, na mwaka 2012 walifika fainali wakafungwa na Azam FC.	they have won the Mapinduzi Cup once in the year 1998 and reached the finals in the year 2012 and beaten by Azam FC.
<18>	Jamhuri ya Pemba iliushangaza umma kwa kuifunga Mtibwa Sugar magoli manne kwa moja (4-1) katika mechi ya ufunguzi wa kundi B michuano ya Mapinduzi iliyomalizika juzi.	the Republic of Pemba astonished the public by scoring four goals to one (4-1) against Mtibwa Sugar in the opening match of group B in the Mapinduzi tournament that concluded recently.
<19>	Ina kikosi bora kinachoweza kuleta ushindani katika soka la Afrika, lakini macho mangapi yanashuhudia uwezo huo?	they have a good squad that can bring success for African soccer, but how many eyes are witnessing this ability?
<20>	Lengo la makala haya ni kuwafungua macho viongozi wa Chama cha Soka Zanzibar (ZFA), kuzitangaza zaidi timu zao kwa kupitia michuano mikongwe kama hii ya Mapinduzi.	the aim of these articles is to enlighten the leaders of Zanzibar Football Association (ZFA), to market their teams more through old tournaments such as this of Mapinduzi.
<21>	Historia inaonyesha mwisho wa michuano ya Mapinduzi wachezaji wa timu za Zanzibar wanaishia kuchukuliwa na timu zilizoalikwa.	history shows that at the end of the Mapinduzi tournament, players of the Zanzibar teams end up being taken by the visiting teams.
<22>	Hiyo si sifa wala jambo la kujivunia maana kuchukuliwa wachezaji ina maana moja tu ambayo ni kudhoofisha soka la Zanzibar.	that is not a merit or something to be proud of since the taking of players only means one thing, the weakening of Zanzibar's soccer.
<23>	Vijana wa Zanzibar wanapenda kucheza soka, lakini wanaonekana kurudishwa nyuma na mifumo mibovu ya viongozi wao.	the youths of Zanzibar like playing soccer but they appear to be taken back by the poor systems of their leaders.
<24>	Suala la viwanja bora vyenye viwango na mikakati ya vyanzo vya mapato kwa timu hizo ni kitu cha kuzingatia sana.	the issue of quality standard fields and strategies of income sources for the teams is something to be largely considered.
<25>	Dunia sasa inaendeshwa kwa ujasiriamali katika michezo, biashara nyingi zinatangazwa na vilabu vya mpira wa miguu.	the world is now driven by entrepreneurship in sports, many businesses are being advertised by football clubs.
<26>	Uchumi wa Zanzibar unaweza kukua kwa kutegemea soka ikiwa wataweka mbele malengo ya wachezaji wao.	Zanzibar's economy can grow by relying on soccer if they will prioritize the interests of their players.
