<1>	(0.000-1.803)	<no-speech>	<no-speech>
<23>	(154.380-165.220)	kama kuna wasiwasi wowote ule wa jinsi haki inavyotolewa hasa kutokana na tuhuma za kukosa uadilifu basi haki haiwezi kuchukuliwa kama kweli imetendeka .	if there is any worry on how justice is being expended especially from allegations of lack of integrity then justice cannot be assumed it happened .
<24>	(165.220-171.604)	wajibu wa mahakamani kufanya yote mawili kutenda haki nakufanya haki ionekane imetendeka .	the duty of the court is to do both the two issuing justice and making justice done visible .
<25>	(171.604-178.386)	kisha Doctor Migiro akawanyoshea vidole baadhi ya wananchi ambao wamekuwa wakilalamikia mahakama .	then Doctor Migiro pointed fingers at some of the citizens who have been complaining about the courts .
<26>	(178.386-183.880)	swala la rushwa swala la ukosefu wa maadili tulizungumza kwa wazi .	we spoke about the issue of bribes and lack of integrity openly .
<27>	(183.880-187.929)	na bila shaka tunapolizungumza kwa uwazi wengine wanachukulia ni kubwa sana .	and it's no doubt when we spoke about it openly some assumed it is a very big matter .
<28>	(187.929-198.272)	ni kweli ni kubwa na pale ambapo tunaona kuna kukiukwa kwa maadili je tunatoa taarifa wakati unaohusika na kwa watu wanaohusika .	it is sure huge on where we can see there's a violation of ethics are we making reports at the required time to the concerned people .
<29>	(198.272-211.343)	sasa kuna wengine wako tayari kunong'ona kwamba fulani anadai rushwa <sta> lakini hawako tayari kujitokeza kwenye vyombo vinavyo husika kama ni mahakama au kama ni chakupuru au dola <sta> kueleza yale yanayotoke- -- .	now there are those who are ready to complain that so and so is soliciting a bribe but they are not ready to come out to the media concerned like the courts or authorities to explain what is -- .
<30>	(211.343-224.996)	kaulimbiu ya mkutano mkuu wa mwaka <breath> wa majaji ni kujitathmini katika njia bora ya kuboresha mahakama na utoaji wa haki ambapo unatarajia kufikia tamati siku ya Jumatano .	the motto of the judges' annual general meeting is self-evaluation in better ways of improving courts and issuing of justice which is expected to end on Wednesday .
<31>	(224.996-228.225)	Amiku Sibutunga T_B_C Mwanza .	Amiku Sibutunga T_B_C Mwanza .
<32>	(228.225-229.042)	<no-speech>	<no-speech>
<33>	(229.042-230.286)	naam kutoka Mwanza tugeuki- %incomplete	indeed from Mwanza let's turn to %incomplete
