<1>	Matumaini yapo Utalii kufufuka	there are expectations for tourism to overflow
<12>	"Mbali na mandhari za kuW fanya mabadiliko vutia Pwani, watalii vile vile wanaweza kutembelea mbuga za wanyama za Tsavo Mashariki na Magharibi kwenda kujionea wanyama pori," Waziri akasema.	"apart from landscapes that makes changes in attractions at the Coast, tourists can visit animal parks of Tsavo East and West to sea wild animals," the minister said.
<13>	Meneja wa Mauzo wa hoteli ya Turtle Bay Beach Club, Watamu, Bi Sabine Pruss alisema kuwa mji wa Watamu umejipatia sifa kwa kuhifadhi mazingira ya bahari na kasa.	the sales manager of Turtle Bay Beach Club, Watamu, Miss Sabine Pruss, said that the town of Watamu are reputed for safeguarding the sea environment and turtles.
<14>	Bi Pruss alisema hoteli hiyo hivi majuzi ilijipatia tuzo ya kimataifa kutokana na kutunza fuo za bahari na uhifadhi wa maneo ambayo kaza hutaga mayai.	Miss Pruss said that the hotel recently received an international award for taking care of the sea beach and safeguarding the areas that turtles lay eggs.
<15>	"Ni muhimu kwa wakazi wa Pwani na wamiliki wa hoteli kutunza mazingira ya bahari kwani ndiyo kivutio kikubwa cha watalii," Bi Pruss akasema.	"it is important for the residents and hotel owners to take care of the sea environment because it is a great tourist attraction," Miss Pruss said.
<16>	Bi Pruss alisema hoteli hiyo huwa inatekeleza kampeni za kuokota taka katika ufuo wa bahari kwa kuhusisha wanafunzi na wakazi wa Watamu.	Miss Pruss said that the hotel conducts garbage collection campaigns on the sea beach by involving pupils and the residents of Watamu.
<17>	Mji wa Watamu vile vile umejaliwa na mbuga ya viumbe wa bahari ikiwa pamoja na samaki aina mbali mbali.	Watamu is likewise blessed with a sea creature park that has different types of fish.
<18>	Hoteli katika mji huo huvutia watalii kutoka Uingereza, Italia na Ujerumani na pia watalii kutoka humu nchini.	hotels in this town attract tourists from England, Italy and Germany and also tourists from within the country.
<19>	Ili kuinua sekta ya utalii nchini, Hazina Ya Utalii (TF) ilifadhili Bodi ya Utalii (KTB) kwa kiasi cha Sh400 milioni ambazo zitatumika kwa kampeni za kuvutia watalii humu nchini.	in order to improve the tourism sector in the country, the Tourist Fund (TF) assisted the Kenya Tourists Board (KTB) with an amount of 400 million shillings which will be used in the campaign to attract tourists within the country.
<20>	Afisa Mkuu wa TF, Bw Joseph Cherutoi alisema fedha hizo zitatumika kwa kutangaza Kenya katika masoko ya utalii ya kimataifa na vile vile kampeni za kuwahimiza Wakenya watembelee nchi yao.	the Director of TF, Mister Joseph Cherutoi, said that money will be used to advertise Kenya in the international tourism markets and also campaigns to encourage Kenyans to visit their country.
<21>	Katika mwaka huu wa fedha, alisema, hazina ya TF imetenga Sh400 milioni ambapo kiasi cha Sh260 milioni kimewahi kukabidhiwa kwa bodi ya KTB.	in this financial year, he said, the TF treasury has set aside 400 million shillings where the amount of 260 million shillings has been handed to the KTB board.
<22>	Akiongea na Taifa Jumapili katika hoteli ya EnglishPoint Marina, Mombasa, Bw Cherutoi alisema kuwa ufadhili huo utaweza kusaidia KTB kufanya mauzo katika masoko ya Uingereza, Ujerumani, Ufaransa na Italia ili kuvutia watalii zaidi kutoka Ulaya.	speaking to Taifa Jumapili at the EnglishPoint Marina hotel, Mombasa, Mister Cherutoi said that the sponsorship will help KTB with sales in the markets of England, Germany, France, and Italy in order to attract more tourists from Europe.
<23>	Bw Cherutoi aliarifu kuwa KTB vile vile itafanya mauzo katika masoko yanayoinukia ya China, India na nchi za Mashariki ya Kati.	Mister Cherutoi said that KTB will also do marketing in the rising markets of China, India and countries from the Middle East.
<24>	Bodi hiyo, alisema, itaendeleza kampeni za kuvutia Wakenya kutembea nchini yao katika harakati za kufufua utalii.	the board, he said, will develop campaigns of attracting Kenyans to travel within their country in the process of bring tourism back to life.
<25>	Mnamo Jumatano wiki iliyopita, Bw Balala, alizindua kampeni nyingine ya kipekee inayolenga kuimarisha utalii wa Kenya.	last Wednesday, Mister Balala launched another unique campaign that aims at strengthening Kenyan tourism.
<26>	Kampeni hiyo inayoendelezwa kwa njia ya SMS inalenga kuwavutia watalii walio raia wa Kenya katika sehemu mbalimbali za nchi.	the campaign that was spread through SMS aims at attracting tourists who are Kenyan citizens to different parts of the country.
<27>	Kampeni hiyo inatekelezwa kutokana na ushirikiano wa KTB na Kampuni ya Safaricom ambayo ina wateja wengi kutoka humu nchini.	the campaign was conducted from a partnership of KTB and the Safaricom company which has many customers from within the country.
<28>	Mpango huo unatekelezwa kwa kiasi cha Sh30 milioni huku KTB ikitarajiwa kujipatia Sh17 milioni ambazo pia zitatumika kwa kampeni za kuvutia watalii.	the plan was conducted at an amount of 30 million shillings while KTB is expected to take 17 million shillings that will also be used in the campaigns of attracting tourists.
<29>	Bw Cherutoi aliunga mkono kampeni hiyo ya ujumbe mfupi wa simu ya mkono akisema kuwa Wakenya wengi wataweza kufahamishwa kuhusu vivutio vya utalii katika maeneo mbalimbali nchini.	Mister Cherutoi supported the short phone message campaign saying that many Kenyans will be able to be informed about tourists attractions in different areas in Kenya.
<30>	"Watalii kutoka humu nchini ni muhimu kwa kuimarisha sekta ya utalii kwani wanaweza kutalii wakati wowote ikilinganishwa na watalii kutoka ng'ambo ambao huja hapa wakati wa msimu wa baridi kali katika nchi za Magharibi," Bw Cherutoi akasema.	"tourists from within the country are important for improving the tourism sector because they can visit any time compared to foreign tourists who come here during very cold seasons in the western countries," Mister Cherutoi said.
<31>	Mkurugenzi Mkuu wa KTB, Bw Muriithi Ndegwa alisema kuwa Wakenya ambao watashiriki katika kampeni hiyo wataweza kujishindia tuzo mbalimbali ambazo ni pamoja na likizo zitakazofadhiliwa na KTB.	Senior Director of KTB, Mister Muriithi Ndegwa, said that Kenyans who will participate in the campaign will be able to win different awards including a vacation that would be sponsored by KTB.
<32>	Bw Ndegwa alisema Wakenya watakaoshiriki katika kampeni hiyo wataweza kujishindia likizo katika hoteli za Pwani ama likizo katika kambi zilizo katika mbuga za wanyama.	Mister Ndegwa said Kenyans who will participate in the campaign will be able to win vacations at Coastal hotels or vacations at the camps located in the animals park.
<33>	"Kampeni hii ya SMS inalenga kuwafahamisha Wakenya kuhusu vivutio vipatikanavyo humu nchini ili watalii wa humu nchini watembelee nchi yao na kujivinjari," Bw Ndegwa akasema.	"this SMS campaign aims at informing Kenyans about attractions which are found in the country so that local tourists can visit their country and enjoy themselves," said Mister Ndegwa.
<34>	Mwenyekiti wa Chama cha Utalii Pwani ya Kenya (KCTA), Bw Mohamed Hersi aliunga mkono mpango huo akisema kuwa utaweza kuvutia Wakenya kutembea sehemu mbali mbali za nchi kujipumzisdha na kujionea mambo mbali mbali ya kuvutia.	the chairperson of the Kenyan Coastal Tourists Association (KCTA), Mister Mohamed Hersi, supported the move saying that it will attract Kenyans to travel to different parts of the country to relax and see different attractions.
<35>	Bw Hersi alisema katika kipindi cha miaka miwili, hoteli katika maeneo ya Pwani zimekuwa zikitegemea watalii kutoka humu nchini.	Mister Hersi said for two years, Coastal hotels have been expecting domestic tourists.
<36>	"Wakati umefika kwa wawekezaji katika sekta ya utalii kujali watalii kutoka humu nchini kwani kama si hao, hoteli nyingi zingefungwa kutokana na uhaba wa wageni," Bw Hersi akasema.	"the time has come for investors in the tourists sector to consider domestic tourists because, if not for them, many hotels would have closed due to few visitors," Mister Hersi said.
