<1>	Wamefungua milango yote ya nchi na madirisha pia!	they have opened up all the doors of this country, and the windows too!
<12>	Chukulia mfano huo huo wa sekta ya utalii.	take, for example, the tourism sector.
<13>	Tuliambiwa kuwa kuanzishwa kwa mahoteli ya wawekezaji wa kigeni katika maeneo ya utalii kungeliwawezesha wazawa kupata masoko ya bidhaa zao, lakini uzoefu umeonyesha picha tofauti kabisa.	we were told that the introduction of hotels owned by foreign investors in tourist areas would enable the natives to access markets for their products, but experience has shown a completely different picture.
<14>	Tuna mahoteli ya namna hiyo hapa nchini ambayo hata juisi tu za machungwa zinatoka Afrika Kusini; achilia mbali ndizi mbivu.	we have such hotels in the country, in which even the orange juice comes from South Africa, let alone bananas.
<15>	Katika hali hiyo, wakulima wa Tanzania na watengeneza bidhaa zetu wengine hawawezi kunufaika na kufunguliwa kwa mahoteli hayo nchini.	in this case, Tanzanian farmers and our other manufacturers cannot benefit from opening these hotels in the country.
<16>	Hivi karibuni niliwahi kukaa, kwa siku moja, katika hoteli moja ya aina hiyo mkoani Arusha na kujaribu kuhesabu vitu vya Kitanzania (made in Tanzania) katika hoteli hiyo.	just recently, I once stayed one night in one such hotel in the Arusha province and tried to count the number of Tanzanian things (made in Tanzania) in that hotel.
<17>	Matokeo yalinisikitisha mno kwa sababu karibu kila kitu katika hoteli hiyo kilikuwa ni cha kigeni – kuanzia maji ya kunywa hadi sosi za nyanya!	the result was so frustrating, because almost everything in the hotel was foreign - from drinking water to tomato sauce!
<18>	Lakini pia chukulia mfano mwingine wa suala la ajira.	but let's also consider another example, the employment issue.
<19>	Tuliambiwa kuwa kufunguliwa kwa milango hiyo kungeongeza ajira nchini, lakini tumeshuhudia baadhi ya mahoteli hayo yakiajiri hadi wakaribishaji wageni kutoka nje; achilia mbali kwenye nafasi za uongozi wa idara zao mbalimbali ambako wamejaa maofisa kutoka nchi zao.	we were told that opening our doors to foreign investors would increase jobs in the country, but we have witnessed some of these hotels employ porters from abroad to welcome foreign guests, not to mention the positions of leadership of their various departments, which are full of officials from their countries.
<20>	Hiyo inathibitisha kwamba si tu tuliongopewa kuhusu ongezeko la ajira, lakini pia hata zile tambo nyingine kwamba wazawa tungechota ujuzi na uzoefu kutoka kwa wawekezaji hao wa kigeni nazo zimebakia ndoto tu.	this proves that we have not only been misinformed about the increase in employment, but also that the other jobs that would have allowed the natives to acquire knowledge and experience from foreign investors have all ended up being dreams.
<21>	Huo ujuzi na uzoefu utachotwaje wakati nafasi zote nyeti wanashika wenyewe wageni?	how will that knowledge and experience be harnessed while all the relevant positions are held by foreigners themselves?
<22>	Na kama nilivyosema mwanzo, hali ni hiyo hiyo karibu katika sekta zote nyeti nchini za biashara; yaani madini, utalii, viwanda, mabenki, mawasiliano nk.	and as I said from the onset, the same scenario is witnessed in all important business sectors of the country, namely mining, tourism, industries, banks, contacts et cetera.
<23>	Faraja pekee katika kipigo hiki tunachokipata kutoka kwa uwekezaji wa kigeni tulioukaribisha kwa kufungua milango yote na madirisha yote ingekuwa katika mapato.	the only comfort to this blow that we get from the foreign investment, which we welcomed by opening all doors and all windows, should have been in earnings.
<24>	Lakini kama utafiti wa Dk. Kitima unavyoonyesha, mapato yote huishia nje ya nchi yanakotoka makampuni hayo – Sh. trilioni 1.2 kwa mwaka, na hiyo ni sekta ya utalii tu!	but, as Doctor Kitima's research shows, all income ends up abroad, where those companies come from - 1.2 trillion shillings a year, and that's only in the tourism industry!
<25>	Nina hakika hata katika ulipaji kodi tunapigika vibaya vilevile.	I am sure we even go wrong in tax repayment too.
<26>	Sasa, kama tunapigika kwenye mapato na kodi, kama tunapigika kwenye ajira, kama tunapigika kwenye matumizi ya bidhaa zinazotengenezwa hapa nchini, kama tunapigika kwenye suala la kuchota ujuzi na uzoefu nk, kwa nini tusihoji tunanufaikaje na wawekezaji hawa wa kigeni tuliowafungulia milango yote na madirisha yote ya nyumba pia?	now, if we are duped on income and rent, if we are duped on jobs, if we are struggling with the use of products manufactured in the country, as we strive for the acquisition of knowledge and experience et cetera, why do we not ask the question as to how we are benefitting from these foreign investors, to whom we opened all the doors and windows of our house?
<27>	Ni kwa kuzingatia yote hayo angalau katika hili mimi binafsi nakubaliana na msimamo wa Rais wa Zimbabwe, ‘Komredi’ Robert Mugabe ambaye ameshinikiza uwepo wa sheria inayowalazimisha wawekezaji wageni kuwa na ubia na wazawa.	it is in light of all of that, at least in this, that I personally agree with the position of the President of Zimbabwe, 'Comrade' Robert Mugabe, who has pressed the introduction of a law that forces foreign investors to have a partnership with the natives.
<28>	Kila biashara kubwa nchini Zimbabwe, kupitia Tangazo la Serikali Na. 280 la mwaka 2012, sasa humilikiwa na wageni kwa asilimia 49 tu na wazawa asilimia 51.	every major business in Zimbabwe, according to the government announcement number 25 of the year 2012, is now 49 percent owned by foreigners and 51 percent owned by the natives.
<29>	Na hiyo ni kwa sekta zote za madini, utalii, nishati, usafiri, mawasiliano, elimu na fedha.	and the same goes for all sectors, including mining, tourism, energy, transport, communication, education, and finance.
<30>	Ingawa ‘Komredi’ Mugabe ameshutumiwa sana kwa uamuzi wake huo uliotafsiriwa kuwa ni wa kidikteta, lakini naamini alilenga katika kuifanya nchi yake inufaike ipaswavyo na uwekezaji huo wa kigeni.	although 'Komredi' Mugabe has been severely criticized for his decision for being dictatorial, I believe he aimed to make his country benefit more from foreign investment.
<31>	Kuwafanya wazawa wamiliki asilimia 51 ya hisa katika kila biashara kubwa kunahakikisha kuwa angalau mapato ya asilimia hiyo hiyo 51 yatabaki nchini Zimbabwe kila mwaka kuiendeleza nchi hiyo, na si kuishia yote nje ya nchi (kupitia capital flight) anakotoka mwekezaji kama ilivyokuwa zamani.	making the natives own 51 percent of the shares in each major enterprise ensures that at least 51 percent of the earnings will remain in Zimbabwe each year to bolster the country and not end up abroad (through capital flight), in the countries the investors come from, as it has been in the past.
<32>	Ikumbukwe kwamba wawekezaji wote wa kigeni wanapoingia katika nchi yoyote hawana lengo lolote la dhati la kuiendeleza nchi husika.	it should be remembered that when all foreign investors enter into any country, they have no genuine objective to develop the country concerned.
<33>	Lengo lao kubwa pekee ni kujitengenezea mapesa na kuyapeleka kwao kila mwaka.	their only major goal is to make their money and to take it back to their country each year.
<34>	Na ndiyo maana hujiondokea haraka kwa kufunga au kuuza biashara zao wanapoona hawapati tena faida au kipindi cha unafuu wa kodi (tax holiday) walichopewa kinapomalizika.	and that's why they are quick to leave and close shop or to sell their businesses when they see they are not getting enough profit or when the period of low tax (tax holiday) that they were given elapses.
<35>	Lakini hali ni tofauti kwa mwekezaji mzawa.	but the situation is different for a native investor.
<36>	Yeye mapato yake (mabilioni yake) anayoyapata kila mwaka atayazungusha hapa hapa nchini – mathalan atajenga majumba, ataanzisha shule, atajenga kiwanda na mambo mengine mengi tu ambayo, hatimaye, yataiendeleza nchi kwa namna moja au nyingine.	he will reinvest all his earnings (in billions) that he receives each year into the country. for example, he will build houses, set up schools, build a factory and many other things that, in the end, will develop the country in one way or another.
<37>	Naamini hata zile nchi za Mashariki ya Mbali – Malaysia, Singapore, Indonesia nk ambazo zilipiga hatua haraka kimaendeleo zina sheria hizi za kuhakikisha wazawa wanakuwa na hisa za kutosha katika kila biashara kubwa inayoanzishwa na mwekezaji wa kigeni.	I believe that even the Far East countries - Malaysia, Singapore, Indonesia and others that rapidly advanced in development - have these laws to ensure that the natives have enough shares in every major enterprise established by a foreign investor.
<38>	Wazawa wa Malaysia, kwa mfano, walinufaika sana na utaratibu huo chini ya utawala wa Dk. Mahathir Mohamed hadi Juni 2009 wakati mtawala mwingine wa nchi hiyo, Najib Razak, alipobadilisha mambo, na sasa nchi hiyo imeanza kuyumba kiuchumi kwa sababu mapesa mengi yanayotengenezwa kila mwaka nchini humo huishia nje yanakotoka mashirika yaliyowekeza huko.	Malaysia's descendants, for example, benefited greatly from the guidelines set under the rule of Doctor Mahathir Mohamed, until June 2009, when Najib Razak, another country ruler, changed the situation, and now the country has begun to stumble economically, because a lot of the revenue collected every year in the country ends up in the respective countries of the investors.
<39>	Ndugu zangu, nisisitize tena kuwa matokeo ya utafiti wa Dk. Kitima yanafikirisha.	my brothers, let me emphasize again that the results of the research by Doctor Kitima make you think.
<40>	Kwangu mimi nayachukulia kama ni kengele ya uamsho kwa watawala wetu ambao wameifanya nchi yetu kuwa shamba la bibi kweli kweli.	for me, I regard it as a wakeup call for our rulers, who have made our country into real estate for foreign investors.
<41>	Wameigeuza nchi kuwa shamba la bibi kweli kweli kwa kufungua milango yote ya nchi na madirisha yake yote pia ili tu wasifiwe na asasi za Bretton Woods za World Bank na IMF kwamba wameboresha mazingira ya uwekezaji wa kigeni katika nchi zao!	they have transformed the country into a real estate field by opening all the country's doors and windows so they would be praised by the Bretton Woods of the World Bank and the IMF, who have improved the environment for foreign investment in their countries!
<42>	Natujiulize: Je, wanaisikia kengele hiyo ya uamsho ya kina Dk. Kitima?	let's ask ourselves: are they listening to this big wakeup call from Doctor Kitima?
<43>	Na kama hawaisikii, tufanyeje waamke?	and if they are not listening, what should we do to wake them up?
<44>	Tafakari.	reflect.
