<1>	Siku ya utalii duniani kuadhimishwa mwezi ujao	world tourism day to be commemorated next month
<13>	Katika maadhimisho hayo, mashindano mbalimbali ya picha zenye kuchochea utalii yatafanyika pamoja na uwasilishaji wa tuzo mbalimbali kwenye upande wa uhifadhi zitatolewa.	in the commemoration, various pictorial competitions promoting tourism will be held as well as the presentation of various conservation awards that will be issued.
<14>	Hata hivyo, UN inasema kuwa siku hii haitakuwa sikukuu rasmi kwa ajili ya watu kupumzika majumbani hasa kwa wale wanaofanyakazi.	nevertheless, the UN says that this day will not be an official holiday for people to rest at their homes especially for those working.
<15>	Sekta ya utalii imeendelea kukua na kupanuka kwa kasi sasa, hali ambayo imeiwezesha kuwa kiungo muhimu katika kukuza uchumi wan chi na dunia kwa ujumla.	the tourism sector continues to grow and expand at a very fast rate, a situation that has enabled it to be an integral part in growing the economy of a country and the world in general.
<16>	Utalii wa kisasa unaenda sambamba na maendeleo ya kiuchumi.	modern tourism goes in tandem with economic development.
<17>	“Maendeleo yameifanya utalii kuwa sekta muhimu katika kukuza biashara ya kimataifa na imekuwa ni chanzo kikubwa cha mapato kwa nchi mbalimbali,” UN imesema kwenye taarifa yake.	"developments have made tourism an important sector in growing international businesses and a big source of income for various countries," the UN has said in a statement.
<18>	Siku ya Utalii duniani ilizinduliwa mwezi Septemba mwaka 1979 na sherehe za kwanza zilifanyika Septemba 27 mwaka 1980.	world tourism day was unveiled in September 1979 and the first celebrations were held on September 27th 1980.
<19>	UNWTO inaamini kwamba siku ya utalii duniani ni muhimu kwani inakuja wakati ambapo ni wakati wa kumalizika kwa msimu wa utalii kwa nchi za Kaskazini na kuanza kwa msimu wa utalii kwa nchi za Kusini ikiwemo Tanzania.	UNWTO believes that world tourism day is important since it comes at a time when the season of tourism for countries in the North is ending and the tourism season for countries in the South including Tanzania is starting.
<20>	Ikiwa ni nchi yenye kutegemea utalii katika kuingiza pato la taifa na kukuza ajira nchini Tanzania, sekta ya utalii inachangia asilimia 25 ya mauzo ya nje na asilimia 17 ya pato la taifa (GDP).	being a country reliant on tourism to generate the Gross Domestic Product and to promote employment in Tanzania, the tourism sector contributes 25 percent of export sales and 17 percent of the Gross Domestic Product (GDP).
<21>	Takwimu zinaonyesha kwamba Tanzania ni nchi ya tatu barani Afrika kwa kuwa na mapato mengi yatokanayo na sekta ya utalii, kwani kwa mwaka 2015 yalikuwa ni dola za Marekani bilioni 2.2 (shilingi trilioni 5).	statistics show that Tanzania is the third country in Africa with high revenues from the tourism sector, since in 2015, they have had 2.2 billion U.S. dollars (5 trillion shillings).
<22>	Kwa mujibu wa bodi ya utalii (TTB) Tanzania inatarajia kuongeza idadi ya watalii kutoka milioni moja kwa mwaka sasa hadi watalii milioni 3 mwaka 2018.	according to the Tourism Board (TTB), Tanzania expects to further increase the number of tourists from one million per year, currently, to 3 million visitors in 2018.
<23>	Hatua hii itasababisha kuvuka lengo la Ilani ya Chama cha Mapinduzi ya mwaka 2015 ambayo inalenga kufikia watalii milioni mbili mwaka 2020.	this move will allow the objective of the Revolution Party's 2015 manifesto to be achieved which aims to have two million tourists by 2020.
<24>	Hata hivyo, TTB inasema ufinyu wa bajeti kwa ajili nya kutangaza utalii ndani na nje ya nchi ni changamoto kubwa ya kuweza kuyafikia malengo.	nevertheless, TTB says constraining the budget for the purposes of advertising tourism within and outside the country is a big challenge towards the attainment of the goals.
