<1>	Wachezaji wetu na ‘vitu’ vya ziada!	our players and 'extra' things!
<17>	Ni vitu vya ziada kama hivi vinavyomtofautisha mchezaji mmoja na wenzake wengi, na pia kuwa katika nafasi nzuri ya kuonekana na ‘scouts’ wa timu za nje.	it is the extra things such as these that differentiate one player from many others, and also put him in a good position to be spotted by 'scouts' of foreign teams.
<18>	Hivi karibuni timu ya Tanzania Bara (Kilimanjaro Stars) iliwasili mjini Dar es Salaam ikitokea Uganda ilikoshiriki michuano ya Challenge Cup ambapo ilishika nafasi ya tatu na kujitwalia zawadi ya dola 10,000.	recently, the Tanzanian Mainland Team (Kilimanjaro Stars) arrived in Dar es Salaam from Uganda, where it participated in the contest for the Challenge Cup, in which it held the third position and scooped up a prize of 10,000 dollars.
<19>	Taarifa zinasema kuwa mara tu baada ya kuwasili kwenye uwanja wa ndege wa Julius Nyerere, mshambuliaji wa timu ya Simba, Mussa Hassan Mgosi alichukua begi lake na kwenda moja kwa moja uwanja wa Taifa wa zamani ambako timu yake ya Simba ilikuwa inacheza mechi ya kirafiki na timu ya ZESCO kutoka Zambia.	reports say that just after arriving at the Julius Nyerere Airport, the striker from the Simba Team, Mussa Hassan Mgosi, took his bag and went directly to the old national stadium where his old team Simba was playing a friendly match with the Zesco Team from Zambia.
<20>	Mchezaji huyo si tu kwamba aliingia kipindi cha pili cha mchezo huo na kuongeza kasi ya mashambulizi ya timu yake dhidi ya ZESCO; bali pia aliweza kuifungia bao katika dakika ya 87 ya mchezo na kuiwezesha kutoka suluhu ya mabao 1-1 na timu hiyo kutoka Zambia.	the player not only played during the second half of the game and increased the speed for his team against Zesco, he also scored a goal in the 87th minute, and enabled the team to achieve a draw of 1-1 with the team from Zambia.
<21>	Napenda kuamini kuwa kabla ya mchezaji huyo kuingia kiwanjani kocha wa timu alimuuliza kama angeweza kucheza mchezo huo kutokana na kuwa ametoka safari na yeye kukubali.	I love to believe that before the player came onto the field, the team's coach asked him if he would be able to play given that he had just come from a journey and he agreed.
<22>	Kuna uwezekano mkubwa pia kuwa aliomba mwenyewe kucheza kwenye mechi hiyo.	there is also a huge possibility that he himself requested to play in the game.
<23>	Iwavyo vyovyote, kitendo cha mchezaji huyo kuingia kiwanjani saa chache tu baada ya safari ni miongoni mwa vile ‘vitu’ vya ziada vinavyomtofautisha mchezaji hodari na wachezaji wengine wa kawaida.	regardless, the act of that player to go onto the field just a few hours after a journey is among the 'extra' things that differentiate a capable player from many common players.
<24>	Ni vyema wachezaji wetu wa soka wakaiga mfano wa kitendo hiki na vingine vinavyofanana navyo iwapo wana nia ya kufanikiwa kwenye ulimwengu wa soka.	it would be good if our soccer players followed the example of this act and many other similar examples if they intend to succeed in the world of soccer.
<25>	Sisemi kwamba wachezaji wote wa taifa siku ile wangebeba mabegi yao na kuelekea viwanjani kuchezea timu zao zilizokuwa na mechi ili kujitofautisha na wenzao, la hasha.	I'm not saying that all Taifa players should have carried their bags and headed to the fields that day to play for their teams that had matches so as to differentiate themselves from the others, not at all.
<26>	Yapo mambo mengi tu ambayo mchezaji anaweza kufanya ili kujitofautisha na wengine.	there are many things that a player can do to differentiate himself from the others.
<27>	Tumesikia kila mara jinsi wachezaji wetu wa soka wanapohojiwa wanavyoeleza mipango yao ya kutaka kuwa wachezaji wa kulipwa kwenye klabu za nchi zilizoendelea kisoka.	we have heard every time how our soccer players, when interviewed, explain their plans to be professional players in clubs from countries that are advanced in soccer.
<28>	Miaka ya nyuma kuna hata wachezaji walioondoka nchini kwa mbwembwe kwenda kufanya majaribio kwenye nchi hizo, lakini wakarudi kimya kimya na kuendelea na ligi zetu bila kutuambia kwa uwazi ni nini hasa kilichowasibu huko walikokwenda na kusababisha kushindwa kukamilisha ndoto zao.	in the past years, there are players who have left the country in style to try out in those countries, but they returned in silence and continued with our leagues without telling us openly what exactly they faced where they went and what caused them to fail when pursuing their dreams.
<29>	Zipo zimulizi za mitaani zisizokuwa na mashiko zenye kueleza kuwa wengi wa wachezaji wetu walishindwa majaribio yao kutokana na ufahamu wao mdogo wa lugha ya kimataifa ya mawasiliano ya Kiingereza.	there are rumors in the streets that are not verifiable which explain that many of our players failed their trials as a result of their little knowledge of English, the international language of communication. 
<30>	Ni vigumu kuamini simulizi hizi kutokana na ukweli kwamba kuna wachezaji wengi tu, kwa mfano, kwenye ligi maarufu ulimwenguni ya Barclays ya Uingereza wanaotoka nchi mbalimbali ulimwenguni ambao Kiingereza chao cha ‘kuombea mpira’, achilia mbali cha kuombea maji, ni matatizo matupu; lakini wanavuta mshahara wa paundi 20,000 hadi 30,000 ambazo ni sawa na ‘madafu’ yetu milioni sitini, kwa wiki!	it is hard to believe these stories due to the fact that there are so many players. for example, in the famous worldwide European Barclays League, there are players who come from various countries and whose English is similar to 'asking for ball' let alone asking for water, which is total trouble; but they are scooping up salaries of 20,000 to 30,000 which are equivalent to our sixty million 'coconuts' in a week.
<31>	Ni wazi basi kuwa iwapo mchezaji atakuwa na uwezo wa kufanya vitu vya ziada awapo uwanjani vinavyoweza kuchangia timu yake kupata ushindi, lugha itakuwa ni kitu kidogo sana kwa makocha na mameneja wa timu wanaosaka na kununua wachezaji kwa ajili ya timu.	it is evident that if a player has the ability to do something more on the field which can contribute to his team's victory, the language barrier becomes insignificant to coaches and managers of the teams who are searching to buy players for the sake of the team.
<32>	Tujiulize.	let's ask ourselves:
<33>	Je tunao wachezaji wenye uwezo wa kucheza mechi ya ligi ya Barclays, Jumamosi, Uingereza na Jumanne usiku akacheza dhidi ya klabu ya Ujerumani kwenye kombe la mabingwa, Ijumaa akawa uwanjani Uingereza akiichezea timu yake kwenye kombe la ligi na Jumatatu usiku akawa anakipiga kwenye mechi ya kombe la Barclays?	do we have players who have the ability to play in the Barclays League on Saturday in Europe and on Tuesday night against the German club in the Championships Cup, to be on the field on Friday in Europe playing for their team in the League Cup and on Saturday night playing in a match in the Barclays's Cup?
<34>	Tunao?	do we have them?
<35>	Tunapokuwa na wachezaji wanaosifiwa na makocha wa timu za mataifa mengine juu ya uwezo wao wa kucheza dakika 90 za mchezo kwa kasi ile ile na wachezaji wenye moyo kiasi cha kuweza kutoka kwenye michuano ya kimataifa na kufikia uwanjani kwenye mechi ya klabu zao, tunapata matumaini kuwa siku si nyingi zijazo tutakuwa na Mtanzania mwenzetu akitesa kwenye ligi za kimataifa.	when we have players being praised by the coaches of other nations' teams because of their ability to play 90 minutes of the game at the same speed and players who are motivated to the extent of being able to come from international championships and arrive on the field for their club's matches, we get hope that it won't be long until we will have a fellow Tanzanian causing distress in international leagues.
<36>	Na nafasi ya kufanya hivyo ipo wazi kwa Vijana wetu kupitia ‘dirisha dogo la usajili’ ambalo ni michuano ya CHAN inayoanza mwezi huu huko Ivory Coast.	the opportunity to do so is open to our youths through the small window of registration which is the CHAN Championships starting this month in the Ivory Coast.
