<1>	Wanawake, watoto mbaroni vitendo vya ugaidi	women, children in jail on terrorist acts
<12>	Alisema sanjari na mafunzo ya madrasa, pia wamekuwa wakifundishwa ukakamavu ikiwemo karate, kung-fu na judo na kufundishwa jinsi ya kutumia silaha aina ya SMG na bastola.	he said along with the Madrassa teachings, they were being guided in karate, kung fu and judo, and how to use weapons like SMG and guns.
<13>	Pia alisema wanafundishwa kupiga maeneo tete ya kummaliza mtu pumzi na kufariki haraka wakati wa mapigano (pressure point) ili kumdhibiti adui, kulenga shabaha kwa kutumia risasi, kutumia kitako cha bunduki na singe.	he also said they were being taught to shoot at fragile areas, to cut off someone's breath and to kill quickly during fighting (pressure point), so as to control the enemy, aiming at the mark using a bullet, and using the gun's bottom and bayonet.
<14>	“Watoto hao wamefundishwa kuwa adui yao mkubwa ni Polisi, walinzi katika taasisi za fedha na makafiri katika kujipatia kipato, wamefunzwa kupora au kunyang’anya kwa kutumia silaha na kutumia viungo vyao,” aliongeza.	"the children have been taught their greatest enemy is the police, the guards at financial institutions and infidels earning income. they have been taught to steal or rob, using weapons and their bodies," he added.
<15>	Alisema wanawake hao na watoto wanaendelea kushikiliwa kwa ajili ya mahojiano ili kubaini mtandao mzima katika suala hilo ili kutokomeza tabia hiyo ya kuwaachisha watoto wadogo shule na kuwaingiza katika vitendo vya uhalifu.	he said the women and children are in custody for the purpose of cross-examination, to reveal the whole network involved and eliminate the action of pulling small children from school and enrolling them in criminal activities.
<16>	Katika tukio lingine, Padri wa Kanisa Katoliki Sumbawanga, Destrious Apolinary anashikiliwa kwa tuhuma ya kuwa na gari ya wizi lenye namba T 616 DCH Toyota Land Cruiser mali ya Joseph Kayawaya iliyoibwa jijini Dar es Salaam, kughushiwa na kuuzwa jijini Arusha.	in another incident, the padre of the Sumbawanga Catholic Church, Destrious Apolinary, is being held on allegation of being in possession of a stolen car, number plate T616 DCH, a Toyota Land Cruiser and the property of Joseph Kayawaya, stolen in Dar es Salaam City, forged, and stolen in Arusha.
<17>	Mtuhumiwa anahojiwa na upelelezi utakapokamilika atafikishwa mahakamani.	the suspect is being interrogated and once the investigation is complete he will be arraigned in court.
<18>	Wakati huo huo, Kamanda Sirro alisema wamewakamata watuhumiwa watano wa ujambazi katika maeneo ya Tuangoma baada ya kupatikana na mali ya wizi ambayo iliporwa kwa nguvu nyumbani kwa Patrick Samari (35), mfanyakazi wa Mamlaka ya Usimamizi wa Bandari Kitengo cha Biashara.	at the same time, Commander Sirro said they have arrested five criminal suspects at Tuangoma, after being found with stolen property which was forcefully stolen from the home of Patrick Samari (35), an employee of the Port Management Authority, Trade Unit.
<19>	Akizungumzia tukio hilo, alisema kundi la watu wapatao 15 walimvamia Samari nyumbani kwake na kuvunja mlango kwa matofali na kuingia ndani na kuiba vitu mbalimbali ikiwemo bastola yenye usajili A731441 ikiwa na risasi 12 ndani ya magazini yake.	while speaking about the incident, he said a group of 15 people invaded his home in Samari, broke the door with bricks, and entered and stole various things including a gun, registration A731441, with 12 bullets in the magazine.
<20>	Pia waliiba fedha taslimu Sh 10,180,000, televisheni inchi 54, Laptop mbili aina ya HP na simu mbili za mkononi aina ya Samsung.	they also stole 10,180,00 shillings in cash, a 54 inch television, two HP laptops and two Samsung phones.
<21>	Alisema baada ya taarifa hizo polisi walianza kufanya kazi ya ufuatiliaji na kuwakamata Penza Seleman, Mwarami Nasoto, Sweed Shabani, mkazi wa Kinondoni Manyanya, Mussa Ismail, mkazi wa Sinza na Salum Taidini.	he said after these reports, the police started following up and arrested Penza Seleman, Mwarami Nasoto, Sweed Shabani, a resident of Kinondoni Manyanya, Mussa Ismail, a resident of Sinza, and Salum Taidini.
<22>	Alisema watuhumiwa wote hao walikiri kuhusika na tukio hilo na mali zote za wizi walidai walihifadhi kwa Tadini na baada ya mahojiano zaidi na upekuzi vilipatikana vifaa vyote vilivyoibwa pamoja na gari namba T 533 DEQ aina ya Toyota TI inayotumika kubeba mizigo sehemu wanazoiba.	he said all suspects admitted to having been involved in the incident, and claimed they had stored all the stolen goods at Tadini's. upon further interrogation and searches, all the stolen items were found, together with the car with number plate T 533 DEQ, Toyota TI, that was used to carry the goods from the places they'd stolen from.
<23>	Upelelezi wa tukio hilo unaendelea.	the investigation into the incident is ongoing.
